Name of Site/Org,Site Type,Address,Unclear Address?,City,State,Description (copy & paste),Stars,Star Type,Mentions Race?,Mentions Disability?,Notes to review (if any)
Grassroots Women's House,Center,,checked,Little Rock,AR,Tel. 378-7851. Strictly political interests. Not all-lesbian.,****,Organizations,,,
Gay Help Line,Information Services,,checked,Phoenix,AZ,Tel.265-1102.Thurs-Sat24hour.Mon-Wed 1Qam-6pm.Callforevents.,,,,,
"Gay Christian Outreach Services, INC",Religious Groups,,checked,Tucson,AZ,Tel. 792-3772 (24 Hours). Crisis help/social action/informauon & referral.,,,,,
Switchboard,Information Services,,checked,Tucson,AZ,Tel. 626-HELP. Information/referrals/counseling.,,,,,
Gay Information/Referral,Information Services,,checked,Tucson,AZ, 881-1794. Monday thru Friday- 8am-5pm. Very helpful people/some women on the answering staff.,,,,,
Help Line,Counseling,,checked,Tucson,AZ,323-9373. Crisis Line.,,,,,
Roommate Referral of Tucson,Room Mate Service,,checked,Tucson,AZ,c/o GayCommunity ServicesTel.622-8868. Mon-Fri. 7:30pm-midnight. Alternate number 622-3808.,,,,,
KPFA Women's Magazine,Radio Program,,checked,Berkely/Oakland,CA,12 noon KPFA,,,,,
Gay and Lesbian Students/University of California at Irvine,Student Group,,checked,Irvine,CA,"Office at ASUCI Irvine 92717 Tel. 833-7229. They sponsor speakers, dances, an annual Gay Awareness Week and a social group. With the Counseling Center they sponsor a very popular on going support group. Their office has a library of books and current magazines.",*,Organizations,,,
Mountain Mommas,Resort,,checked,Lake Arrowhead,CA,Tel. 656-0258. Enjoy an affordable weekend in beautiful Lake Arrowhead- all the comforts of home including unusual catered meals.,,,,,
Metropolitan Community Church/Long Beach,Religious Groups,,checked,Long Beach,CA,"Tel. 438-9781.Call for location of services, etc- to move in 1983",,,,,
Ruth Nodel,Counseling,,checked,Berkely/Oakland,CA,"Tel. 658-0229. Massage practitioner/holistic counseling/relaxing, therapeutic massage for women. Private practice, sliding scale.",,,,,
Open Quest Counseling Hotline,Services,,checked,Los Angeles,CA,Tel.650-OPEN &650-6736.This is a professionally operated crisis counseling line for the gay community. All year and around the clock. A licensed counselor is just a phone call away.,,,,,
Southern California Center For Women's Education & Therapy,Center,,checked,Studio City,CA,"located in StudioCityTel.761-3011& (714) 622-5563. Lesbian rap groups/programs-presentations/classes-courses/discussions/socials(like swimming, supper and movies) - the ideal alternative to the lesbian bar scene.",****(*),Organizations,,,
KPFK,Radio Program,,checked,Los Angeles,CA,90.7 FM 8.30pm every Sunday. Lesbian Sisters-includes excellent calendar of events,,,,,
Clones,Bars,,checked,Los Angeles,CA,"Tel: 66 CLONE Membership club holds bar/disco nights in different places on different nights. Ring them for correct, current details",****,"Bars, Clubs, Coffeehouses",,,
Legal Department of Gay/Lesbian Services Center,Attorney,,checked,Los Angeles,CA,"Tel. 464-7400. They keep up a truly enormous file on local attorneys - broken down into their respective fields and services like military, immigration, civil rights problems, race relations, etc. -very current and accurate information.",,,,,
