record_id,ENTITY_ID,REASONING,CONFIDENCE
g-1977-00230,1,Error in processing,low
d-1989-01317,1,Error in processing,low
d-1990-01219,1,Error in processing,low
d-1991-01297,1,Error in processing,low
d-1992-01371,1,Error in processing,low
d-1993-01426,1,Error in processing,low
d-1994-01294,1,Error in processing,low
d-1995-01983,1,Error in processing,low
d-1996-01410,1,Error in processing,low
d-1997-02360,1,Error in processing,low
d-1981-00344,1,Error in processing,low
d-1995-03201,1,Error in processing,low
d-1996-01407,1,Error in processing,low
d-1997-03796,1,Error in processing,low
d-1998-06529,1,Error in processing,low
d-1999-01318,1,Error in processing,low
d-2000-01613,1,Error in processing,low
d-2001-01379,1,Error in processing,low
d-2002-03525,1,Error in processing,low
d-2003-02413,1,Error in processing,low
d-2003-02416,1,Error in processing,low
d-1997-05511,1,Error in processing,low
g-1979-00324,1,Error in processing,low
g-1977-00228,1,Error in processing,low
g-1981-00381,1,Error in processing,low
d-1984-00792,1,Error in processing,low
g-1985-00449,1,Error in processing,low
d-1985-00841,1,Error in processing,low
d-1986-00880,1,Error in processing,low
d-1987-01284,1,Error in processing,low
d-1988-01218,1,Error in processing,low
d-1989-01318,1,Error in processing,low
d-1991-01295,1,Error in processing,low
d-1992-01369,1,Error in processing,low
d-1993-01424,1,Error in processing,low
d-1994-01291,1,Error in processing,low
g-1975-00744,1,Error in processing,low
g-1975-00742,1,Error in processing,low
d-1996-01400,1,Error in processing,low
d-2001-01372,1,Error in processing,low
d-2002-03518,1,Error in processing,low
d-2003-02405,1,Error in processing,low
d-1996-01401,1,Error in processing,low
d-1997-03165,1,Error in processing,low
d-1998-05823,1,Error in processing,low
d-1999-01311,1,Error in processing,low
d-2000-01606,1,Error in processing,low
g-1975-00740,1,Error in processing,low
d-1968-00263,1,Error in processing,low
d-1969-00311,1,Error in processing,low
d-1970-00324,1,Error in processing,low
d-1971-00330,1,Error in processing,low
d-1972-00442,1,Error in processing,low
d-1982-00880,1,Error in processing,low
d-1983-00914,1,Error in processing,low
d-1984-00907,1,Error in processing,low
d-1985-00959,1,Error in processing,low
d-1987-01285,1,Error in processing,low
g-1987-00448,1,Error in processing,low
g-1977-00232,1,Error in processing,low
d-1973-00542,1,Error in processing,low
d-1974-00605,1,Error in processing,low
d-1974-00606,1,Error in processing,low
d-1975-00662,1,Error in processing,low
d-1976-00694,1,Error in processing,low
d-1977-00800,1,Error in processing,low
d-2003-02415,1,Error in processing,low
d-1987-01287,1,Error in processing,low
d-1988-01221,1,Error in processing,low
d-1989-01321,1,Error in processing,low
d-1990-01222,1,Error in processing,low
d-1991-03905,1,Error in processing,low
d-1992-01374,1,Error in processing,low
d-1993-01429,1,Error in processing,low
d-1994-01297,1,Error in processing,low
d-1995-04712,1,Error in processing,low
d-1997-05627,1,Error in processing,low
d-1994-01295,1,Error in processing,low
d-1995-04710,1,Error in processing,low
d-1996-01411,1,Error in processing,low
d-1994-01289,1,Error in processing,low
d-1995-04713,1,Error in processing,low
d-1996-01403,1,Error in processing,low
d-1997-05775,1,Error in processing,low
d-1999-06053,1,Error in processing,low
d-2000-01604,1,Error in processing,low
d-2001-06198,1,Error in processing,low
d-2003-02420,1,Error in processing,low
d-1996-01413,1,Error in processing,low
d-1999-06255,1,Error in processing,low
d-2000-01616,1,Error in processing,low
d-2001-06199,1,Error in processing,low
d-2003-02422,1,Error in processing,low
d-1976-00711,1,Error in processing,low
d-1977-00818,1,Error in processing,low
d-1990-01220,1,Error in processing,low
d-1991-01298,1,Error in processing,low
d-1992-01372,1,Error in processing,low
d-1989-01319,1,Error in processing,low
d-1993-01427,1,Error in processing,low
g-1977-00227,1,Error in processing,low
g-1985-00448,1,Error in processing,low
d-1997-02657,1,Error in processing,low
d-1990-01217,1,Error in processing,low
d-1991-01294,1,Error in processing,low
d-1992-01367,1,Error in processing,low
d-1993-01422,1,Error in processing,low
d-2003-02419,1,Error in processing,low
d-1996-01399,1,Error in processing,low
d-1999-06760,1,Error in processing,low
d-2000-01605,1,Error in processing,low
d-1997-06415,1,Error in processing,low
d-2003-02421,1,Error in processing,low
g-1985-00450,1,Error in processing,low
g-1987-00449,1,Error in processing,low
d-1995-02558,1,Error in processing,low
d-1996-01408,1,Error in processing,low
d-1997-03634,1,Error in processing,low
d-1998-06339,1,Error in processing,low
d-1999-01316,1,Error in processing,low
d-2000-01611,1,Error in processing,low
d-2001-01377,1,Error in processing,low
d-2002-03523,1,Error in processing,low
d-2003-02411,1,Error in processing,low
g-1977-00229,1,Error in processing,low
d-1992-01368,1,Error in processing,low
d-1993-01423,1,Error in processing,low
d-1994-01290,1,Error in processing,low
d-1995-04711,1,Error in processing,low
g-1979-00325,1,Error in processing,low
g-1977-00231,1,Error in processing,low
g-1979-00326,1,Error in processing,low
g-1981-00383,1,Error in processing,low
d-2003-02424,1,Error in processing,low
d-1994-01292,1,Error in processing,low
d-1995-02479,1,Error in processing,low
d-1996-01404,1,Error in processing,low
d-1997-02944,1,Error in processing,low
g-1981-00382,1,Error in processing,low
g-1983-00484,1,Error in processing,low
d-1992-01373,1,Error in processing,low
d-1993-01428,1,Error in processing,low
d-1994-01296,1,Error in processing,low
d-1995-02967,1,Error in processing,low
d-1975-00692,1,Error in processing,low
d-1970-00336,1,Error in processing,low
d-1971-00345,1,Error in processing,low
d-1972-00457,1,Error in processing,low
d-1973-00562,1,Error in processing,low
d-1974-00627,1,Error in processing,low
d-1975-00693,1,Error in processing,low
d-1975-00694,1,Error in processing,low
d-1976-00727,1,Error in processing,low
d-1976-00728,1,Error in processing,low
d-1977-00836,1,Error in processing,low
d-1977-00837,1,Error in processing,low
d-1977-00838,1,Error in processing,low
d-1977-00839,1,Error in processing,low
d-1974-00628,1,Error in processing,low
d-1974-00629,1,Error in processing,low
d-1975-00695,1,Error in processing,low
d-1976-00729,1,Error in processing,low
d-1975-00696,1,Error in processing,low
d-1976-00730,1,Error in processing,low
d-1973-00563,1,Error in processing,low
d-1973-00564,1,Error in processing,low
d-2003-02417,1,Error in processing,low
d-1988-01219,1,Error in processing,low
d-1986-04143,1,Error in processing,low
d-1981-03271,1,Error in processing,low
d-1982-03393,1,Error in processing,low
d-1983-03692,1,Error in processing,low
d-1984-03755,1,Error in processing,low
d-1985-04021,1,Error in processing,low
d-1987-01288,1,Error in processing,low
d-1988-01222,1,Error in processing,low
d-1989-01322,1,Error in processing,low
d-1990-01223,1,Error in processing,low
d-1991-03904,1,Error in processing,low
d-1992-01375,1,Error in processing,low
d-1993-01430,1,Error in processing,low
d-2003-02418,1,Error in processing,low
d-1999-07232,1,Error in processing,low
d-2000-01614,1,Error in processing,low
d-1996-01402,1,Error in processing,low
d-1997-03876,1,Error in processing,low
d-1998-06610,1,Error in processing,low
d-1999-01312,1,Error in processing,low
d-2000-01607,1,Error in processing,low
d-2001-01373,1,Error in processing,low
d-2002-03519,1,Error in processing,low
d-2003-02406,1,Error in processing,low
d-1998-05591,1,Error in processing,low
d-1999-01314,1,Error in processing,low
d-2000-01608,1,Error in processing,low
d-2001-01374,1,Error in processing,low
d-2002-03520,1,Error in processing,low
d-2003-02408,1,Error in processing,low
d-2003-02407,1,Error in processing,low
d-2001-01380,1,Error in processing,low
d-2003-02414,1,Error in processing,low
d-1981-04158,1,Error in processing,low
d-1982-04297,1,Error in processing,low
d-1983-04667,1,Error in processing,low
d-1984-04760,1,Error in processing,low
d-1985-05085,1,Error in processing,low
d-1986-05229,1,Error in processing,low
d-1987-01286,1,Error in processing,low
d-1988-01220,1,Error in processing,low
d-1989-01320,1,Error in processing,low
d-1990-01221,1,Error in processing,low
d-1991-01299,1,Error in processing,low
d-1996-01412,1,Error in processing,low
d-1997-03540,1,Error in processing,low
d-1998-06238,1,Error in processing,low
d-1999-01319,1,Error in processing,low
d-2000-01615,1,Error in processing,low
d-2002-03526,1,Error in processing,low
d-1996-01405,1,Error in processing,low
d-1997-04140,1,Error in processing,low
d-1998-06921,1,Error in processing,low
d-1999-01313,1,Error in processing,low
d-2000-01609,1,Error in processing,low
d-2001-01375,1,Error in processing,low
d-2002-03521,1,Error in processing,low
d-2003-02409,1,Error in processing,low
g-1989-00249,1,Error in processing,low
d-1993-01431,1,Error in processing,low
d-1987-01289,1,Error in processing,low
d-1987-01290,1,Error in processing,low
d-1987-01291,1,Error in processing,low
