"record_id","title","description","type","address","city","state","publication","year","notes","amenityfeatures","stars","star.type","full.address","status","geoAddress","lat","lon"
"g-1975-00740","Boulder Women's Center","tel. 449-1590.","Organizations"," 9th and Arapahoe; 80302.","Boulder","CO","Gaia's Guide",1975,"",NA,"","",NA,NA,NA,NA,NA
"g-1975-00742","Boulder Gay Liberation, Inc. ","tel. (303) 443-2211 est. 8567 (their publication: Boulder Gay Record).","Organizations"," Box 1402; 80302.","Boulder","CO","Gaia's Guide",1975,"",NA,"","",NA,NA,NA,NA,NA
"g-1975-00744","Boulder Gay Liberation (including Lesbian Alliance), Gay Lib. Univ. of Colorado UMC","","Organizations","183E, Boulder Colorado; 80302.","Boulder","CO","Gaia's Guide",1975,"",NA,"***","Organizations",NA,NA,NA,NA,NA
"g-1977-00227","Gay Liberation","Tel 492-8569","Organization","","Boulder","CO","Gaia's Guide",1977,"",NA,"*","Organizations",NA,NA,NA,NA,NA
"g-1977-00228","Boulder County Women's Research Center","Tel 303 447-9675","Organization","1408 Pine Street","Boulder","CO","Gaia's Guide",1977,"",NA,"****","Organizations",NA,NA,NA,NA,NA
"g-1977-00229","Lesbian Caucus of Women's Liberation Coalition","Tel. 303-492-7735 Office in the UMC on the University of Colorado at Boulder campus. ","Organization","","Boulder","CO","Gaia's Guide",1977,"",NA,"**","Organizations",NA,NA,NA,NA,NA
"g-1977-00230","507 Bath ","Women's nites","Sauna","507 Canyon Boulevard","Boulder","CO","Gaia's Guide",1977,"",NA,"","",NA,NA,NA,NA,NA
"g-1977-00231","Little Professor Book Center","Tel. 443-3390. Lots of lesbian and feminist titles. ","Bookstore","1344 Pearl","Boulder","CO","Gaia's Guide",1977,"",NA,"","",NA,NA,NA,NA,NA
"g-1977-00232","Carnival Cafe","Natural foods","Restaurants","1843 Broadway","Boulder","CO","Gaia's Guide",1977,"",NA,"","",NA,NA,NA,NA,NA
"g-1977-00233","Women's Crisis Line","Tel 492-8910. Lesbian counseling and referrals","Women's Crisis Line","","Boulder","CO","Gaia's Guide",1977,"",NA,"","",NA,NA,NA,NA,NA
