record_id,title,description,type,address,city,state,publication,year,notes,amenityfeatures,stars,star.type,full.address,status,geoAddress,lat,lon
g-1975-00740,Boulder Women's Center,tel. 449-1590.,Organizations, 9th and Arapahoe; 80302.,Boulder,CO,Gaia's Guide,1975,,,,,,,,,
g-1975-00741,Hide and Seek Room, 634-9303,Bars, 3 E. Colorado Ave.,Colorado Springs,CO,Gaia's Guide,1975,,,**,Bars and Clubs,,,,,
g-1975-00742,"Boulder Gay Liberation, Inc. ",tel. (303) 443-2211 est. 8567 (their publication: Boulder Gay Record).,Organizations, Box 1402; 80302.,Boulder,CO,Gaia's Guide,1975,,,,,,,,,
g-1975-00743,Exit Lounge, 471-7895.,Bars,2028 Sheldon Ave.,Colorado Springs,CO,Gaia's Guide,1975,,,**,Bars and Clubs,,,,,
g-1975-00744,"Boulder Gay Liberation (including Lesbian Alliance), Gay Lib. Univ. of Colorado UMC",,Organizations,"183E, Boulder Colorado; 80302.",Boulder,CO,Gaia's Guide,1975,,,***,Organizations,,,,,
g-1975-00745,Rhinoceros,"The non-sexist, non-physical beauty magazine. It's people oriented. It's you oriented. ($5.00 per year)",Publications,"Box 18501; Denver, Colorado;",Denver,CO,Gaia's Guide,1975,,,,,,,,,
g-1975-00746,Big Mama Rag,Tel. 322-2010. Always excellent reading in this lesbian/feminist newspaper. ,Publications, 1724 Gaylord,Denver,CO,Gaia's Guide,1975,,,,,,,,,
g-1975-00747,Gay Coalition of Denver, tel. (303) 821-8838 (1-9 p. m- daily). Their publication: RHINOCEROS,Organization and Service, 1450 Pennsylvania Ave. no. 25,Denver,CO,Gaia's Guide,1975,,,***,Organizations,,,,,
g-1975-00748,Approaching Lavender, 931-8838 operated once a month by the lesbian task force of N.O. W. National Organization of Women).,Organization and Service,1122 E. 17th Ave. ,Denver,CO,Gaia's Guide,1975,,,**,Organizations,,,,,
g-1975-00749,Lesbian Task Force of N.O.W.,tel. 935-6908 and 798-3033,Organization and Service,1400 Lafayette,Denver,CO,Gaia's Guide,1975,,,**,Organizations,,,,,
g-1975-00750,Denver Lesbian Center,tel. 573-6604.,Organization and Service," 1895 Lafayette, Denver",Denver,CO,Gaia's Guide,1975,,,,,,,,,
g-1975-00751,Three Sisters Lounge, 458-8926,Bars, 3358 Mariposa,Denver,CO,Gaia's Guide,1975,,,****,Bars and Clubs,,,,,
g-1975-00752,The Broadway ,534-9390,Bars, 126 Broadway,Denver,CO,Gaia's Guide,1975,,,*,Bars and Clubs,,,,,
g-1975-00753,The Woman's Voice Bookstore,tel. 733-1178.  Recommended. ,Bookstores,637 South Pearl St,Denver,CO,Gaia's Guide,1975,,,,,,,,,
g-1975-00754,Rip Bookstore ,Well stocked with women's and gay lib titles.,Bookstores, 737 E. 17th Ave,Denver,CO,Gaia's Guide,1975,,,,,,,,,
g-1975-00755,Roadhouse Switchboard ,"tel. (303) 491-5744. Organized by Lesbian Sisters of Fort Collins and LesbianTask Force of N.O,W. ",Organization and Service,,Fort Collins,CO,Gaia's Guide,1975,,,,,,,,,
g-1977-00227,Gay Liberation,Tel 492-8569,Organization,,Boulder,CO,Gaia's Guide,1977,,,*,Organizations,,,,,
