record_id,title,description,type,address,city,state,publication,year,notes,amenityfeatures,stars,star.type,full.address,status,geoAddress,lat,lon
d-1985-00255,16th St. Mall,,Cruising Areas,,Denver,CO,Bob Damron's Address Book,1985,,Cruisy Area,,,", CO",Verified Location,unclear_coded_by_hand,39.747692,-104.995478
d-2001-01459,24 Road Video Exchange,(at Mesa Mall) 970/243-4112,Erotica,639 24 Rd,Grand Junction,CO,Bob Damron's Address Book,2001,,,,,"639 24 Rd ,  Grand Junction ,  CO",Google Verified Location,"639 24 rd, grand junction, co 81505, usa",39.0977541,-108.6085024
d-1981-00295,Adult Books,,"Cruising Areas,Book Store,Erotic Shop",754 North Ave.,Grand Junction,CO,Bob Damron's Address Book,1981,,Cruisy Area,,,"754 North Ave., CO",Verified Location,unclear_coded_by_hand,39.077646,-108.559604
d-1989-01337,After Dark,(Books & Erotica),"Book Store,Erotic Shop",111 S. Broadway,Denver,CO,Bob Damron's Address Book,1989,,,,,"111 S. Broadway, Denver, CO",Google Verified Location,"111 s broadway, denver, co 80209, usa",39.7162764,-104.9873167
d-1977-00787,Alice's Alley & The Slope ,"(Both bars share the same entrance downstairs below the Aspen Mine Company) Both are very M, HIP but can be interesting ","Restaurant,Bars/Clubs",,Aspen,CO,Bob Damron's Address Book,1977,,"(M-1965-1989),(YC),(R-1965-1989),(HIP)",,,,Google Verified Location,,39.1910983,-106.8175387
d-2000-01665,Amsterdam,(at 29th) 303/405-4458 afterhours,Nightclubs,2901 Walnut,Denver,CO,Bob Damron's Address Book,2000,,"(*),(GS),(D)",,,"2901 Walnut ,  Denver ,  CO",Google Verified Location,"2901 walnut st, denver, co 80205, usa",39.7623645,-104.9826659
d-1975-00654,Apartment,(Unisex - 'teenie boppers' - two floors - 3.2 beer only - closes 12 midnight),Bars/Clubs,1999 Lincoln,Denver,CO,Bob Damron's Address Book,1975,,"(HIP),(YC),(D)",,,,Google Verified Location,,39.747516,-104.9861307
d-1996-01440,Aqua Lounge/69,"832-3474 popular happy hour buffet Th-Fri, Gay Night Th",Bars,720 E. 17th Ave.,Denver,CO,Bob Damron's Address Book,1996,,"(GF),(D),(A),(WC)",,,"720 E. 17th Ave. ,  Denver ,  CO",Google Verified Location,"720 e 17th ave, denver, co 80203, usa",39.7432671,-104.9782109
d-1999-01318,Aria,"303/442-5694 10am-6pm, noon-5pm Sun, cards, T-shirts, gifts",Retail Shops,2043 Broadway,Boulder,CO,Bob Damron's Address Book,1999,,(WC),,,"2043 Broadway ,  Boulder ,  CO",Google Verified Location,"2043 broadway, boulder, co 80302, usa",40.0185898,-105.2805233
d-1998-06529,Aria,"442-5694 10am-6pm, noon-5pm Sun, cards, T-shirts, gifts",Bookstores & Retail Shops,2043 Broadway,Boulder,CO,Bob Damron's Address Book,1998,,(WC),,,"2043 Broadway, Boulder, CO",,"2043 broadway, boulder, co 80302, usa",40.0185898,-105.2805233
d-1996-01388,Aspen Bed & Breakfast Lodge,925-7650/(800) 362-7736 hot tub,Accommodations,311 W. Main,Aspen,CO,Bob Damron's Address Book,1996,,"(GF),(SW)",,,"311 W. Main ,  Aspen ,  CO",Google Verified Location,"311 w main st, aspen, co 81611, usa",39.1917912,-106.8258346
g-1989-00265,Aspen Gay Community,"PO Box 3143, 81612 -Tel 925-9249 At least 30%
lesbian participation",Group,PO Box 3143,Aspen,CO,Gaia's Guide,1989,,,,,,,,,
d-1989-01340,Broadway Bodyworks,(Gym),Gym,160 S. Broadway,Denver,CO,Bob Damron's Address Book,1989,,,,,"160 S. Broadway, Denver, CO",Google Verified Location,"160 s broadway, denver, co 80209, usa",39.7134048,-104.9872294
d-1969-00311,Buff Room,,Bars/Clubs,1360 College Ave.,Boulder,CO,Bob Damron's Address Book,1969,,"(M-1965-1989),(YC)",,,,Google Verified Location,,40.007289,-105.2751532
d-1983-01038,Casimir's,,Restaurant,3030 E. 6th Ave.,Denver,CO,Bob Damron's Address Book,1983,,"(M-1965-1989),(R-1965-1989)",,,"3030 E. 6th Ave., Denver, CO",Google Verified Location,"3030 e 6th ave, denver, co 80206, usa",39.7254191,-104.9515254
d-1980-00978,Cellar Baths,(Below Hide & Seek),Baths,512 W. Colorado,Colorado Springs,CO,Bob Damron's Address Book,1980,,,,,,Google Verified Location,,38.8328865,-104.8349175
