originalorder,title,description,type,address,city,state,publication,year,amenityfeatures,UNIQUE_ID,REASONING,CONFIDENCE
1,Casbah,Plymouth & Hubble,Bars/Clubs,,Detroit,MI,Bob Damron's Address Book,1975,,8,"The 1975 Damron listing “Casbah” and the 1975 Gaia’s Guide listing “The Casbah” both describe a bar at Plymouth & Hubble in Detroit. Despite a small article difference in the title and different guidebooks, the identical location and context identify one establishment.",high
2,T.N.T. Health Club,(Health club - baths),"Bathhouses,Gym",13333 W. 8 Mile Rd.,Detroit,MI,Bob Damron's Address Book,1981,"(AYOR),Cruisy Area",9,"The 1981 “T.N.T. Health Club” at the same address and under the T.N.T. name includes baths and gym features like the other T.N.T. listings, indicating it is the same facility marketed under a slightly different title.",high
3,Throckmorton & Reagan-S. of Cedar Springs,,Cruising Areas,,Dallas,TX,Bob Damron's Address Book,1989,"(S-1965-2002),(WE),(G)",5,"Record is Throckmorton & Reagan – south of Cedar Springs (Damron 1989), a cruising area without a street address. No other cruising-area record matches this description.",high
4,Dahl & Penne,"(Liquor)(Some W, SM, OC, you name it, they have it)(Cruisy)(Snacks) at Alder","Bars/Clubs,Cruising Areas",604 S.W. 2nd,Portland,OR,Bob Damron's Address Book,1981,,10,"Records 1, 2, and 3 all refer to the same Portland bar despite minor name spelling differences (‘Dahl & Penn’, ‘Dahl & Penne’, ‘Dahl & Penne’s’) and variations in how the address is written (Alder & 2nd Ave. SW vs. 604 SW 2nd). The consistent city/state and overlapping publication contexts confirm this is the same venue over different years.",high
5,Act III,,Bar,3115 Live Oak,Dallas,TX,Gaia's Guide,1977,,2,"Record is “Act III” in Dallas in 1977 (Gaia’s Guide, 3115 Live Oak). It matches the Damron 1977 entry by title and location, despite a minor street-number typo (3113 vs. 3115 Live Oak).",high
6,Six Mile 'Hustlers',hitch-hiking on Woodward betw. 6 & 7 Mile Roads,Cruising Areas,,Detroit,MI,Bob Damron's Address Book,1983,(G),7,"See Group 1: “Six Mile 'Hustlers'” (1983) is the same cruising area as the 1977 “""Six Mile"" Hustlers,” differing only in punctuation and year.",high
7,The Casbah,,Bars,Plymouth & Hubble,Detroit,MI,Gaia's Guide,1975,(RT),8,"See Group 2: “The Casbah” in Gaia’s Guide (1975) is the same bar at Plymouth & Hubble as Damron’s “Casbah,” differing only by the addition of the definite article and the guidebook source.",high
8,Terry's Ranch,(also C-AH-WE),Bars/Clubs,4117 Maple,Dallas,TX,Bob Damron's Address Book,1977,,4,"Record is Terry’s Ranch at 4117 Maple (Damron 1977). Shares exact address and Ranch suffix with the Tex’s Ranch entry, suggesting a later rename or listing inconsistency.",medium
9,Vapors,(Baths),Baths,509 S.W. 4th,Portland,OR,Bob Damron's Address Book,1979,Cruisy Area,12,"‘Vapors’ is distinct in name, type (Baths), and address (509 SW 4th), with no other records sharing those attributes, indicating it is a standalone listing.",high
10,Dahl & Penne's,"Tel. 228-7469. Basically a man's bar. Pool tabla,
 dancing, show bar restaurant. Beer garden. During the week it's about 5% gay
 women and weekends about 20% gay women. It's open from 7am-2.30am 7 days a weak.
 The shows which are Friday and Saturday at 9pm and 11 .30pm are free.",Show Bar,604 SW Second,Portland,OR,Gaia's Guide,1983,,10,"Records 1, 2, and 3 all refer to the same Portland bar despite minor name spelling differences (‘Dahl & Penn’, ‘Dahl & Penne’, ‘Dahl & Penne’s’) and variations in how the address is written (Alder & 2nd Ave. SW vs. 604 SW 2nd). The consistent city/state and overlapping publication contexts confirm this is the same venue over different years.",high
11,T.N.T. Baths,(Pool- Fantasy rooms),Bathhouses,13333 W. 8 Mile Rd.,Detroit,MI,Bob Damron's Address Book,1985,"(RT),(G),(B-1970-1989)",9,"The 1985 “T.N.T. Baths” shares the unique address (13333 W. 8 Mile Rd.), the ‘T.N.T.’ brand, and bathhouse function with other T.N.T. entries, confirming a single evolving establishment.",high
