record_id,UNIQUE_ID,REASONING,CONFIDENCE
d-1995-01519,1,"“Double Diamond” appears only once in the dataset with a unique title, type (Bars), and address (450 S. Galena). No other record shares its name or location details.",high
d-2001-01371,2,"“Explore Booksellers & Bistro” appears in both 2001 and 2002 with the same name, address (221 E Main, Aspen, CO), phone number, hours, and amenity features. This indicates the same entity.",high
d-2002-03516,2,"See reasoning for record d-2001-01371. The title, address, description, and amenity features match exactly, signifying the same bookstore & bistro in consecutive years.",high
d-1985-02660,3,"“Hyman St. Mall” is listed only once as a cruising area, with no matching entries under any other year or guidebook, making it a standalone entity.",high
d-1996-01393,4,"“Silver Nugget” appears only once with a unique combination of name, type (Bars), address (Hyman Ave. Mall), and description of hours and restaurant features. No other record matches these details.",high
d-2002-03515,5,“Syzygy” is uniquely listed once as a restaurant at 520 E Hyman with specific hours and phone number. There are no other entries sharing this name or address.,high
d-1993-01426,6,"‘Adventure Bound Expeditions’ appears only once in the dataset (unique title, address, phone, type, publication, and year), so it cannot be matched to any other record.",high
d-1969-00311,7,"‘Buff Room’ appears only once (unique name, address, type, and amenity features) and there are no other Bars/Clubs in Boulder with the same or similar title in the data.",high
d-1997-05627,8,"‘Colorado Community Directories’ is unique in title and type (Publications) and only appears in the 1997 Damron’s guide, so it has no match.",high
d-1990-01220,9,"‘Gay & Concerned Catholics’ appears only once (unique religious organization listing, address, phone, and year) with no counterpart in Gaia’s or other years.",high
g-1977-00227,10,"‘Gay Liberation’ (Gaia’s Guide 1977) appears only in that publication and year, with no duplicate listing in Damron’s Guide or other Gaia years in this dataset.",high
d-1998-06339,11,"‘Left Hand Books’ is unique (only one bookstore/retail shop entry with that exact name, address, and phone) and not repeated elsewhere.",high
d-1982-03393,12,‘Pearl St. Mall’ is listed once as a Cruising Area in the 1982 Damron’s Guide with no other matching title or type in the dataset.,high
d-1996-01402,13,"‘The Briar Rose’ appears only once (B&B accommodation, unique address and phone) and isn’t repeated in any other year or guide.",high
d-1991-01296,14,"‘Yard ofAle’ is a single Bars/Clubs entry (unique name, address, hours, and features) with no duplicates in other records.",high
d-1977-00798,15,"Only one listing was provided, so there are no other records to compare or group with. This record stands alone as a unique entity.",high
