"title","type","address","city","state","description","stars","star.type","notes","year","unclear.address","statewide.address","mentions.race","mentions.disability","transcription.method"
"Pete's","Bar","818 Opalika Avenue","Auburn","AL","","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Chances R Lounge","Bar","208 North 23rd Street
","Birmingham","AL","","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Gismo's","Bar","909 South 22nd Street","Birmingham","AL","","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Dothan Hotel (Upstairs Bar)","Bar","314 North Forester","Dothan","AL","","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Redmont Hotel Lounge","Bar","5th Avenue at 22nd Street","Birmingham","AL","","*","Bars, Clubs, Coffeehouses ","",1977,"checked","","",,"manual"
"Society Lounge","Bar","56 South Conception","Mobile","AL","","****","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Le Fontaine","Bar","508 Dauphine Street","Mobile","AL","Tel. 433-9197","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Princess House Lounge","Bar","254 Government Street","Mobile","AL","Tel. 432-2238","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Goldenrod Social Club","Bar","155 Government Street","Mobile","AL","","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"T.J.'s Lounge","Bar","301 St. Francis","Mobile","AL","","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Rainbow","Bar","305 Randolph Street","Montgomery","AL","","**","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Chukker","Bar","2121 6th Street","Tuscaloosa","AL","Tel. 758-9445","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Stafford Hotel Bar","Bar","3209-9th Street","Tuscaloosa","AL","(Downstairs)","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Club Rendezvous","Bar","612 E. 4th Ave","Anchorage","AK","","**","","",1977,"","","",,"manual"
"Bonfire Lounge","Bar","111 West 5th Ave ","Anchorage","AK","Tel. 277-9900 or 272-7059","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Elbow Room","Bar","410 Second Avenue","Fairbanks","AK","","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Latch String Bar ","Bar","127 Franklin Street","Juneau","AK","127 Franklin Street","*","Bars, Clubs, Coffeehouses ","",1977,"","","",,"manual"
"Woman Rising","Magazine","","Phoenix","AZ","Tel. 268-8856 PO Bx 27292; 85282. $2.50 per year. Local news, reviews, resource list. ","","","",1977,"checked","","",,"manual"
"Women's Clinic","Clinic","2021 North Central","Phoenix","AZ","Tel. (275)-0743","","","",1977,"","","",,"manual"
