title,type,statewide.address,address,unclear.address,city,state,description,stars,star.type,Mentions Race?,Mentions Disability?,notes,Start date,year
Gay Liberation,Organizations,,P.O Box 1614;35201,checked,Birmingham,AL,,,Organizations,,,,,1975
The Outer Focus,Bars,,117 21st North,,Birmingham,AL,Tel. 254-9488,**,Bars and Clubs,,,,,1975
"""Gismo's""",Bars,,209 South 22nd St. ,,Birmingham,AL,,**,Bars and Clubs,,,,,1975
The Matador,Bars,,208 North 22nd St.,,Birmingham,AL,,**,Bars and Clubs,,,,,1975
The Red Room,Bars,,2101 5th North,,Birmingham,AL,Tel. 251-0171 ,**,Bars and Clubs,,,,,1975
Tito's Lounge,Bars,,1310 First North,,Birmingham,AL,Tel. 254-9145 ,**,Bars and Clubs,,,,,1975
Princess House Lounge,Bars,,254 GOV'T ST,,Mobile,AL,,*,Bars and Clubs,,,,,1975
Flamingo Room,Bars,," 170 St, Francis",,Mobile,AL,432-9862,**,Bars and Clubs,,,"Flamingo Room is accompanied by a number (432-9862) that appears to be a telephone number, but is not listed as such. Other listings say ""Tel."" prior to listing the number, this one does not. Thought I should list it here anyway.",,1975
The Exchange,Bars,,5 Commerce St.,,Montgomery,AL,,*,Bars and Clubs,,,,,1975
"""GAZE""",Organizations,,Box 5877;35486 ,checked,Tuscaloosa,AL,(Univ. of Alabama),,Organizations,,,,,1975
The Women's Collection,Organizations,,Univ. of Kansas,checked,Lawrence,KS,c/o Women's Center - Univ. of Kansas;66044. (Room 104B),****,Organizations,,,,,1975
Pete's Pub,Bars,,2550 W. 47th,,Kansas City,KS,Tel.722-9867,***,Bars and Clubs,,,,,1975
Terrace Lounge,Bars,,116 E. 7th.,,Topeka,KS,Tel.354-9278,**,Bars and Clubs,,,,,1975
Jekyll & Hyde,Bars,,1119 E. Pawnee,,Wichita,KS,,****,Bars and Clubs,,,,,1975
Eleven Twenty Three Club,Bars,,1123 East Douglas,,Wichita,KS,Tel. 262-9077 ,**,Bars and Clubs,,,,,1975
Jacks by the Tracks,Bars,,1534 Ida St.,,Wichita,KS,262-9222,**,Bars and Clubs,,,,,1975
Bus Station,Bars,,1117 E. Pawnee,,Wichita,KS,,**,Bars and Clubs,,,,,1975
