title,type,statewide.address,address,unclear.address,stars,star.type,description,city,state,Mentions Race?,Mentions Disability?,notes,Feminist Bookstores,year
Pete's,Bar,,818 Opalika Avenue,,*,"Bars, Clubs, Coffeehouses ",,Auburn,AL,,,,,1977
Chances R Lounge,Bar,,"208 North 23rd Street
",,*,"Bars, Clubs, Coffeehouses ",,Birmingham,AL,,,,,1977
Gismo's,Bar,,909 South 22nd Street,,**,"Bars, Clubs, Coffeehouses ",,Birmingham,AL,,,,,1977
Dothan Hotel (Upstairs Bar),Bar,,314 North Forester,,*,"Bars, Clubs, Coffeehouses ",,Dothan,AL,,,,,1977
Redmont Hotel Lounge,Bar,,5th Avenue at 22nd Street,checked,*,"Bars, Clubs, Coffeehouses ",,Birmingham,AL,,,,,1977
Society Lounge,Bar,,56 South Conception,,****,"Bars, Clubs, Coffeehouses ",,Mobile,AL,,,,,1977
Le Fontaine,Bar,,508 Dauphine Street,,**,"Bars, Clubs, Coffeehouses ",Tel. 433-9197,Mobile,AL,,,,,1977
Princess House Lounge,Bar,,254 Government Street,,**,"Bars, Clubs, Coffeehouses ",Tel. 432-2238,Mobile,AL,,,,,1977
Goldenrod Social Club,Bar,,155 Government Street,,*,"Bars, Clubs, Coffeehouses ",,Mobile,AL,,,,,1977
T.J.'s Lounge,Bar,,301 St. Francis,,*,"Bars, Clubs, Coffeehouses ",,Mobile,AL,,,,,1977
Rainbow,Bar,,305 Randolph Street,,**,"Bars, Clubs, Coffeehouses ",,Montgomery,AL,,,,,1977
Chukker,Bar,,2121 6th Street,,*,"Bars, Clubs, Coffeehouses ",Tel. 758-9445,Tuscaloosa,AL,,,,,1977
Stafford Hotel Bar,Bar,,3209-9th Street,,*,"Bars, Clubs, Coffeehouses ",(Downstairs),Tuscaloosa,AL,,,,,1977
Club Rendezvous,Bar,,612 E. 4th Ave,,**,,,Anchorage,AK,,,,,1977
Bonfire Lounge,Bar,,111 West 5th Ave ,,*,"Bars, Clubs, Coffeehouses ",Tel. 277-9900 or 272-7059,Anchorage,AK,,,,,1977
Elbow Room,Bar,,410 Second Avenue,,*,"Bars, Clubs, Coffeehouses ",,Fairbanks,AK,,,,,1977
Latch String Bar ,Bar,,127 Franklin Street,,*,"Bars, Clubs, Coffeehouses ",127 Franklin Street,Juneau,AK,,,,,1977
Woman Rising,Magazine,,,checked,,,"Tel. 268-8856 PO Bx 27292; 85282. $2.50 per year. Local news, reviews, resource list. ",Phoenix,AZ,,,,,1977
Women's Clinic,Clinic,,2021 North Central,,,,Tel. (275)-0743,Phoenix,AZ,,,,,1977
Lesbian Task Force of N.O.W.,Group,,,checked,**,Organizations,Tel. (602)-966-0039 and 255-0154 PO Box 11344; 85061.,Phoenix,AZ,,,,,1977
Caterpillar Wings,Poetry/Music Collective,,,checked,,,"Tel. 967-1994. ""Lesbian poets and songwriters. Let's get together and share.""",Phoenix,AZ,,,,,1977
Phoenixbird,Softball,,,checked,,,"Tel. 268-8856 or see ""Women Rising"" for current details. ",Phoenix,AZ,,,,,1977
The Habit,Bar,,7051 North 7th Street ,,****,"Bars, Clubs, Coffeehouses ",Tel. 994-9018 Women's Rock Bands,Phoenix,AZ,,,,,1977
Sportsmen's Lounge,Bar,,4622 7th Street,,***,"Bars, Clubs, Coffeehouses ",Tel. 279-9041,Phoenix,AZ,,,,,1977
Diamond Lil's,Bar,,3025 North 24th Street,,**,"Bars, Clubs, Coffeehouses ",Tel. 956-9937,Phoenix,AZ,,,,,1977
The Talk of the Town,Bar,,3701 North 16th Street,,****,"Bars, Clubs, Coffeehouses ",Tel. (602)-263-9960,Phoenix,AZ,,,,,1977
Unlimited,Bar,,2320 North 32nd Street,,****,"Bars, Clubs, Coffeehouses ",Tel. (602)-957-9929,Phoenix,AZ,,,,,1977
C.F.W.,Counseling Service,,4216 North Brown No. 1,,,,Tel. (602) 994-5742 women counselors who concentrate on the needs of women. ,Scottsdale,AZ,,,,,1977
The Women's Center,Women's Center,,1430 South McAllister,,,,Tel. (602) 968-0743 ,Tempe,AZ,,,,,1977
Free Spirit,Organization,,,checked,***(**),Organizations,Tel. (602)-966-5090 Helpline 271-0125 Saturday and Sunday nights from 8pm-12pm. ,Tempe,AZ,,,,,1977
Tucson Women's Center,,,6th Street,checked,,,"Tel. 286-8856 (Phoenix Information for details) Mainly a crisis center for women - also a crash pad for needy travelers. Fantastic staff: helpful, really nice women. ",Tucson,AZ,,,,,1977
Women's Colorado Land Collective,Land Trust,,"110 West Geneva Drive, Tempe Arizona",,,,Tel (602) 966-0039 Planning for a Southwest Women's Land Trust - one primary location will probably be in western Colorado - exploring and expanding the collective concept. ,Tempe,AZ,,,,,1977
Antigone Books,Feminist Bookstore,,415 North 4th Ave ,,,,,Tucson,AZ,,,,,1977
Back Pocket/Stonewall ,Bar,,2921 1/2 North First Ave,checked,,,Mostly gay men. ,Tucson,AZ,,,,,1977
