title,type,statewide.address,address,unclear.address,city,state,description,stars,star.type,Mentions Race?,Mentions Disability?,notes,year
Gay Alaska,Publications,,PO Box 1581,checked,Anchorage,AK,"99510. One year: $7.50. Very handy, non-sexist monthly. Political in orientation with lots of lesbian news and an events calander.  ",,,,,,1979
Alaska Lesbians,Centers,,PO Box 188,checked,Anchorage,AK,"c/o Alaska Women's Resource Center, PO Box 188, 99510. Tel. 
(907) 278-9047. Open: Monday to Friday, 9-5pm, Their publ: 'Klondyke ke Kontact', bimonthly, Includes events calendar, local news, radio & TV. Requests input. ",****(*),Center,,,,1979
Klondyke Kontact,Group,,PO Box 1173,checked,Anchorage,AK,"99570. Their news letter: "" Klondyke Kontact'. ",**,Organizations,,,,1979
Gay Community Center,Centers,,838 1/2 8th St,,Anchorage,AK,(behind the Bread Factory). Tel 276-3909. ,***,Center,,,,1979
Disco Den,Bars,,122 E 4th Ave,,Anchorage,AK,Tel. 276-9554. ,**(MGM),"Bars, Clubs, Coffeehouses",,,,1979
Gay Information Services,Service,,PO Box 812,checked,Anchorage,AK,"99510. Tel. (907) 276-8129, Friday and Saturday from 8pm-12 midnight. ",,,,,,1979
M.C.C. of Anchorage,Religious Groups,,429 Barrow St,,Anchorage,AK,"Office: 429 Barrow St: 99501. Worship Service: 602 West 10th Ave. Tel. (907) 272-1715, 24 hour. Switchboard, A full range of social and religious activities. Lesbian participation. Their publ: 'Light of the North'. includes a calendar of events for M.C.C. activities, plus a very handy community and bar guide titled ""Where its at"". Monthly. ",,,,,,1979
The Cauldron,Restaurants,,328 G St,checked,Anchorage,AK,Tel. 276-0692. Home-cooked food and live folk music. Open for lunch and dinner. ,*,Restaurant,,,,1979
Jakes Place,Bars,,111 W 5th Ave,,Anchorage,AK,"Tel. 274-9820. ""OK for wimmin is desperate"". ",**(MGM),,,,,1979
The Bread Factory,Restaurants,,835 I St,,Anchorage,AK,Tel. 274-2882. Natural foods tavern. ,*,Restaurant,,,,1979
Ruby's Relief and Rescue,Coffeehouse,,,checked,Anchorage,AK,for current details check with Alaska Women's Resource Center. Women's coffeehouse. ,(****),"Bars, Clubs, Coffeehouses",,,,1979
"""Upstairs""",Bars,,,checked,Fairbanks,AK,"get address locally, Private members' club. Might be only gay men. ",**(MGM),"Bars, Clubs, Coffeehouses",,,,1979
Women's Center,Centers,,207 Razor Back Rd,,Fayetteville,AK,"72701. Tel. (501) 44304998- Switchboard, Mon-Fri. 9am-5pm. Their publ: 'Hard Labor' - quarterly newspaper. ",****(*),Organizations,,,,1979
New Orleans Hotel,Hotel,,,checked,Eureka Springs,AK,Feminist-owned and highly recommended.,,,,,,1979
Wimmin on Land,Land Retreat,,PO Box 521,checked,Fayetteville,AK,"'A collective of wimmin... to get life support systems going for wimmin who are coming out of mental prisons, who need a farm space to heal in, to rest, to work, to learn collective process. WoL welcomes serious visitors and wants to get together workshops on political direction, class, racism. : etc. Please write to us about who you are and enclose a stamped, self-addressed envelope.""",,,,,,1979
Hy-Kamp Lounge,Bars,,800 N 10th,,Fort Smith,AK,Tel. (501) 783-9494. Gay women and men. Closed Sundays. Recommended.,**,"Bars, Clubs, Coffeehouses",,,,1979
Norma Kristie's,Bars,,220 Central,,Hot Springs,AK,Tel. 623-3259.,**,"Bars, Clubs, Coffeehouses",,,,1979
Bonnie's Lounge and Showbar,Bars,,600 N 10th,,Fort Smith,AK,Tel. (501) 783-9002.,**,"Bars, Clubs, Coffeehouses",,,,1979
Drummers Club,Bars,,,checked,Little Rock,AK,in the Manning Motor Hotel. tel. 372-9430. Disco and shows. Opens at 8pm nitely. Recommended as being very gay and a good place to ask for more info. on the local scene. ,**,"Bars, Clubs, Coffeehouses",,,,1979
The French Quarter,Bars,,Main St,checked,Little Rock,AK,Main Street (across from the Trail-ways Bus Depot). Tel. (501) 371-9966. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Pete's ,Bars,,816 Opalika Ave,,Auburn,AL,,*,"Bars, Clubs, Coffeehouses",,,,1979
Focus Phase II,Bars,,117 1/2 N 21st St,,Birmingham,AL,"35204. Tel. (205) 254-8621. Open 7pm onwards. Disco dancing by Santana, 9pm till... Pool tables and game machines. Female impersonator shows: Friday, Saturday and Sunday by Lady Baronessa- Miss Gay America 1973, Show Director, Focus Phase II also sponsors a women's softball team. Very, very highly recommended. ",***,"Bars, Clubs, Coffeehouses",,,,1979
Gizmo's ,Bars,,909 S 22nd St ,,Birmingham,AL,"35205. Tel. (205) 254-8816. Open: Mon-Friday 4:00pm onwards"" Saturday 4pm-2am. Private Club licence applied for. It's MGM now, but if Gizmo's if does become a private club, they hope to see more gay women. Dancing, entertainment (Mr. & Miss Gay Alabama/Mr. & Miss Gay Birmingham contests), pool table pin ball and other games. ",**,"Bars, Clubs, Coffeehouses",,,,1979
Vickie's Lounge ,Bars,,2830 7th Ave,,Birmingham,AL,35203. Tel. 254-9194.,**,"Bars, Clubs, Coffeehouses",,,,1979
Belle Waitling's,Bars,,607 N 21st St,,Birmingham,AL,Tel. (205) 252-6233. Disco and Piano Bar. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Rhinestone Circus/ J & B Yumm Yumm Tree,Show-Bar,,5009 SW Governors Dr,,Huntsville,AL,Showbar/Disco Palace,**,"Bars, Clubs, Coffeehouses",,,,1979
Society Lounge ,Bars,,51 S Conception,,Mobile,AL,Tel. 433-9191. ,***,"Bars, Clubs, Coffeehouses",,,,1979
Fireside Lounge ,Bars,,54 S Conception,,Mobile,AL,Tel. (205) 433-9258. Disco. ,**,"Bars, Clubs, Coffeehouses",,,,1979
French Quarter ,Bars,,215 Conti St,,Mobile,AL,Tel. (205) 438 9139. Disco. ,***,"Bars, Clubs, Coffeehouses",,,,1979
Rainbow,Bars,,302 Randolph St,,Montgomery,AL,Tel. 264-9168. Still a very 'in' disco. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Ce Ray's Corral Club,Bars,,2015 Federal Dr,,Montgomery,AL,"Mailing: 856 East Patton; 366111. Tel. (205) 272-9810. ""Montgomery's newest and largest gay club. Up to 500n people 50% gay women, 50% gay men. This place is totally gay."" Game Room, Disco, Showbar. Tuesday is ""Dyke Night"" happy hour prices all night; Sunday's there's volleyball, bingo, pool tournaments, badminton. Hours are: Tues-Frid. 4pm till late. Sat. 8pm till late (show nite); Sundays 1 pm till... Owners: Celia E. Brown (State Coordinator- NOW) and tay Harper. Very, very highly recommended. ",**(**),"Bars, Clubs, Coffeehouses",,,,1979
Chukker,Bars,,2121-6th St,,Tuscaloosa,AL,Tel. 758-9445.,*,"Bars, Clubs, Coffeehouses",,,,1979
"""Arizona Women's Yellow Pages""",Directory,checked,PO Box 3242,checked,Scottsdale,AZ,"85257. $3.00 per year. Divided into three categories: 1) Women in Business; 2) Resources available to women; 3) Women's organizations. Very, very handy and highly recommended. ",,,,,,1979
"""The Directory"" ",Publications,,PO Box 16054,checked,Phoenix,AZ,"Rox Publishing Co., PO Box 16054; 85011. Tel. 967-4131. ""Distributed free to the gay community. ""Includes bars, centers, business, etc., and a centerfold map. Very highly recommended. ",,,,,,1979
Women's Center,Women's Center,,333 E McDowell,,Phoenix,AZ,"85004. Tel. 258-9227. Rap groups, legal services, workshops, free alcohol counseling. ",****(*),Organizations,,,,1979
M.C.C. ,Religious Groups,,PO Box 10718,checked,Phoenix,AZ,Tel. 273-7000. Church: 40325 E McDowell. ,,,,,,1979
Women's Line,Service,,,checked,Phoenix,AZ,"Tel. 252-5152. Open 2pm-10pm seven days. Telephone counseling, crisis counseling, information and referrals. ",,,,,,1979
Full Moon,Bars,,3108 E McDowell,,Phoenix,AZ,Open: Mon-Fri. 10am-1am; Weekends noon-1am. Nitely disco plus live bands and gay community fund raisers. Very highly recommended. Opened in may 1978. ,****,"Bars, Clubs, Coffeehouses",,,,1979
The Talk of the Town,Bars,,3701 n 16th St,,Phoenix,AZ,Tel. (602) 263-9960. ,****,"Bars, Clubs, Coffeehouses",,,,1979
Unlimited,Bars,,2320 N 32nd St,,Phoenix,AZ,(at Oak). Tel. (602) 957-9929.,****,"Bars, Clubs, Coffeehouses",,,,1979
Diamond Lil's,Bars,,3025 N 24th St,,Phoenix,AZ,"Tel. (602) 956-9937. MGM, occasional drag shows. ",**,"Bars, Clubs, Coffeehouses",,,,1979
His Co. Disco,Bars,,3839 N 16th St,,Phoenix,AZ,Tel. 248-9580. Very popular big disco. ,**,"Bars, Clubs, Coffeehouses",,,,1979
Miss Matty's Attic,Bars,,3241 E Shea,,Phoenix,AZ,"Tel. 996-9460, Big disco. ",**,"Bars, Clubs, Coffeehouses",,,,1979
Casa de Roma,Show-Bar,,4331 N 16th St,,Phoenix,AZ,Tel. 248-9624.,**,"Bars, Clubs, Coffeehouses",,,,1979
New Morning Cafe,Restaurants,,16th St,checked,Phoenix,AZ,(just north of Thomas) Tel. 279-6322. Open: Mon-Thurs. 11:30am-9:00pm; Fri & Sat. 11:30am-1:00pm. Natural food. ,,,,,,1979
Womansplace Bookstore,Bookstores,,2401 N 32nd St,,Phoenix,AZ,"85008. Tel. (602) 956-0456. ""Feminist and lesbian books, newspapers, periodicals, records, buttons, greeting cards, stickers, jewelry, etc. Three mail order booklists- lesbian, feminist, non-sexist children's. Send a 13 cent stamp for each list. We sell Gaia's Guide.""",,,,,,1979
Roommate Finders,Roommate Service,,4747 N 16th St,,Phoenix,AZ,"Suite 8111. Tel. 264-0809. ""We maintain a gay roommate file"". ",,,,,,1979
Free Spirit,Group,,PO Box 117,checked,Tempe,AZ,"Tel. (602) 966-5090. Gay services at Arizona State University. Switchboard, coffeehouses, bar nites, newsletter. Helpline: 271-0125, Sat. & Sun. nites from 8pm to midnight. ",**(?),Organizations,,,,1979
Hills Books,Group,,901 S Mill Ave,,Tempe,AZ,Tel. 967-5243. Open: Mon-Sat. 10am-8pm; Sun. 10am-1pm.,,,,,,1979
"""Arizona Gay News""",Publications,,PO Box 5002,checked,Tucson,AZ,85703. Tel. 623-5268. Weekly gay newspaper distributed free at gay establishments. (but it is happening?),(?),Publication,,,,1979
Women's Center,Centers,,419 S Stone,,Tucson,AZ,Tel. 792-1929. Very active women's center. ,****,Organizations,,,,1979
Gay Community Services,Centers,,627 N 7th Ave,,Tucson,AZ,Tel. 622-2324.,***,Organizations,,,,1979
M.C.C. ,Religious Groups,,PO Box 27628,checked,Tucson,AZ,85726. Tel. (602) 748-8699. Regular meetings and social activities; temporary housing provided for women only. ,,,,,,1979
Wicca Mountain,Womyn's Land,checked,3100 Ridgewood Rd,,Willits,CA,"94590. Tel. (707) 459-5776. ""We offer 17 acres of secluded land where womyn can come and camp at $2.00 a night. This land is also available for womyn to rent for weekend retreats. During the summer we run a feminist camp for young womyn aged 7-14."" Write to them for more information.",,,,,,1979
The Bacchanal,Bars,,1369 Solano Ave,,Albany,CA,"Tel. 527-1314. Open every day at 5pm. (21 plus I.D. essential). A bar for all women, feminist owned and operated. "" We serve wine, beers, good coffee and teas, plus other non-alcoholic beverages and sandwiches. Each week we present women's music, poetry, film, theater, lectures and special happenings. We've got a small art gallery and a place for meetings. We play pool, ping-pong, and chess. We've also got a groovy dance floor. Our goal: to provide a hassle-free atmosphere for women come and have a good time with us."" Recommended. ",****,"Bars, Clubs, Coffeehouses",,,,1979
Mountain Sisters,Feminist Store,,PO Box 426,checked,Angels Camp,CA,"Old Bank Mail, PO Box 426, 95222. Tel/ (209) 736-4801. Feminist goods store in the Sierra Nevada. Books, jewelry, unique t-shirts, ethnic clothing, etc. ""Tiny But Terrific!"" A group of forward-thinking women organizing in the the Sierra Nevadas. ",,,,,,1979
Lee I,Bars,,1030 20th St,,Bakersfield,CA,,****,"Bars, Clubs, Coffeehouses",,,,1979
"""Plexus""",Newspaper,,2600 Dwight Way,,Berkeley,CA,"Room 209; 94704. Tel. (415) 841-2476. ""Started in '74. News and reviews. bay Area's only women's newspaper. Events calendar, radio and TV selections. ""Subscriptions: $5.00 per annum. A truly tremendous source of information for all lesbians in the Bay Area.",,,,,,1979
Labyris,Jewelry/Crafts,,124 E H St,,Benecia,CA,"94510. Tel. (707) 745-5076. ""Fine quality gold and silver, as well as pots of feminine grace in porcelain and stoneware. We also carry lesbian graphics and custom design is our speciality. Jewelry and crafts for women by women."" Free catalog. ",,,,,,1979
Berkeley Women's Center,Organization and Service,,2112 Channing Way,,Berkeley,CA,94704. Tel/ (415) 548-4343.,****(*),Organizations,,,,1979
San Francisco and East Bay Women's Yellow Pages,Directory,,2112 Channing Way,,Berkeley,CA,"c/o Berkeley Women's Center, 94704. Tel. (415) 548-4343. yellow Pages for women in the area to list organizations, skills, etc. -not all gay, but any gay services, etc., and gay consciousness. Very highly recommended reading. ",,,,,,1979
Pacific Center For Human Growth,Organization and Service,,2329 San Pablo Ave,,Berkeley,CA,"94710. Tel. 841-6224, Switchboard 10am-10pm. Crisis and referral switchboard for housing, jobs, etc. Monthly newsletter, monthly women's calendar of events. Women's programs, including rap groups: Slightly Older Lesbians; Bisexuality; Open Lesbian; Working Class Women; Younger Lesbian. Also, Mental Health services, Educational services, social activities, pot-luck suppers. ",***(**),Organizations,,,,1979
Pacific Center Bay Area Gay Switchboard,Organization and Service,,,checked,Berkeley,CA,444-5555 (this is an additional number.,,,,,,1979
Gay Community Center,Organization and Service,,2714 Telegraph Ave,,Berkeley,CA,2714 Telegraph Ave; 94705. Tel. 848-9220. Lesbian groups. ,***(**),Organizations,,,,1979
University of California Gay People's Union,Organization and Service,,,checked,Berkeley,CA,Tel. 642-3566. ,*,Organizations,,,,1979
Gay Events Tape,Organization and Service,,,checked,Berkeley,CA,Tel. 444-7979.,,,,,,1979
M.C.C of the East Bay,Religious Groups,,2714 Telegraph Ave,,Berkeley,CA,"94705 (Gay Community Center). Tel. (415) 549-1975. Office & Info: Mon-Wed. 3-8pm Sat. 12-4pm. Counseling available: personal and relationship, spirtual (counselors are lesbian women). Lesbian Rap Group: Mondays at 7:30pm. Worship Service: Sundays at 7:30pm. ",,,,,,1979
Kafeneo,Restaurants,,1543 Shattuck Ave,,Berkeley,CA,Tel. 848-9664.,,,,,,1979
The Brick Hut,Restaurants,,3017 Adeline St,,Berkeley,CA,"Tel. 841-6853. Short order breakfast/lunch, Mon-Fri: 7:30am-2:00pm; Sat. & Sun: 8:30-3:00pm. Collectively-owned and operated.  ",**,Restaurant,,,,1979
Cheese and Coffee Center,Restaurants,,2110 Center St,,Berkeley,CA,Tel 848-7115. ,,,,,,1979
Clements & Fisher,Jewelry,,1488 Solano Ave,,Berkeley,CA,94706. For special gifts- jewelry designed and made by Joyce Clements and Linda Fisher. ,,,,,,1979
Womyn's Adventures,Travel Agency,,2532 Cedar,,Berkeley,CA,"94708. Tel. (415) 841-6500 ext. 197. Their trips include ... ""Wmyn's adventure to Kauai"", plus ""Lay Back Tours"" (Mexico in the sun), ""Amazon Adventures"" and ""Stardust Trails"". ",,,,,,1979
