title,type,address,unclear.address,city,state,statewide.address,description,stars,Star Type,Mentions Race?,Mentions Disability?,notes,Questions/Unsure Dr. R should check,year,Last Modified By,Last Modified
Alaska Lesbian Feminist Alliance,Groups,1134 G Street,,Anchorage,AK,, Tel. 272-4716,,,,,,,1985,,8/8/2024 8:42am
Metropolitan Community Church: Log Cabin Church,Religious Groups,602 W. 10th Ave.,,Anchorage,AK,,Tel. 333-7900,,,,,,,1985,,8/8/2024 8:42am
Alaska Women's Bookstore,Feminist Bookstore,111 West 9th Ave.,,Anchorage,AK,,"Tel.272-4716. Well-stocked feminist bookstore and info center. Your first stop in Anchorage. They sell GAIA'S GUIDE. Say 'hi' from GAIA. They always have info on the latest local lesbian groups, ask them about lesbian A.A., etc. ",,,,,,,1985,,8/8/2024 8:42am
Constance Woolfe,Counselling/Therapy,1134 G Street,,Anchorage,AK,,Tel. 338-6160,,,,,,,1985,,8/8/2024 8:42am
Village Disco,Bars,225 East 5th Avenue ,,Anchorage,AK,,Tel. 276-2267,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
The Raven,Bars,618 Gabell,,Anchorage,AK,,Tel. 276-9672,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Juneau Women's Resource Center,Organizations,"110 Seward Street, Room 6",,Juneau,AK,,Tel. 586-2977.,****(*),Organizations,,,,,1985,Amanda Regan,7/14/2025 6:50pm
Birmingham Gay Center,Centers,,checked,Birmingham,AL,,Tel. 939-1543 (switchboard 6 pm-9 pm) + Gay A.A. meetings + other groups.,***,Organizations,,,,,1985,,8/8/2024 8:42am
LAMBDA Hotling Gay INFO,Services,,checked,Birmingham,AL,,Tel. 251-0682,,,,,,,1985,,8/8/2024 8:42am
Metropolitan Comunity Church,Religious Groups,,checked,Birmingham,AL,,corner 6th Ct. & 21st Street South (downstairs)- on the side facing 21st Street; Tel. 320-6113.,,,,,,,1985,,8/8/2024 8:42am
Basics,Bars,"912-19th Street, North",,Birmingham,AL,,Tel. 254-8612.,***,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Bill's Place,Bars,208 - 23rd Street North,,Birmingham,AL,, Tel. 254-8634. ,***,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Belle's,Bars,2327 Morris Avenue,,Birmingham,AL,, Tel. 254-9130. Still going?,***,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Gizmo Lounge,Bars,909-22nd Street,,Birmingham,AL,,Tel. 254-8816.,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
C.O.A.D. (Coming Out After Dark),Bars,2120 Morris Avenue,,Birmingham,AL,,"Tel. 328-2600. Disco, games, pool tables.",**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
Lodestar Books,Alternative Bookstore,"2020 11th Avenue, South (Five Points South)",,Birmingham,AL,,"Tel. 939-3356. Gay & lesbian books, feminist books",,,,,,,1985,,8/8/2024 8:42am
Steak n Eggs,Restaurants,1717-10th Avenue South,,Birmingham,AL,,Tel. 933-9822. Acknowledged gay hangout especially after hours.,*,Restaurants,,,,,1985,,8/8/2024 8:42am
Magnolia,Music Production,21 S 15th St,,Birmingham,AL,checked,"35205 Arrange concerts, etc.",,,,,,,1985,,8/8/2024 8:42am
Rodofo's Holiday Inn,Bars,Ross Clark Circle,checked,Dothan,AL,,,**,"Bars, Clubs, Coffeehouses",,,,,1985,,10/11/2024 9:56pm
FATS,Bars,315 South 2nd,,Gadsen,AL,, Tel. 546-4522. ,*,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
HELPLINE,Services,,checked,Huntsville,AL,,Tel. 539-3424,,,,,,,1985,,8/8/2024 8:42am
Atlantis,Bars,2572 Sparkman Drive,,Huntsville,AL,,Tel. 852-9990,**,"Bars, Clubs, Coffeehouses",,,,,1985,,8/8/2024 8:42am
