title,type,address,statewide.address,unclear.address,city,state,description,stars,star.type,Mentions Race?,Mentions Disability?,notes,Last Modified By,Last Modified,year
Gay / Lesbian Info Line,Service,,checked,checked,,AK,"Line-Tel.276-3909. Operates Fri & Sat.
7-11pm",,,,,,Lilly Smith,6/9/2024 1:16pm,1987
Metropolitan Community Church ,Religious Groups,602 W. 10th Ave,,,Anchorage,AK,"Log Cabin Church, Tel. 333-3006",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Alaska Women's Bookstore,Feminist Bookstore,111 West 9th Ave,,,Anchorage,AK,"Women's Building, 99503. (9th at 'A') Tel.272-4716. Well stocked feminist bookstore
and info center. Women's studies/non-sexist children's book~
women's music/posters/jewellry/buttons/T-shirtsYour first stop in
Anchorage. Their mail order list is fabulous & They sell GAIA'S GUl~E.
Say 'hi' from GAIA. They always have info on the latest local lesbian
groups, ask them about lesbian A.A., etc ..",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
The Raven,Bars,618 Gambell,,,Anchorage,AK,Tel. 276-9672,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Village Disco,Bars,225 East 5th Avenue,,,Anchorage,AK,Tel. 276-2267,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Gay / Lesbian Switchboard,Service,,,checked,Fairbanks,AK,"Tel. 456-3353 Women's Resource
Center-Tel.474-6330",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Michael's 500 Club,Bars,500 First Street,,,Fairbanks,AK,Tel.456-5830.,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Alabama Forum,Publications,PO Box 55913,checked,checked,Birmingham,AL,"from: LAMBDA, lnc.,P.O. Box 55913,
Birmingham;35255. Tel. 251-0682.Gay/lesbian newspaper. Regional
directory. $8.00 p.a.",,,,,,Lilly Smith,7/23/2024 3:43pm,1987
Lambda Hotline,Service,,,checked,Birmingham,AL,Gay Info.-Tel. 251-0682,,,,,,Lilly Smith,6/9/2024 1:15pm,1987
Birmingham Gay Center,Centers,"1019 23rd Street, South",,,Birmingham,AL,"South.Tel.323-0184 + 251-0682 (switchboard 6pm-9pm) + Gay
A.A. meetings + other groups",**,Organizations,,,,Amanda Regan,4/11/2024 4:42pm,1987
Metropolitan Community Church,Religious Groups,,,checked,Birmingham,AL,"your best bet for meeting
people outside of the bar scene. Socials, etc. held at the Gay Center.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Bill's Provate Club,Bars,"208 23rd Street, North",,,Birmingham,AL,"Tel. 254-8634.
Private club for women only, very nice atmosphere, has pool tables,
disco.women entertainers each Sat. night at 11 pm. Open Mon-Sat.
6pm till late, Sundays from 4pm-midnight. Nominal fee cover charges
for non-members.",***,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Basics,Bars,"912 19th Street, North",,,Birmingham,AL,Tel. 254-8612.,***,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Casbah,Bars,909 22nd Street,,,Birmingham,AL,Tel. 254-8816.,*,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Downunder,Bars,2120 Morris Avenue,,,Birmingham,AL,"Tel. 328-2600. Disco, games,
pool tables.",*,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
The Rage,Bars,"620 29th Street, South",,,Birmingham,AL,"south-Tel. 323-RAGE, (323- 7243).
New in 1985, plush disco with huge patio, very crowded on weekends,
open nightly from 9pm. Nominal entrance fees for non- members.",*,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Quest Private Club,Bars,416 South 24th Street,,,Birmingham,AL,"Tel.251-4313.
Basically a men's leather bar, but Sundays lot of women do hang out
here for the drinks specials and patio. Women are always very welcome.",MGM*,"Bars, Clubs, Coffeehouses",,,"MGM* isn't in 'How to Read the Stars'
",Amanda Regan,4/11/2024 4:42pm,1987
Steak n Eggs,Restaurants,1717 10th Avenue South ,,,Birmingham,AL,Tel. 933-9822. Acknowledged gay hang-out especially after hours.,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Bootsie's Bohemian,Restaurants,2921 Highland Ave,,,Birmingham,AL,-Tel. 323-0184,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
