title,type,address,unclear.address,city,state,description,stars,star.type, mentions.race,mention.disability,notes,year
Alaska Women's Bookstore,Feminist Bookstore,2470 East Tudor Rd,,Anchorage,AK,"99507-(east of Tudor and Lake Otis intersection in Frontier Park Mall). -Tel. (907)562-4716. Feminist Bookstore and Local Information Center. Ask us about meetings, get togethers, conferences, groups, social activities, etc_ 'We carry women authors, women's presses and magazines, race-fair and sex-fair children's books, women's music, women's spirituality, local women's crafts, jewelry and art, large recovery section, lesbian books and -GAIA'S GUIDE_' Bulletin board for housing, jobs, services, events. We sponsor women's dances, discussion groups, films, other women's cultural events. All volunteer. say 'hi' from GAIA. ",,,,,,1989
Alaska Women of the Wilderness,Adventure Vacations,PO Box 775226 Eagle River AK 99577,checked,Eagle River,AK,some gay men. too.,,,,,,1989
Village Disco,Bars,225 E 5th Ave,,Anchorage,AK,Tel 276-2267,**,"Bars, Clubs, Coffeehouses",,,,1989
Gay / Lesbian Switchboard,Information Services,,checked,Fairbanks,AK,Tel 456 3353 Answering machine most of the time leave your number for call-back,,,,,,1989
The Raven,Bars,618 Gambell,,Anchorage,AK,Tel 276-9672,,,,,,1989
Fantasies,Bars,3201-3rd Avenue S,,Birmingham,AL,Tel 326-0085,**,"Bars, Clubs, Coffeehouses",,,,1989
Bill's Private Club,Bars,208 23rd Street N,,Birmingham,AL,Tel 254-8634,****,"Bars, Clubs, Coffeehouses",,,,1989
The Rage,Bars,620 29th Street S,,Birmingham,AL,Tel 323-7243,***,"Bars, Clubs, Coffeehouses",,,,1989
Lodestar Books,Bookstores,2020 B 11th Avenue,,Mobile,AL,"Tel. 939-3356 (at Five Points South). Lesbian titles and women's studies & bulletin board. ACKNOWLEDGED LOCAL INFORMATION CENTER. They sell GAIA'S GUIDE, say 'hi' from GAIA.",,Bookstores,,,"Note to ask about bookstores as a star category even though there are no stars
",1989
Cheers,Bars,211 Lee Street,,Montgomery,AL,Tel. 263-0703,**,"Bars, Clubs, Coffeehouses",,,,1989
Metropolitan Community Church,Religious Groups,,checked,Huntsville,AL,"Tel 851 6220 Operates 11am-6pm Mon. -Thurs.. otherwise it's an answering machine Sunday worship is at 6pm
",,Organizations,,,"Note - Org vs. Church - difference?
",1989
Skeeters,Bars,150 Lee Street,,Montgomery,AL,Tel.265-8290,**,"Bars, Clubs, Coffeehouses",,,,1989
Metropolitan Community Church,Religious Groups,1600 Center Street,,Mobile,AL,Tel. 476-9142,,Organizations,,,,1989
Vieux Carre,Bars,1204 Posey Street,checked,Huntsville,AL,Tel.534-5970,***,"Bars, Clubs, Coffeehouses",,,"Note - Original address ""1204 Posey Streel at Cox""",1989
Information Services Helpline,Information Services,,checked,Huntsville,AL,Tel.539-3424,,Organizations,,,,1989
Metropolitan Community Church,Religious Groups,,checked,Montgomery,AL,Gay Help Line -Tel. 476-9142,,Organizations,,,,1989
Golden Rod,Bars,219 Conti Street,,Mobile,AL,"Tel.433-9175 Women's bar and recommended some gay men, too",**,"Bars, Clubs, Coffeehouses",,,,1989
Arkansas Advisor,Publications, PO Box 4397,checked,Little Rock,AR,"Universal Publishers, P O Box 4397. Little Rock; 72214 Tel 225-1300.",,,,,"PO Box, no street address",1989
Arkansas Gay and Lesbian Task Force,Organizations,PO Box 45053,checked,Little Rock,AR,"PO Box 45053, Little Rock 72214 -Tel 664-0227.",,,,,"PO Box, no street address",1989
Hideout,Bars,Old Callon Highway,checked,El Dorado,AR,T I B 3-9701,,"Bars, Clubs, Coffeehouses",,,No stars,1989
Center Street Bar and Grill,Bars,10 Center Street,,Eureka Springs,AR,Tel 253-8102,*,"Bars, Clubs, Coffeehouses",,,,1989
