title,type,address,statewide.address,unclear.address,city,state,description,stars,star.type,Mentions Race?,Mentions Disability?,notes,year
Gayline,No Site Type,,checked,checked,Birmingham,AL,Tel. (205) 326-8600/operates 6pm-10pm ask them about the activities at the Birmingham Gay Center.,,,,,,1991
Metropolitan Community Churches,Religious Groups,,checked,checked,,AL,TEl. 326-8529 & 533-6220 & 264 7887. ,,,,,,1991
Helpline,Information Services,,,checked,Huntsville,AL,Tel. 539-3424. ,,,,,,1991
Metropolitan Community Church Gay Help Line,Information Services,,,checked,Montgomery,AL,Tel. 26407887. ,,,,,,1991
Alaska Women's Health Services,Health Services,,checked,checked,,AK,Tel. 258-6162,,,,,,1991
Alaska Women Athletes,Special Interest Groups,,checked,checked,,AK,Tel. 278-1958. ,,,,,,1991
Alaska Women's Resource Center,Information and Resources,,checked,checked,,AK,Tel. 276-0528. ,****(*),"Bars, Clubs, Coffeehouses",,,,1991
Gay/Lesbian Switchboard,Information Services,,,checked,Fairbanks,AK,"Tel. 456-3353. Answering machine, most of the time, leave your number for call-back. ",,,,,,1991
Wingspan,Lesbian & Gay Community Center,,,checked,Tucson,AZ,"Tel. 624-1778/Monday, Wednesday, Friday: 2-5pm & 6-8pm. Provides support groups/monthly events/speaker's bureau/library/information & referrals.""Very friendly & helpful, and they sponsor some WILD (i.e., more than you'd ever have in a bar) dances"". ",,,,,,1991
Gay Info & Referral ,Information Services,,,checked,Tucson,AZ,"Tel. 602-881/5pm, Monday-Friday. ",,,,,,1991
Center Street bar and Grill,Bars,,,checked,Eureka Springs,AR,Tel. 253-8102. ,*,"Bars, Clubs, Coffeehouses",,,,1991
Fifth Gear,Bars,,,checked,Little Rock,AR,what is new address? ,**,"Bars, Clubs, Coffeehouses",,,,1991
Fresno Gay Hotline,Information Services,,,checked,Fresno,CA,Tel. 264-HELP. ,,,,,,1991
Gay-Lesbian Student Alliance At California State University/Fresno,Student Organization,,,checked,Fresno,CA,Tel. (209) 294-2078. Addressing the needs of all Lesbian and Gay students in the Fresno area. ,,,,,,1991
Different Drummer Bookshoppe,Acknowledged Local Info Center,,,checked,Laguna Beach,CA,your first stop in lesbian/feminist Laguna Beach. ,,,,,,1991
Information Services,No Site Type,,,checked,Laguna Beach,CA,Tel. 497-4237. ,,,,,no site type,1991
Lesbian Pride Dance,Events,,,checked,Los Angeles,CA,June 14th,,,,,Further info for events listed at the bottom of the section with phone number: Tel. (213) 657-1115.,1991
Christopher Street West,Events,,,checked,Los Angeles,CA,June 23-24th ,,,,,Further info for events listed at the bottom of the section with phone number: Tel. (213) 657-1115.,1991
Southern California Women For Understanding ,Events,,,checked,Los Angeles,CA,August: Southern California Women For Understanding (SCWU) will be holding their 15th Anniversary Party. ,,,,,Further info for events listed at the bottom of the section with phone number: Tel. (213) 657-1115.,1991
L.A. Rape & Battery Hotline,Victim / Emergency Services,,,checked,Los Angeles,CA,Tel. (213) 392-9874. ,,,,,,1991
Hotlines,Victim / Emergency Services,,,checked,Los Angeles,CA,Tel. (213) 392-8381 & (213) 626-3393. ,,,,,,1991
IMRU ,Radio Program,,,checked,Los Angeles,CA,Gay Radio and/or Lesbian Sisters. 10pm; KPFK-LA 90.7FM (Don't-cha love the name?). ,,,,,,1991
Club Skirts' Desert Productions ,Women's Venues,,,checked,Los Angeles,CA,"(in Association with: GIRL BAR): Tel. (213) 878-6833 or (415) 337-4962/San Francisco. they organize Events that out the 'G' in Glamour. If you'd fancy a party with 2,500 women (Palm Springs Museum) or dancing the night away in the Deluxe Palm Mountain Resort, give them a ring for further info. ",,,,,,1991
Hotline,Information Services,,,checked,Orange County,CA,Tel. 534-3261. ,,,,,,1991
Lesbian News,No Site Type,,,checked,Orange County,CA,"on sale at most bookstores, etc. listed in GAIA'S GUIDE- for current happenings. ",,,,,,1991
Gay Help Line,Information Services,,,checked,Palm Springs,CA,Tel. 327-2796. ,,,,,,1991
Metropolitan Community Church,Religious Groups,,,checked,Palm Springs,CA,Tel. 251-1356,,,,,,1991
