"title","type","address","unclear.address","city","state","description","stars","star.type","mentions.race","mentions.disability","notes","year","publication","country","geocode.value","lon","lat","geoAddress"
"Society Lounge","Bars","51 South Conception","","Mobile","AL","Tel.433-9191.","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Mobile, AL, United States",-88.0398912,30.6953657,"mobile, al, usa"
"Pete's","Bars","816 Opalika","","Aubrun","AL","Pete's, ","*","Bars, Clubs, Coffeehouses","",NA,"Is Aubrun a misspelling of Auburn?",1981,"Gaia's Guide","United States","Aubrun, AL, United States",-85.4807825,32.6098566,"auburn, al, usa"
"Fireside Lounge","Bars","54 South Conception","","Mobile","AL","Tel.(205) 433 9258. Disco.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Mobile, AL, United States",-88.0398912,30.6953657,"mobile, al, usa"
"Rainbow","Bars","305 Randolf Street","","Montgomery","AL","Tel.264-9 168. Still a very ‘in""disco.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Montgomery, AL, United States",-86.3077368,32.3792233,"montgomery, al, usa"
"Lambda Inc.","Groups","P.O. Box 76162, 35213","checked","Birmingham","AL","Tel.(205)251-0682","*","Organizations","",NA,"",1981,"Gaia's Guide","United States","Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa"
"Lambda Hotline","Services","","checked","Birmingham","AL","Tel.(205)251-0682","-","","",NA,"",1981,"Gaia's Guide","United States","Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa"
"French Quarter","Bars","215 Conti Street","","Mobile","AL","Tel.(205) 438 9139. Disco","***","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Mobile, AL, United States",-88.0398912,30.6953657,"mobile, al, usa"
"Chukker","Bars","2121 6th Street","","Tuscalloosa","AL","Tel.758-9445","*","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Tuscalloosa, AL, United States",-87.5691735,33.2098407,"tuscaloosa, al, usa"
"Belle Watling's","Bars","607 North 21st Street","","Birmingham","AL","Tel. (205) 252-6233. Disco and Piano Bar.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa"
"Rhinestone Circus/J & B's Yumm Yumm Tree","Show-Bars","5009 Governors Drive S.W.","","Huntsville","AL","Showbar/Disco Palace.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Huntsville, AL, United States",-86.5861037,34.7303688,"huntsville, al, usa"
"Vickie's Lounge","Bars","2830 7th Avenue, 35203","","Birmingham","AL","Tel.254-9194.","**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa"
"Disco Den","Bars","122 East 4th Avenue","","Anchorage","AK","Tel. 276-9554. ""Very hidden — behind a bar called ‘The Booby Trap’, in the alley.","MGM**","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Gay Community Cneter","Centers","838.5 8th Street (behind the bread factory)","","Anchorage","AK","(behind the Bread Factory). Tel. 276-3909. P.O. Box 4-2791— mailing address. ""Very strong womyn's groups — regular lesbian rap sessions, meetings, etc.""","***(**)","Organizations","",NA,"",1981,"Gaia's Guide","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Ruby's Relief and Rescue","Coffeehouses","c/o Alaska Women's Resource Center, 99510.","","Anchorage","AK","For current details check with Alaska Women's Reosurce Center. Women's coffeehouse.","(****)","Bars, Clubs, Coffeehouses","",NA,"",1981,"Gaia's Guide","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
