"title","type","address","unclear.address","city","state","description","stars","star.type","mentions.race","mentions.disability","notes","Last.Modified","Notes.2","year","publication","country","geocode.value","lon","lat","geoAddress"
"Magnolia","Music Production","21 S 15th St","","Birmingham","AL","","","","","","Under the ""Statewide"" rather than a city","Lilly Smith",NA,1983,"Gaia's Guide","United States","Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa"
"Birmingham Gay Center","Center"," 1019 23rd Street S","","Birmingham","AL"," Tel. 251-0682. Your first stop in gay Birmingham","***(**)","For Review/Unclear","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa"
"Lambda Hotline/Gay Info","Information Services","PO Box 73062","checked","Birmingham","AL"," Tel. 251-0682. Contact them for details about local MCC and Dignity
","","","","","
","Lilly Smith",NA,1983,"Gaia's Guide","United States","Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa"
"Metropolitan Community Church","Religious Groups"," 1019 23rd Street S","","Birmingham","AL","Tel. 251-0682. Your best bet as an alternative to the bar scene in Birmingham. The minister Is a lesbian and theres a pot-luck dinner every Sunday at 6pm, held at the BIRMINGHAM GAY CENTER, 1019-23rd Street, South. Phone number as above","","","","","Shares a space with the Birmingham Gay Center","Lilly Smith",NA,1983,"Gaia's Guide","United States","Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa"
"Bill's Place (Bill's Club)","Bars","208 23rd Street N","","Birmingham","AL","Tel. 254-8634. Very nice place, women only. Disco, pinball, very comfortable and highly recommended. (Located between 2nd and 3rd Avenue). Closed Sundays.","****","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa"
"Basics","Bars"," 912 19th Street N ","","Birmingham","AL","Tel. 254-8612. New and highly recommended","***","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa"
"Steak 'n' Eggs","Restaurant"," 1717 10th Avenue S","checked","Birmingham","AL","Tel. 933-9822. Popular after hours eating place. Open 24 hours daily.","*","Restaurants","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa"
"Dexter Pub","Bars"," 207 Dexter Avenue","","Montgomery","AL","Tel. 264-9059 and 269-9715. Super bar with disco, piano bar living-room type lounge, regular shows and two New Orleans style outdoor courtyards. Their new plans include a health club with special nights for ladies. Open 7pm- 5am. Disco from 5am. Very, very highly recommended. A private club that will admit new members who have valid ID and a copy of GAIA'S GUIDE","**(**)","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Montgomery, AL, United States",-86.3077368,32.3792233,"montgomery, al, usa"
"Hojon's","Bars"," 215 North Court Street","","Montgomery","AL","Tel. 265-0021. Open Mon-Sat from 8pm-3am&Sat till 2am. Pool table/computer & video games/lounge/disco/downstairs bar.","**","Bars, Clubs, Coffeehouses","","","","Amanda Regan",NA,1983,"Gaia's Guide","United States","Montgomery, AL, United States",-86.3077368,32.3792233,"montgomery, al, usa"
"Casablanca Disco","Bars"," 305 Randolph.","","Montgomery","AL","","**","Bars, Clubs, Coffeehouses","","","","Lilly Smith",NA,1983,"Gaia's Guide","United States","Montgomery, AL, United States",-86.3077368,32.3792233,"montgomery, al, usa"
