"","title","description","type","amenityfeatures","city","state","Year","notes","publication","country"
"1","'B.A.' Beach","nr. Salt Air Beach","Cruising Areas","Cruisy Area","Salt Lake City","UT",1981,"","Bob Damron's Address Book","United States"
"2","'B.A.' Beach","nr. Evergreen Floating Bridge","Cruising Areas","Cruisy Area","Seattle","WA",1981,"","Bob Damron's Address Book","United States"
"3","'B.A.' Beach","nr. Evergreen Floating Bridge","Cruising Areas","Cruisy Area","Seattle","WA",1983,"","Bob Damron's Address Book","United States"
"4","'B.A.' Beach","nr. Salt Air Beach","Cruising Areas","Cruisy Area","Salt Lake City","UT",1983,"","Bob Damron's Address Book","United States"
"5","'B.A.' beach","","Cruising Areas","Cruisy Area","Provincetown","MA",1981,"","Bob Damron's Address Book","United States"
"6","'B.A.' beach","","Cruising Areas","Cruisy Area","Provincetown","MA",1983,"","Bob Damron's Address Book","United States"
"7","'Black Forest'","walking area under bridge","Cruising Areas","Cruisy Area,(AYOR)","Washington","DC",1981,"","Bob Damron's Address Book","United States"
"8","'Black Forest'","walking area under bridge","Cruising Areas","Cruisy Area,(AYOR)","Washington","DC",1983,"","Bob Damron's Address Book","United States"
"9","'Bus Stop'","at Pine & Jefferson","Cruising Areas","Cruisy Area","Albany","GA",1983,"","Bob Damron's Address Book","United States"
"10","'Bus Stop' at Pine & Jefferson","","Cruising Areas","Cruisy Area","Albany","GA",1981,"","Bob Damron's Address Book","United States"
"11","'C' St. at 4th Ave.","","Cruising Areas","Cruisy Area","Anchorage","AK",1981,"","Bob Damron's Address Book","United States"
"12","'C' Street","4th Ave.","Cruising Areas","Cruisy Area","Anchorage","AK",1983,"","Bob Damron's Address Book","United States"
"13","'Cruising the Levee'","The Levee overlooks Island Park","Cruising Areas","Cruisy Area,(AYOR)","Dayton","OH",1981,"","Bob Damron's Address Book","United States"
"14","'Cruising the Levee'","The Levee overlooks Island Park","Cruising Areas","Cruisy Area,(AYOR)","Dayton","OH",1981,"","Bob Damron's Address Book","United States"
"15","'Cruising the Levee'","Take Dixie Dr. or Riverside to Helena. The Levee overlooks Island Park","Cruising Areas","Cruisy Area,(AYOR),(*)","Dayton","OH",1983,"","Bob Damron's Address Book","United States"
"16","'Dog Run'","","Cruising Areas","Cruisy Area,(AYOR)","Pontiac","MI",1981,"","Bob Damron's Address Book","United States"
"17","'Dog Run'","Clarkston","Cruising Areas","Cruisy Area,(AYOR)","Pontiac","MI",1983,"","Bob Damron's Address Book","United States"
"18","'Figure 8'","6th to 8th, betw. Church & Commerce","Cruising Areas","Cruisy Area","Nashville","TN",1981,"","Bob Damron's Address Book","United States"
"19","'First Beach'","in front of concession stands","Cruising Areas","Cruisy Area","Newport","RI",1981,"","Bob Damron's Address Book","United States"
"20","'First Beach'","in front of concession stands","Cruising Areas","Cruisy Area","Newport","RI",1983,"","Bob Damron's Address Book","United States"
"21","'Gay Loop'","betw. 4th & 5th Sts. (AH*)","Cruising Areas","Cruisy Area,(AH),(*)","Des Moines","IA",1981,"","Bob Damron's Address Book","United States"
"22","'Gay Loop' Keo & Park","betw. 4th & 5th Sts. (AH*)","Cruising Areas","Cruisy Area,(AH),(*)","Des Moines","IA",1983,"","Bob Damron's Address Book","United States"
"23","'Hippie Hollow'","'B.A.' beach in Lake Travis","Cruising Areas","Cruisy Area","Austin","TX",1981,"","Bob Damron's Address Book","United States"
"24","'Hippie Hollow'","'B.A.' beach in Lake Travis, off Hwy. 620","Cruising Areas","Cruisy Area","Austin","TX",1983,"","Bob Damron's Address Book","United States"
