"title","mgg.type","type","star.type","city","state","description","publication","country","geocode.value","lon","lat","year"
"'B.A.' Beach","Cruising Areas",NA,NA,"Salt Lake City","UT","nr. Salt Air Beach","Bob Damron's Address Book","United States","Salt Lake City, UT, United States",-111.8910474,40.7607793,1981
"'B.A.' Beach","Cruising Areas",NA,NA,"Seattle","WA","nr. Evergreen Floating Bridge","Bob Damron's Address Book","United States","Seattle, WA, United States",-122.3328481,47.6061389,1981
"'B.A.' Beach","Cruising Areas",NA,NA,"Seattle","WA","nr. Evergreen Floating Bridge","Bob Damron's Address Book","United States","Seattle, WA, United States",-122.3328481,47.6061389,1983
"'B.A.' Beach","Cruising Areas",NA,NA,"Salt Lake City","UT","nr. Salt Air Beach","Bob Damron's Address Book","United States","Salt Lake City, UT, United States",-111.8910474,40.7607793,1983
"'B.A.' beach","Cruising Areas",NA,NA,"Provincetown","MA","","Bob Damron's Address Book","United States","Provincetown, MA, United States",-70.1846012,42.0547136,1981
"'B.A.' beach","Cruising Areas",NA,NA,"Provincetown","MA","","Bob Damron's Address Book","United States","Provincetown, MA, United States",-70.1846012,42.0547136,1983
"'Black Forest'","Cruising Areas",NA,NA,"Washington","DC","walking area under bridge","Bob Damron's Address Book","United States","Washington, DC, United States",-77.0368707,38.9071923,1981
"'Black Forest'","Cruising Areas",NA,NA,"Washington","DC","walking area under bridge","Bob Damron's Address Book","United States","Washington, DC, United States",-77.0368707,38.9071923,1983
"'Bus Stop'","Cruising Areas",NA,NA,"Albany","GA","at Pine & Jefferson","Bob Damron's Address Book","United States","Albany, GA, United States",-84.155741,31.5785074,1983
"'Bus Stop' at Pine & Jefferson","Cruising Areas",NA,NA,"Albany","GA","","Bob Damron's Address Book","United States","Albany, GA, United States",-84.155741,31.5785074,1981
"'C' St. at 4th Ave.","Cruising Areas",NA,NA,"Anchorage","AK","","Bob Damron's Address Book","United States","Anchorage, AK, United States",-149.8996785,61.2175758,1981
"'C' Street","Cruising Areas",NA,NA,"Anchorage","AK","4th Ave.","Bob Damron's Address Book","United States","Anchorage, AK, United States",-149.8996785,61.2175758,1983
"'Cruising the Levee'","Cruising Areas",NA,NA,"Dayton","OH","The Levee overlooks Island Park","Bob Damron's Address Book","United States","Dayton, OH, United States",-84.1916069,39.7589478,1981
"'Cruising the Levee'","Cruising Areas",NA,NA,"Dayton","OH","The Levee overlooks Island Park","Bob Damron's Address Book","United States","Dayton, OH, United States",-84.1916069,39.7589478,1981
"'Cruising the Levee'","Cruising Areas",NA,NA,"Dayton","OH","Take Dixie Dr. or Riverside to Helena. The Levee overlooks Island Park","Bob Damron's Address Book","United States","Dayton, OH, United States",-84.1916069,39.7589478,1983
"'Dog Run'","Cruising Areas",NA,NA,"Pontiac","MI","","Bob Damron's Address Book","United States","Pontiac, MI, United States",-83.2910468,42.6389216,1981
"'Dog Run'","Cruising Areas",NA,NA,"Pontiac","MI","Clarkston","Bob Damron's Address Book","United States","Pontiac, MI, United States",-83.2910468,42.6389216,1983
