"","title","description","type","address","city","state","country","publication","year","notes","unclear.address"
"1","Cafe Gigi","(near Southfield)-Tel. 831-2604 ","Bars","16920 West Warren","Detroit","MI","United States","Gaia's Guide",1975,"",""
"2","Palais Bar","","Bars","655 Beaubien","Detroit","MI","United States","Gaia's Guide",1975,"",""
"3","Conquest Lounge","","Bars","1500 East State Fair","Detroit","MI","United States","Gaia's Guide",1975,"",""
"4","Barbary Coast","near Lodge Freeway","Bars","2765 Grand River","Detroit","MI","United States","Gaia's Guide",1975,"",""
"5","La Rosa's","","Bars","731 Bates","Detroit","MI","United States","Gaia's Guide",1975,"",""
"6","Gay Women's Lib"," c/o ""A Woman's Place"", 606 S.E. Grand;97214 Tel. (503)223-8362 ","Organizations","606 S.E. Grand","Portland","OR","United States","Gaia's Guide",1975,"",""
"7","Portland Gay Lib.","Tel. (503) 287-7894","Organizations","4226 North Montana Ave.","Portland","OR","United States","Gaia's Guide",1975,"",""
"8","Zorba the Greek","","Bars","626 S.W. Park","Portland","OR","United States","Gaia's Guide",1975,"",""
"9","""316""","(formerly 'Tash's') ","Bars","316 West Burnside","Portland","OR","United States","Gaia's Guide",1975,"",""
"10","Dema's Tavern","222-5338","Bars","208 NW THird","Portland","OR","United States","Gaia's Guide",1975,"",""
"11","Magic Garden","224-8472 ","Bars","217 NW Fourth ","Portland","OR","United States","Gaia's Guide",1975,"",""
"12","""T.J's""","326-9368","Bars","3307 Mc Kinney.","Dallas","TX","United States","Gaia's Guide",1975,"",""
"13","""Les Dames Room""","","Bars","2116 N. Field","Dallas","TX","United States","Gaia's Guide",1975,"",""
"14","""Lil Tiff's""","","Bars","2906 N. Henderson","Dallas","TX","United States","Gaia's Guide",1975,"",""
"15","""The Vapors""","823-0372","Bars","5334 Lemmon.","Dallas","TX","United States","Gaia's Guide",1975,"",""
"16","""Bev's""","Tel. 526-9036","Bars","4737 Maple.","Dallas","TX","United States","Gaia's Guide",1975,"",""
"17","""J's""","742-0897 ","Bars","1800 N. Harvard","Dallas","TX","United States","Gaia's Guide",1975,"",""
"18","""Joe's Other Place""","3019 N. Haskell","Bars","3019 N. Haskell","Dallas","TX","United States","Gaia's Guide",1975,"",""
"19","The Highland Lounge","Tel. 526-9551 ","Bars","3018 Monticello.","Dallas","TX","United States","Gaia's Guide",1975,"",""
"20","""Ronsue's""","526-9333","Bars","3236 Mc Kinney. ","Dallas","TX","United States","Gaia's Guide",1975,"",""
"21","""Entire Nuit""","(rear door). Tel. 823-0423 ","Bars","3116 Live Oak","Dallas","TX","United States","Gaia's Guide",1975,"",""
"22","The Castle","","Bars","3019 N. Haskell","Dallas","TX","United States","Gaia's Guide",1975,"",""
"23","Feminist Women's Health Clinic","Tel 892 7790 VD Clinic and self help","Clinic","2445 West 8 Mile","Detroit","MI","United States","Gaia's Guide",1977,"",""
"24","Dignity","Tel 894 1064","Religious Group","2846 17th Street","Detroit","MI","United States","Gaia's Guide",1977,"",""
"25","M.C.C.","Tel 868 2122 and 869 8159 Their publication The Way","Religious Group","13100 Woodward Ave","Detroit","MI","United States","Gaia's Guide",1977,"",""
"26","Gayly Speaking","Thursdays at 11:30pm Lesbian Radio. Collective: Tel 867 5764 and 963 7193","Radio and Television","5035 Woodward","Detroit","MI","United States","Gaia's Guide",1977,"",""
"27","Amiga's","","Bar","19326 Conant","Detroit","MI","United States","Gaia's Guide",1977,"",""
"28","Gold Coast","Tel 963 7193","Bar","2971 East 7 Mile Road","Detroit","MI","United States","Gaia's Guide",1977,"",""
"29","Cafe Gigi","Near Southfield. Tel 831 2604","Bar","16920 West Warren ","Detroit","MI","United States","Gaia's Guide",1977,"",""
"30","Palais Bar","Tel 964 8374","Bar","855 Beaubien","Detroit","MI","United States","Gaia's Guide",1977,"",""
"31","Conquest Lounge","Tel 891 9759","Bar","1500 East State Fair","Detroit","MI","United States","Gaia's Guide",1977,"",""
"32","Casbah","Tel 837 6379","Bar","14701 Plymouth at Hubble","Detroit","MI","United States","Gaia's Guide",1977,"",""
"33","George's Inca Room","","Bar","13314 Jenkell","Detroit","MI","United States","Gaia's Guide",1977,"",""
