"X","title","description","type","address","city","state","country","publication","year","notes","unclear.address","full.address","lon","lat","geoAddress","...1","ID","amenityfeatures","Year"
1,"Cafe Gigi","(near Southfield)-Tel. 831-2604","Bars","16920 West Warren","Detroit","MI","United States","Gaia's Guide",1975,"",NA,"16920 West Warren, Detroit, MI",-83.2112501,42.3436482,"16920 w warren ave, detroit, mi 48228, usa",NA,NA,NA,NA
2,"Palais Bar","","Bars","655 Beaubien","Detroit","MI","United States","Gaia's Guide",1975,"",NA,"655 Beaubien, Detroit, MI",-83.0415538,42.3330139,"655 beaubien blvd, detroit, mi 48226, usa",NA,NA,NA,NA
3,"Conquest Lounge","","Bars","1500 East State Fair","Detroit","MI","United States","Gaia's Guide",1975,"",NA,"1500 East State Fair, Detroit, MI",-83.088758,42.4397377,"1500 e state fair ave, detroit, mi 48203, usa",NA,NA,NA,NA
4,"Barbary Coast","near Lodge Freeway","Bars","2765 Grand River","Detroit","MI","United States","Gaia's Guide",1975,"",NA,"2765 Grand River, Detroit, MI",-83.0650955,42.3386991,"2765 grand river ave, detroit, mi 48201, usa",NA,NA,NA,NA
5,"La Rosa's","","Bars","731 Bates","Detroit","MI","United States","Gaia's Guide",1975,"",NA,"731 Bates, Detroit, MI",-83.0446059,42.3322543,"731 bates st, detroit, mi 48226, usa",NA,NA,NA,NA
6,"Gay Women's Lib","c/o ""A Woman's Place"", 606 S.E. Grand;97214 Tel. (503)223-8362","Organizations","606 S.E. Grand","Portland","OR","United States","Gaia's Guide",1975,"",NA,"606 S.E. Grand, Portland, OR",-122.6604691,45.5185737,"606 se grand ave, portland, or 97214, usa",NA,NA,NA,NA
7,"Portland Gay Lib.","Tel. (503) 287-7894","Organizations","4226 North Montana Ave.","Portland","OR","United States","Gaia's Guide",1975,"",NA,"4226 North Montana Ave., Portland, OR",-122.6795583,45.5544249,"4226 n montana ave, portland, or 97217, usa",NA,NA,NA,NA
8,"Zorba the Greek","","Bars","626 S.W. Park","Portland","OR","United States","Gaia's Guide",1975,"",NA,"626 S.W. Park, Portland, OR",-122.6801655,45.5197524,"626 sw park ave, portland, or 97205, usa",NA,NA,NA,NA
9,"""316""","(formerly 'Tash's')","Bars","316 West Burnside","Portland","OR","United States","Gaia's Guide",1975,"",NA,"316 West Burnside, Portland, OR",-122.673696,45.522851,"316 w burnside st, portland, or 97209, usa",NA,NA,NA,NA
10,"Dema's Tavern","222-5338","Bars","208 NW THird","Portland","OR","United States","Gaia's Guide",1975,"",NA,"208 NW THird, Portland, OR",-122.6729315,45.5247845,"208 nw 3rd ave, portland, or 97209, usa",NA,NA,NA,NA
11,"Magic Garden","224-8472","Bars","217 NW Fourth","Portland","OR","United States","Gaia's Guide",1975,"",NA,"217 NW Fourth, Portland, OR",-122.674759,45.524796,"217 nw 4th ave, portland, or 97209, usa",NA,NA,NA,NA
12,"""T.J's""","326-9368","Bars","3307 Mc Kinney.","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"3307 Mc Kinney., Dallas, TX",-96.7962624,32.8094437,"blackburn st, dallas, tx 75204, usa",NA,NA,NA,NA
13,"""Les Dames Room""","","Bars","2116 N. Field","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"2116 N. Field, Dallas, TX",-96.8051518,32.786426,"2116 n field st, dallas, tx 75202, usa",NA,NA,NA,NA
14,"""Lil Tiff's""","","Bars","2906 N. Henderson","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"2906 N. Henderson, Dallas, TX",-96.7845843,32.8204348,"2906 n henderson ave, dallas, tx 75206, usa",NA,NA,NA,NA
15,"""The Vapors""","823-0372","Bars","5334 Lemmon.","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"5334 Lemmon., Dallas, TX",-96.8225658,32.8269061,"5334 lemmon ave, dallas, tx 75209, usa",NA,NA,NA,NA
16,"""Bev's""","Tel. 526-9036","Bars","4737 Maple.","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"4737 Maple., Dallas, TX",-96.8264918,32.8142201,"4737 maple ave, dallas, tx 75219, usa",NA,NA,NA,NA
17,"""J's""","742-0897","Bars","1800 N. Harvard","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"1800 N. Harvard, Dallas, TX",-96.7852337,32.8271884,"1800 harvard ave, dallas, tx 75205, usa",NA,NA,NA,NA
18,"""Joe's Other Place""","3019 N. Haskell","Bars","3019 N. Haskell","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"3019 N. Haskell, Dallas, TX",-96.7936498,32.807254,"3019 n haskell ave., dallas, tx 75204, usa",NA,NA,NA,NA
19,"The Highland Lounge","Tel. 526-9551","Bars","3018 Monticello.","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"3018 Monticello., Dallas, TX",-96.7847478,32.8267724,"3018 monticello ave, dallas, tx 75205, usa",NA,NA,NA,NA
20,"""Ronsue's""","526-9333","Bars","3236 Mc Kinney.","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"3236 Mc Kinney., Dallas, TX",-96.7962624,32.8094437,"blackburn st, dallas, tx 75204, usa",NA,NA,NA,NA
21,"""Entire Nuit""","(rear door). Tel. 823-0423","Bars","3116 Live Oak","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"3116 Live Oak, Dallas, TX",-96.7855669,32.7914102,"3116 live oak st, dallas, tx 75204, usa",NA,NA,NA,NA
22,"The Castle","","Bars","3019 N. Haskell","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"3019 N. Haskell, Dallas, TX",-96.7936498,32.807254,"3019 n haskell ave., dallas, tx 75204, usa",NA,NA,NA,NA
23,"Feminist Women's Health Clinic","Tel 892 7790 VD Clinic and self help","Clinic","2445 West 8 Mile","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"2445 West 8 Mile, Detroit, MI",-83.1274679,42.446095,"2445 eight mile w, highland park, mi 48203, usa",NA,NA,NA,NA
24,"Dignity","Tel 894 1064","Religious Group","2846 17th Street","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"2846 17th Street, Detroit, MI",-83.0817265,42.3343546,"2846 17th st, detroit, mi 48216, usa",NA,NA,NA,NA
25,"M.C.C.","Tel 868 2122 and 869 8159 Their publication The Way","Religious Group","13100 Woodward Ave","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"13100 Woodward Ave, Detroit, MI",-83.0935996,42.4014264,"13100 woodward ave, highland park, mi 48203, usa",NA,NA,NA,NA
26,"Gayly Speaking","Thursdays at 11:30pm Lesbian Radio. Collective: Tel 867 5764 and 963 7193","Radio and Television","5035 Woodward","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"5035 Woodward, Detroit, MI",-83.0646899,42.3570965,"5035 woodward ave, detroit, mi 48202, usa",NA,NA,NA,NA
27,"Amiga's","","Bar","19326 Conant","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"19326 Conant, Detroit, MI",-83.0755854,42.4359017,"19326 conant, detroit, mi 48234, usa",NA,NA,NA,NA
28,"Gold Coast","Tel 963 7193","Bar","2971 East 7 Mile Road","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"2971 East 7 Mile Road, Detroit, MI",-83.0725873,42.4331029,"2971 seven mile e, detroit, mi 48234, usa",NA,NA,NA,NA
29,"Cafe Gigi","Near Southfield. Tel 831 2604","Bar","16920 West Warren","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"16920 West Warren, Detroit, MI",-83.2112501,42.3436482,"16920 w warren ave, detroit, mi 48228, usa",NA,NA,NA,NA
30,"Palais Bar","Tel 964 8374","Bar","855 Beaubien","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"855 Beaubien, Detroit, MI",-83.0419708,42.3337308,"855 beaubien blvd, detroit, mi 48226, usa",NA,NA,NA,NA
31,"Conquest Lounge","Tel 891 9759","Bar","1500 East State Fair","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"1500 East State Fair, Detroit, MI",-83.088758,42.4397377,"1500 e state fair ave, detroit, mi 48203, usa",NA,NA,NA,NA
32,"Casbah","Tel 837 6379","Bar","14701 Plymouth at Hubble","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"14701 Plymouth at Hubble, Detroit, MI",-83.1890252,42.3725875,"14701 plymouth rd, detroit, mi 48227, usa",NA,NA,NA,NA
33,"George's Inca Room","","Bar","13314 Jenkell","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"13314 Jenkell, Detroit, MI",-83.0457538,42.331427,"detroit, mi, usa",NA,NA,NA,NA
34,"Let's Be An Apple Pie","Tel 517 484 3475 and 353 9488 We now have a pool table a good one.","Organization","427 Spring St","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"427 Spring St, Detroit, MI",-82.9689585,42.4280306,"spring garden st, detroit, mi 48205, usa",NA,NA,NA,NA
