title,Status,lat,lon,description,address,city,state,country,publication,unclear.address,year,type,notes
"""Sir Karp's""",Found,42.440033,-83.083229,State Fair at East Outer Drive ,,Detroit,MI,United States,Gaia's Guide,checked,1975,Bars,approx location based on cross street description
Barbary Coast ,Found,42.596446,-83.899549 ,Inquire locally. Rough. ,2765 Grand River Ave,Detroit,MI,United States,Gaia's Guide,checked,1977,Bar,Damron Guides
Gay / Lesbian Information Center,Not Found,,,-Tel. 345-2722.,,Detroit,MI,United States,Gaia's Guide,checked,1989,Information Services,
Gay And Lesbian Switchboard,Not Found,,,,,Detroit,MI,United States,Gaia's Guide,checked,1985,Bars,
Gay Liberator ,Not Found,,,"12 issues for $4 in US, $5 outside of US, $8 supporting. ",Box 631-A,Detroit,MI,United States,Gaia's Guide,checked,1975,Publications,
GAY SWITCHBOARD,Not Found,,,Tel: 871-0127,,Detroit,MI,United States,Gaia's Guide,checked,1975,Organization and Service,
Gay Switchboard,Not Found,,,Tel 577 3450 6-10pm Mon-Thurs 6-11pm Fri and Sat. Volunteers needed. Feminist Women's Health Clinic ,,Detroit,MI,United States,Gaia's Guide,checked,1977,Gay Hotline,
Gay Switchboard,Not Found,,,"Tel. 5773450, Mon-Thurs 6pm-10pm; Fri & Sat 6pm-11pm. ""Volunteers needed.""",,Detroit,MI,United States,Gaia's Guide,checked,1979,Service,
Gay Switchboard,Not Found,,,"Tel. 557-3450. Mon-Thurs. 6pm-10pm. 6pm-11pm Fridays and Saturdays. ""Volunteers needed"".",,Detroit,MI,United States,Gaia's Guide,checked,1981,Services,
Gay Switchboard,Not Found,,,"Tel. 577 3450. Mon-Thurs. 6pm-10pm and 6pm-11pm Fridays and Saturdays, 'volunteers needed'. ",,Detroit,MI,United States,Gaia's Guide,checked,1983,Services,
Integrity,Not Found,,,Tel 577 3450 and 763 4186,,Detroit,MI,United States,Gaia's Guide,checked,1977,Religious Group,
Metro Gay News,Not Found,,,PO Box 445-A Tel 956 7423,,Detroit,MI,United States,Gaia's Guide,checked,1977,Publication,
My Fair Lady,Found,42.351474,-82.995119,Jefferson Street. Disco. 80% gay men. ,7919 E Jefferson Ave,Detroit,MI,United States,Gaia's Guide,checked,1979,Showbar,"Van Dyke and East Jefferson, per a Detroit forum - https://www.detroityes.com/mb/showthread.php?12093-Does-anyone-remember-this-building-or-area-Van-Dyke-and-East-Jefferson"
