"","title","description","type","address","city","state","publication","year","notes","full.address","lon","lat","geoAddress","amenityfeatures"
"1","Cafe Gigi","(near Southfield)-Tel. 831-2604","Bars","16920 West Warren","Detroit","MI","Gaia's Guide",1975,"","16920 West Warren, Detroit, MI",-83.2112501,42.3436482,"16920 w warren ave, detroit, mi 48228, usa",""
"2","Palais Bar","","Bars","655 Beaubien","Detroit","MI","Gaia's Guide",1975,"","655 Beaubien, Detroit, MI",-83.0415538,42.3330139,"655 beaubien blvd, detroit, mi 48226, usa",""
"3","Conquest Lounge","","Bars","1500 East State Fair","Detroit","MI","Gaia's Guide",1975,"","1500 East State Fair, Detroit, MI",-83.088758,42.4397377,"1500 e state fair ave, detroit, mi 48203, usa",""
"4","Barbary Coast","near Lodge Freeway","Bars","2765 Grand River","Detroit","MI","Gaia's Guide",1975,"","2765 Grand River, Detroit, MI",-83.0650955,42.3386991,"2765 grand river ave, detroit, mi 48201, usa",""
"5","La Rosa's","","Bars","731 Bates","Detroit","MI","Gaia's Guide",1975,"","731 Bates, Detroit, MI",-83.0446059,42.3322543,"731 bates st, detroit, mi 48226, usa",""
"6","Gay Women's Lib","c/o ""A Woman's Place"", 606 S.E. Grand;97214 Tel. (503)223-8362","Organizations","606 S.E. Grand","Portland","OR","Gaia's Guide",1975,"","606 S.E. Grand, Portland, OR",-122.6604691,45.5185737,"606 se grand ave, portland, or 97214, usa",""
"7","Portland Gay Lib.","Tel. (503) 287-7894","Organizations","4226 North Montana Ave.","Portland","OR","Gaia's Guide",1975,"","4226 North Montana Ave., Portland, OR",-122.6795583,45.5544249,"4226 n montana ave, portland, or 97217, usa",""
"8","Zorba the Greek","","Bars","626 S.W. Park","Portland","OR","Gaia's Guide",1975,"","626 S.W. Park, Portland, OR",-122.6801655,45.5197524,"626 sw park ave, portland, or 97205, usa",""
"9","""316""","(formerly 'Tash's')","Bars","316 West Burnside","Portland","OR","Gaia's Guide",1975,"","316 West Burnside, Portland, OR",-122.673696,45.522851,"316 w burnside st, portland, or 97209, usa",""
"10","Dema's Tavern","222-5338","Bars","208 NW THird","Portland","OR","Gaia's Guide",1975,"","208 NW THird, Portland, OR",-122.6729315,45.5247845,"208 nw 3rd ave, portland, or 97209, usa",""
"11","Magic Garden","224-8472","Bars","217 NW Fourth","Portland","OR","Gaia's Guide",1975,"","217 NW Fourth, Portland, OR",-122.674759,45.524796,"217 nw 4th ave, portland, or 97209, usa",""
"12","""T.J's""","326-9368","Bars","3307 Mc Kinney.","Dallas","TX","Gaia's Guide",1975,"","3307 Mc Kinney., Dallas, TX",-96.7962624,32.8094437,"blackburn st, dallas, tx 75204, usa",""
"13","""Les Dames Room""","","Bars","2116 N. Field","Dallas","TX","Gaia's Guide",1975,"","2116 N. Field, Dallas, TX",-96.8051518,32.786426,"2116 n field st, dallas, tx 75202, usa",""
