X,title,description,type,address,city,state,country,publication,year,notes,unclear.address,full.address,lon,lat,geoAddress,manual.lon,manual.lat,updated.lon,updated.lat
1,Gay Liberator,"12 issues for $4 in US, $5 outside of US, $8 supporting.",Publications,Box 631-A,Detroit,MI,United States,Gaia's Guide,1975,,checked,"Box 631-A, Detroit, MI",-83.0457538,42.331427,"detroit, mi, usa",-83.083229,42.440033,-83.083229,42.440033
2,GAY SWITCHBOARD,Tel: 871-0127,Organization and Service,,Detroit,MI,United States,Gaia's Guide,1975,,checked,", Detroit, MI",-83.0457538,42.331427,"detroit, mi, usa",-83.899549,42.596446,-83.899549,42.596446
3,"""Sir Karp's""",State Fair at East Outer Drive,Bars,,Detroit,MI,United States,Gaia's Guide,1975,,checked,", Detroit, MI",-83.0457538,42.331427,"detroit, mi, usa",,,-83.0457538,42.331427
4,The Casbah,,Bars,Plymouth & Hubble,Detroit,MI,United States,Gaia's Guide,1975,,checked,"Plymouth & Hubble, Detroit, MI",-70.6672621,41.9584457,"plymouth, ma, usa",,,-70.6672621,41.9584457
5,Gay Women's Lib,"c/o Women's Studies, Portland State University",Organizations,Portland State University,Portland,OR,United States,Gaia's Guide,1975,,checked,"Portland State University, Portland, OR",-122.6833385,45.5111153,"1825 sw broadway, portland, or 97201, usa",,,-122.6833385,45.5111153
6,THE DOB'R,Local news and views for gay women in the Dallas area. Tel. (214) 742-1947. (Free. but donations appreciated.),Publications,"Box 1242, Dallas, Texas",Dallas,TX,United States,Gaia's Guide,1975,,checked,"Box 1242, Dallas, Texas, Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",,,-96.7969879,32.7766642
7,"D.O.B.-- ""The Center""","""THE CENTER"", P.O. Box 1242;75221. Tel. (214) 742-1947. SWITCHBOARD. Their Publication: ""The DOB'R""",Organizations,P.O. Box 1242,Dallas,TX,United States,Gaia's Guide,1975,,checked,"P.O. Box 1242, Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",,,-96.7969879,32.7766642
8,Three Plus You,Tel. 526-9438,Bars,3014 Throckmorton at Cedar Springs.,Dallas,TX,United States,Gaia's Guide,1975,,checked,"3014 Throckmorton at Cedar Springs., Dallas, TX",-96.8114048,32.8106421,"3014 throckmorton st, dallas, tx 75219, usa",,,-96.8114048,32.8106421
9,Metro Gay News,PO Box 445-A Tel 956 7423,Publication,,Detroit,MI,United States,Gaia's Guide,1977,,checked,", Detroit, MI",-83.0457538,42.331427,"detroit, mi, usa",,,-83.0457538,42.331427
10,Gay Switchboard,Tel 577 3450 6-10pm Mon-Thurs 6-11pm Fri and Sat. Volunteers needed. Feminist Women's Health Clinic,Gay Hotline,,Detroit,MI,United States,Gaia's Guide,1977,,checked,", Detroit, MI",-83.0457538,42.331427,"detroit, mi, usa",,,-83.0457538,42.331427
11,Integrity,Tel 577 3450 and 763 4186,Religious Group,,Detroit,MI,United States,Gaia's Guide,1977,,checked,", Detroit, MI",-83.0457538,42.331427,"detroit, mi, usa",,,-83.0457538,42.331427
12,Barbary Coast,Inquire locally. Rough.,Bar,,Detroit,MI,United States,Gaia's Guide,1977,,checked,", Detroit, MI",-83.0457538,42.331427,"detroit, mi, usa",,,-83.0457538,42.331427
13,Tramps Disco,Thursday night is your night.,Bar,Michigan Ave,Detroit,MI,United States,Gaia's Guide,1977,,checked,"Michigan Ave, Detroit, MI",-83.1694315,42.3240622,"michigan ave, detroit, mi, usa",-82.995119,42.351474,-82.995119,42.351474
14,Womanself Bookstore,We sell Gaia's Guides,Feminist Bookstore,University Mall 220 MAC,Detroit,MI,United States,Gaia's Guide,1977,,checked,"University Mall 220 MAC, Detroit, MI",-83.0457538,42.331427,"detroit, mi, usa",-83.187939,42.373011,-83.187939,42.373011
15,Hamburger Mary's,,Restaurants,SW 9th and Taylor,Portland,OR,United States,Gaia's Guide,1977,,checked,"SW 9th and Taylor, Portland, OR",-122.6783853,45.515232,"portland, or, usa",,,-122.6783853,45.515232
16,A Woman's Place,,Feminist Bookstore,13th and Washington,Portland,OR,United States,Gaia's Guide,1977,,checked,"13th and Washington, Portland, OR",-122.6846997,45.5224287,"455 sw 13th ave, portland, or 97205, usa",,,-122.6846997,45.5224287
17,Task Force on Lesbianism,PO Box 12431,Organization,,Dallas,TX,United States,Gaia's Guide,1977,,checked,", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",-122.600745,45.360681,-122.600745,45.360681
18,Old Plantation,Tel 528-6550 for information,Bar,,Dallas,TX,United States,Gaia's Guide,1977,,checked,", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",-122.655764,45.507236,-122.655764,45.507236
19,Gay Switchboard,"Tel. 5773450, Mon-Thurs 6pm-10pm; Fri & Sat 6pm-11pm. ""Volunteers needed.""",Service,,Detroit,MI,United States,Gaia's Guide,1979,,checked,", Detroit, MI",-83.0457538,42.331427,"detroit, mi, usa",-122.572908,45.562451,-122.572908,45.562451
20,My Fair Lady,Jefferson Street. Disco. 80% gay men.,Showbar,Jefferson St,Detroit,MI,United States,Gaia's Guide,1979,,checked,"Jefferson St, Detroit, MI",-83.2563017,42.3030126,"jefferson st, dearborn, mi 48124, usa",,,-83.2563017,42.3030126
21,Continuity Guild,contact Portland Town Council for full details. An organization designed to serve the older gay woman and man.,Organization and Service,,Portland,OR,United States,Gaia's Guide,1979,,checked,", Portland, OR",-122.6783853,45.515232,"portland, or, usa",,,-122.6783853,45.515232
22,Gay Switchboard,"Tel. 557-3450. Mon-Thurs. 6pm-10pm. 6pm-11pm Fridays and Saturdays. ""Volunteers needed"".",Services,,Detroit,MI,United States,Gaia's Guide,1981,,checked,", Detroit, MI",-83.0457538,42.331427,"detroit, mi, usa",,,-83.0457538,42.331427
23,Front Runners,Tel. 231-1271. Alternate phone number: 283-5926 or see NEW FOUNTAIN for details.,Outdoor Group,,Portland,OR,United States,Gaia's Guide,1981,,checked,", Portland, OR",-122.6783853,45.515232,"portland, or, usa",,,-122.6783853,45.515232
24,N.W. Fountain,"Tel.248-1990.Gay
monthly with bar guide and some good news but mostly male ( oriented. $6.00 per year or free in bars, etc.",Publications,"P.O. Box 417, 97207",Portland,OR,United States,Gaia's Guide,1981,,checked,"P.O. Box 417, 97207, Portland, OR",-122.6806194,45.5211732,"portland, or 97207, usa",,,-122.6806194,45.5211732
25,Rainbow's End,Just gay men?,Personal Contacts/Travel Clubs,"P.O. Box 13042, 97213",Portland,OR,United States,Gaia's Guide,1981,,checked,"P.O. Box 13042, 97213, Portland, OR",-122.6037536,45.5352835,"portland, or 97213, usa",-122.684891,45.513371,-122.684891,45.513371
26,Gay Switchboard,"Tel. 577 3450. Mon-Thurs. 6pm-10pm and 6pm-11pm Fridays and Saturdays, 'volunteers needed'.",Services,,Detroit,MI,United States,Gaia's Guide,1983,,checked,", Detroit, MI",-83.0457538,42.331427,"detroit, mi, usa",,,-83.0457538,42.331427
27,Gayline,"Tel. 241-2251 24 hour recorded information on events and meetings in the gay
community.",Service,,Portland,OR,United States,Gaia's Guide,1983,,checked,", Portland, OR",-122.6783853,45.515232,"portland, or, usa",-122.681878,45.518418,-122.681878,45.518418
28,"Van Nuys Travel Service, Inc",Tel. 225-0064. Open 9am-5pm 5 days a week.,Travel Agents,1600 SW Fourth Ave,Portland,OR,United States,Gaia's Guide,1983,,checked,"1600 SW Fourth Ave, Portland, OR",-122.6792559,45.5120512,"1600 sw 4th ave, portland, or 97201, usa",,,-122.6792559,45.5120512
29,Portland Gay Hotline,"Tel. 228-6785. 8pm to midnight, every night.",Service,,Portland,OR,United States,Gaia's Guide,1983,,checked,", Portland, OR",-122.6783853,45.515232,"portland, or, usa",,,-122.6783853,45.515232
30,Keep Listening,"Tel. 239-6896. Ski
trips, biology and bicycling, rafting, backpacking and photography, outdoor leadership classes.
NO DOGS ARE ALLOWED ON KEEP LISTENING TRIPS.",Wilderness Trips,,Portland,OR,United States,Gaia's Guide,1983,PO Box 14743,checked,", Portland, OR",-122.6783853,45.515232,"portland, or, usa",,,-122.6783853,45.515232
31,Metropolitan Community Church of Portland,"Tel. 281-8868. The Christian Church with an outreach to the gay community. Social activities
as well as religious, counselling, referrals and job bank. Their publication is THE CHALICE and
they sell GA\A'S GUIDE",Religious Groups,NE 24th and Broadway,Portland,OR,United States,Gaia's Guide,1983,,checked,"NE 24th and Broadway, Portland, OR",-122.6411834,45.5351048,"ne 24th ave & ne broadway, portland, or 97232, usa",,,-122.6411834,45.5351048
32,Metro Times,Tel. 528 9944 (taped message).,Publication,,Dallas,TX,United States,Gaia's Guide,1983,PO Box 225914,checked,", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",-122.641067,45.535412,-122.641067,45.535412
33,Gayline,Tel. 748 6790 7.30pm-12am 7 days. Serves Dallas and Fort Worth.,Service,,Dallas,TX,United States,Gaia's Guide,1983,,checked,", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",,,-96.7969879,32.7766642
34,Gay And Lesbian Switchboard,,Bars,,Detroit,MI,United States,Gaia's Guide,1985,,checked,", Detroit, MI",-83.0457538,42.331427,"detroit, mi, usa",,,-83.0457538,42.331427
35,Tenth Street Bakery,"Tel. 224-7940. Emphasis on home-
made and very natural food.",Restaurants,SW 10th & Salmon,Portland,OR,United States,Gaia's Guide,1985,,checked,"SW 10th & Salmon, Portland, OR",NA,NA,NA,45.518015,-122.683197,45.518015,-122.683197
36,Portland Gay Hotline,Tel. 228-6785,Services,,Portland,OR,United States,Gaia's Guide,1985,,checked,", Portland, OR",-122.6783853,45.515232,"portland, or, usa",,,-122.6783853,45.515232
37,Gayline,"Tel.368-6283 (7:30pm-midnight, 7 days a week-serving Dallas & Fort Worth",Services,,Dallas,TX,United States,Gaia's Guide,1985,,checked,", Dallas, TX",-96.7969879,32.7766642,"dallas, tx, usa",-122.66393,45.536362,-122.66393,45.536362
38,Metro Times,Tel 528-9944,Publications,PO Box 225914;75265,Dallas,TX,United States,Gaia's Guide,1985,,checked,"PO Box 225914;75265, Dallas, TX",-96.8,32.78,"dallas, tx 75265, usa",-122.687766,45.529506,-122.687766,45.529506
