"title","description","type","address","city","state","publication","year","notes","full.address","lon","lat","geoAddress","amenityfeatures"
"Cafe Gigi","(near Southfield)-Tel. 831-2604","Bars","16920 West Warren","Detroit","MI","Gaia's Guide",1975,"","16920 West Warren, Detroit, MI",-83.2112501,42.3436482,"16920 w warren ave, detroit, mi 48228, usa",""
"Palais Bar","","Bars","655 Beaubien","Detroit","MI","Gaia's Guide",1975,"","655 Beaubien, Detroit, MI",-83.0415538,42.3330139,"655 beaubien blvd, detroit, mi 48226, usa",""
"Conquest Lounge","","Bars","1500 East State Fair","Detroit","MI","Gaia's Guide",1975,"","1500 East State Fair, Detroit, MI",-83.088758,42.4397377,"1500 e state fair ave, detroit, mi 48203, usa",""
"Barbary Coast","near Lodge Freeway","Bars","2765 Grand River","Detroit","MI","Gaia's Guide",1975,"","2765 Grand River, Detroit, MI",-83.0650955,42.3386991,"2765 grand river ave, detroit, mi 48201, usa",""
"La Rosa's","","Bars","731 Bates","Detroit","MI","Gaia's Guide",1975,"","731 Bates, Detroit, MI",-83.0446059,42.3322543,"731 bates st, detroit, mi 48226, usa",""
"Gay Women's Lib","c/o ""A Woman's Place"", 606 S.E. Grand;97214 Tel. (503)223-8362","Organizations","606 S.E. Grand","Portland","OR","Gaia's Guide",1975,"","606 S.E. Grand, Portland, OR",-122.6604691,45.5185737,"606 se grand ave, portland, or 97214, usa",""
"Portland Gay Lib.","Tel. (503) 287-7894","Organizations","4226 North Montana Ave.","Portland","OR","Gaia's Guide",1975,"","4226 North Montana Ave., Portland, OR",-122.6795583,45.5544249,"4226 n montana ave, portland, or 97217, usa",""
"Zorba the Greek","","Bars","626 S.W. Park","Portland","OR","Gaia's Guide",1975,"","626 S.W. Park, Portland, OR",-122.6801655,45.5197524,"626 sw park ave, portland, or 97205, usa",""
"""316""","(formerly 'Tash's')","Bars","316 West Burnside","Portland","OR","Gaia's Guide",1975,"","316 West Burnside, Portland, OR",-122.673696,45.522851,"316 w burnside st, portland, or 97209, usa",""
"Dema's Tavern","222-5338","Bars","208 NW THird","Portland","OR","Gaia's Guide",1975,"","208 NW THird, Portland, OR",-122.6729315,45.5247845,"208 nw 3rd ave, portland, or 97209, usa",""
"Magic Garden","224-8472","Bars","217 NW Fourth","Portland","OR","Gaia's Guide",1975,"","217 NW Fourth, Portland, OR",-122.674759,45.524796,"217 nw 4th ave, portland, or 97209, usa",""
"""T.J's""","326-9368","Bars","3307 Mc Kinney.","Dallas","TX","Gaia's Guide",1975,"","3307 Mc Kinney., Dallas, TX",-96.7962624,32.8094437,"blackburn st, dallas, tx 75204, usa",""
"""Les Dames Room""","","Bars","2116 N. Field","Dallas","TX","Gaia's Guide",1975,"","2116 N. Field, Dallas, TX",-96.8051518,32.786426,"2116 n field st, dallas, tx 75202, usa",""
"""Lil Tiff's""","","Bars","2906 N. Henderson","Dallas","TX","Gaia's Guide",1975,"","2906 N. Henderson, Dallas, TX",-96.7845843,32.8204348,"2906 n henderson ave, dallas, tx 75206, usa",""
"""The Vapors""","823-0372","Bars","5334 Lemmon.","Dallas","TX","Gaia's Guide",1975,"","5334 Lemmon., Dallas, TX",-96.8225658,32.8269061,"5334 lemmon ave, dallas, tx 75209, usa",""
"""Bev's""","Tel. 526-9036","Bars","4737 Maple.","Dallas","TX","Gaia's Guide",1975,"","4737 Maple., Dallas, TX",-96.8264918,32.8142201,"4737 maple ave, dallas, tx 75219, usa",""
"""J's""","742-0897","Bars","1800 N. Harvard","Dallas","TX","Gaia's Guide",1975,"","1800 N. Harvard, Dallas, TX",-96.7852337,32.8271884,"1800 harvard ave, dallas, tx 75205, usa",""
"""Joe's Other Place""","3019 N. Haskell","Bars","3019 N. Haskell","Dallas","TX","Gaia's Guide",1975,"","3019 N. Haskell, Dallas, TX",-96.7936498,32.807254,"3019 n haskell ave., dallas, tx 75204, usa",""
"The Highland Lounge","Tel. 526-9551","Bars","3018 Monticello.","Dallas","TX","Gaia's Guide",1975,"","3018 Monticello., Dallas, TX",-96.7847478,32.8267724,"3018 monticello ave, dallas, tx 75205, usa",""
"""Ronsue's""","526-9333","Bars","3236 Mc Kinney.","Dallas","TX","Gaia's Guide",1975,"","3236 Mc Kinney., Dallas, TX",-96.7962624,32.8094437,"blackburn st, dallas, tx 75204, usa",""
"""Entire Nuit""","(rear door). Tel. 823-0423","Bars","3116 Live Oak","Dallas","TX","Gaia's Guide",1975,"","3116 Live Oak, Dallas, TX",-96.7855669,32.7914102,"3116 live oak st, dallas, tx 75204, usa",""
"The Castle","","Bars","3019 N. Haskell","Dallas","TX","Gaia's Guide",1975,"","3019 N. Haskell, Dallas, TX",-96.7936498,32.807254,"3019 n haskell ave., dallas, tx 75204, usa",""
"Feminist Women's Health Clinic","Tel 892 7790 VD Clinic and self help","Clinic","2445 West 8 Mile","Detroit","MI","Gaia's Guide",1977,"","2445 West 8 Mile, Detroit, MI",-83.1274679,42.446095,"2445 eight mile w, highland park, mi 48203, usa",""
"Dignity","Tel 894 1064","Religious Group","2846 17th Street","Detroit","MI","Gaia's Guide",1977,"","2846 17th Street, Detroit, MI",-83.0817265,42.3343546,"2846 17th st, detroit, mi 48216, usa",""
"M.C.C.","Tel 868 2122 and 869 8159 Their publication The Way","Religious Group","13100 Woodward Ave","Detroit","MI","Gaia's Guide",1977,"","13100 Woodward Ave, Detroit, MI",-83.0935996,42.4014264,"13100 woodward ave, highland park, mi 48203, usa",""
"Gayly Speaking","Thursdays at 11:30pm Lesbian Radio. Collective: Tel 867 5764 and 963 7193","Radio and Television","5035 Woodward","Detroit","MI","Gaia's Guide",1977,"","5035 Woodward, Detroit, MI",-83.0646899,42.3570965,"5035 woodward ave, detroit, mi 48202, usa",""
"Amiga's","","Bar","19326 Conant","Detroit","MI","Gaia's Guide",1977,"","19326 Conant, Detroit, MI",-83.0755854,42.4359017,"19326 conant, detroit, mi 48234, usa",""
"Gold Coast","Tel 963 7193","Bar","2971 East 7 Mile Road","Detroit","MI","Gaia's Guide",1977,"","2971 East 7 Mile Road, Detroit, MI",-83.0725873,42.4331029,"2971 seven mile e, detroit, mi 48234, usa",""
"Cafe Gigi","Near Southfield. Tel 831 2604","Bar","16920 West Warren","Detroit","MI","Gaia's Guide",1977,"","16920 West Warren, Detroit, MI",-83.2112501,42.3436482,"16920 w warren ave, detroit, mi 48228, usa",""
"Palais Bar","Tel 964 8374","Bar","855 Beaubien","Detroit","MI","Gaia's Guide",1977,"","855 Beaubien, Detroit, MI",-83.0419708,42.3337308,"855 beaubien blvd, detroit, mi 48226, usa",""
"Conquest Lounge","Tel 891 9759","Bar","1500 East State Fair","Detroit","MI","Gaia's Guide",1977,"","1500 East State Fair, Detroit, MI",-83.088758,42.4397377,"1500 e state fair ave, detroit, mi 48203, usa",""
