GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,ELECPRCTA,TRACTA,BLOCKA,BLCK_GRPA,ENUMDISTA,AREANAME,C6W001
"G0100010","1980","Alabama","01","Autauga","001",,,,,,,,"Autauga County",32259
"G0100030","1980","Alabama","01","Baldwin","003",,,,,,,,"Baldwin County",78440
"G0100050","1980","Alabama","01","Barbour","005",,,,,,,,"Barbour County",24756
"G0100070","1980","Alabama","01","Bibb","007",,,,,,,,"Bibb County",15723
"G0100090","1980","Alabama","01","Blount","009",,,,,,,,"Blount County",36459
"G0100110","1980","Alabama","01","Bullock","011",,,,,,,,"Bullock County",10596
"G0100130","1980","Alabama","01","Butler","013",,,,,,,,"Butler County",21680
"G0100150","1980","Alabama","01","Calhoun","015",,,,,,,,"Calhoun County",116936
"G0100170","1980","Alabama","01","Chambers","017",,,,,,,,"Chambers County",39191
"G0100190","1980","Alabama","01","Cherokee","019",,,,,,,,"Cherokee County",18760
"G0100210","1980","Alabama","01","Chilton","021",,,,,,,,"Chilton County",30612
"G0100230","1980","Alabama","01","Choctaw","023",,,,,,,,"Choctaw County",16839
"G0100250","1980","Alabama","01","Clarke","025",,,,,,,,"Clarke County",27702
"G0100270","1980","Alabama","01","Clay","027",,,,,,,,"Clay County",13703
"G0100290","1980","Alabama","01","Cleburne","029",,,,,,,,"Cleburne County",12595
"G0100310","1980","Alabama","01","Coffee","031",,,,,,,,"Coffee County",38533
"G0100330","1980","Alabama","01","Colbert","033",,,,,,,,"Colbert County",54519
"G0100350","1980","Alabama","01","Conecuh","035",,,,,,,,"Conecuh County",15884
"G0100370","1980","Alabama","01","Coosa","037",,,,,,,,"Coosa County",11377
"G0100390","1980","Alabama","01","Covington","039",,,,,,,,"Covington County",36850
"G0100410","1980","Alabama","01","Crenshaw","041",,,,,,,,"Crenshaw County",14110
"G0100430","1980","Alabama","01","Cullman","043",,,,,,,,"Cullman County",61642
"G0100450","1980","Alabama","01","Dale","045",,,,,,,,"Dale County",47821
"G0100470","1980","Alabama","01","Dallas","047",,,,,,,,"Dallas County",53981
"G0100490","1980","Alabama","01","DeKalb","049",,,,,,,,"De Kalb County",53658
"G0100510","1980","Alabama","01","Elmore","051",,,,,,,,"Elmore County",43390
"G0100530","1980","Alabama","01","Escambia","053",,,,,,,,"Escambia County",38392
"G0100550","1980","Alabama","01","Etowah","055",,,,,,,,"Etowah County",103057
"G0100570","1980","Alabama","01","Fayette","057",,,,,,,,"Fayette County",18809
"G0100590","1980","Alabama","01","Franklin","059",,,,,,,,"Franklin County",28350
"G0100610","1980","Alabama","01","Geneva","061",,,,,,,,"Geneva County",24253
