"title","description","type","city","state","country","publication","year","notes"
"Society Lounge","Tel.433-9191.","Bars","Mobile","AL","United States","Gaia's Guide",1981,""
"Pete's","Pete's, ","Bars","Aubrun","AL","United States","Gaia's Guide",1981,"Is Aubrun a misspelling of Auburn?"
"Fireside Lounge","Tel.(205) 433 9258. Disco.","Bars","Mobile","AL","United States","Gaia's Guide",1981,""
"Rainbow","Tel.264-9 168. Still a very ‘in""disco.","Bars","Montgomery","AL","United States","Gaia's Guide",1981,""
"Lambda Inc.","Tel.(205)251-0682","Groups","Birmingham","AL","United States","Gaia's Guide",1981,""
"Lambda Hotline","Tel.(205)251-0682","Services","Birmingham","AL","United States","Gaia's Guide",1981,""
"French Quarter","Tel.(205) 438 9139. Disco","Bars","Mobile","AL","United States","Gaia's Guide",1981,""
"Chukker","Tel.758-9445","Bars","Tuscalloosa","AL","United States","Gaia's Guide",1981,""
"Belle Watling's","Tel. (205) 252-6233. Disco and Piano Bar.","Bars","Birmingham","AL","United States","Gaia's Guide",1981,""
"Rhinestone Circus/J & B's Yumm Yumm Tree","Showbar/Disco Palace.","Show-Bars","Huntsville","AL","United States","Gaia's Guide",1981,""
"Vickie's Lounge","Tel.254-9194.","Bars","Birmingham","AL","United States","Gaia's Guide",1981,""
"Disco Den","Tel. 276-9554. ""Very hidden — behind a bar called ‘The Booby Trap’, in the alley.","Bars","Anchorage","AK","United States","Gaia's Guide",1981,""
"Gay Community Cneter","(behind the Bread Factory). Tel. 276-3909. P.O. Box 4-2791— mailing address. ""Very strong womyn's groups — regular lesbian rap sessions, meetings, etc.""","Centers","Anchorage","AK","United States","Gaia's Guide",1981,""
"Ruby's Relief and Rescue","For current details check with Alaska Women's Reosurce Center. Women's coffeehouse.","Coffeehouses","Anchorage","AK","United States","Gaia's Guide",1981,""
"The Cauldron","Tel.276-0592.Home-cooked food and live folk music. Open for lunch and dinner.","Restaurants","Anchorage","AK","United States","Gaia's Guide",1981,""
"Alaska Lesbians","","Groups","Anchorage","AK","United States","Gaia's Guide",1981,""
"Jakes Place","Tel.276-9663.""O.K for Wimmin if desperate""","Bars","Anchorage","AK","United States","Gaia's Guide",1981,""
"Gay Alaska","One year: $7.50. Very handy,non-sexist monthly.Political in orientation with lots of lesbian news and an events calander.","Publications","Anchorage","AK","United States","Gaia's Guide",1981,""
"Robert's Dining Room","Tel. 272-8315.","Restaurants","Anchorage","AK","United States","Gaia's Guide",1981,""
"Village Lounge and Disco","Tel. 276-2267.Separate women ’ s space on certain nights. Open: noon-4:30am M-F. 2pm-4:30am  weekends. Alternate phone number: 276-9160. Highly recommended.","Bars","Anchorage","AK","United States","Gaia's Guide",1981,""
"Anchorage Book Mart","Some gay titles.","Bookstore","Anchorage","AK","United States","Gaia's Guide",1981,""
"Upstairs","Get address locally--private members' club--might be just gay men.","Bars","Anchorage","AK","United States","Gaia's Guide",1981,""
"Hal's Place","Tel.276-9672.","Bars","Anchorage","AK","United States","Gaia's Guide",1981,""
