"city","state","country"
"","","United States"
"","AR","United States"
"","AZ","United States"
"","CA","United States"
"","CT","United States"
"","FL","United States"
"","HI","United States"
"","MD","United States"
"","ME","United States"
"","MT","United States"
"","NC","United States"
"","NJ","United States"
"","NM","United States"
"","OR","United States"
"","PA","United States"
"","SD","United States"
"","TN","United States"
"","TX","United States"
"","VA","United States"
"Abbeyville","LA","United States"
"Aberdeen","SD","United States"
"Aberdeen","WA","United States"
"Abilene","TX","United States"
"Ada","OK","United States"
"Adrian","MI","United States"
"Agana","GU","United States"
"Aguas Buenas","PR","United States"
"Akron","OH","United States"
"Alameda","CA","United States"
"Albany","CA","United States"
"Albany","GA","United States"
"Albany","NY","United States"
"Albion","CA","United States"
"Albuquerque","NM","United States"
"Alexandria","LA","United States"
"Alexandria","VA","United States"
"Alhambra","CA","United States"
"Allentown","PA","United States"
"Allston","MA","United States"
"Altoona","PA","United States"
"Amagansett","NY","United States"
"Amarillo","TX","United States"
"Ames","IA","United States"
"Amherst","MA","United States"
"Amherst","NY","United States"
"Anaheim","CA","United States"
"Anchorage","AK","United States"
"Andover","MA","United States"
"Ann Arbor","MI","United States"
"Annandale-On-Hudson","NY","United States"
"Annapolis","MD","United States"
"Anniston","AL","United States"
"Anoka","MN","United States"
"Antioch","IL","United States"
"Appleton","WI","United States"
"Appletown","WI","United States"
"Arcadia","CA","United States"
"Arcadia","LA","United States"
"Arlington","TX","United States"
"Arlington","VA","United States"
"Asbury Park","NJ","United States"
"Ashbury Park","NJ","United States"
"Asheville","NC","United States"
"Ashland","OR","United States"
"Ashville","NC","United States"
"Aspen","CO","United States"
"Athens","GA","United States"
"Athens","OH","United States"
"Athol","NY","United States"
"Atlanta","GA","United States"
"Atlantic City","NJ","United States"
"Attleboro","MA","United States"
"Aubrun","AL","United States"
"Auburn","AL","United States"
"Auburn","CA","United States"
"Augusta","FL","United States"
"Augusta","GA","United States"
"Augusta","KS","United States"
"Augusta","ME","United States"
"Aurora","IL","United States"
"Austin","TX","United States"
"Avenel","NJ","United States"
"Azusa","CA","United States"
"Babylon","NY","United States"
"Bailey","CO","United States"
"Bakersfield","CA","United States"
"Balboa","CA","United States"
"Baltimore","MD","United States"
"Bangor","ME","United States"
"Bar Harbor","ME","United States"
"Barberton","OH","United States"
"Barboursville","WV","United States"
"Barnegat Light","NJ","United States"
"Batesville","MS","United States"
"Bath","ME","United States"
"Baton Rouge","LA","United States"
"Battle Creek","MI","United States"
"Bay City","MI","United States"
"Bay Shore","NY","United States"
"Bayshore","NY","United States"
"Bayville","NY","United States"
"Beaumont","TX","United States"
"Beaver Dam","WI","United States"
"Beckley","WV","United States"
"Belfast","ME","United States"
"Belleville","MI","United States"
"Belleville","NJ","United States"
"Bellevue","NE","United States"
"Bellevue","WA","United States"
"Bellflower","CA","United States"
"Bellingham","WA","United States"
"Bellmawr","NJ","United States"
"Bellmore","NY","United States"
"Bellows Falls","VT","United States"
"Belluve","NE","United States"
"Belmar","NJ","United States"
"Beloit","WI","United States"
"Belvidere","NJ","United States"
"Berea","OH","United States"
"Berkeley","CA","United States"
"Berlin","VT","United States"
"Berwin","IL","United States"
"Berwyn","IL","United States"
"Bethany Beach","DE","United States"
"Bethesda","MD","United States"
"Bethlehem","PA","United States"
"Beverly Hills","CA","United States"
"Beverly Shores","IN","United States"
"Biddeford","ME","United States"
"Big Bear Lake","CA","United States"
"Big Rapids","MI","United States"
"Billings","MT","United States"
"Biloxi","MS","United States"
"Binghampton","NY","United States"
"Binghamton","NY","United States"
"Birmingham","AL","United States"
"Bisbee","AZ","United States"
"Bismarck","NC","United States"
"Bismarck","ND","United States"
"Black River","NY","United States"
"Blaine","WA","United States"
"Blairsville","PA","United States"
"Bloomingdale","NY","United States"
"Bloomington","IL","United States"
"Bloomington","IN","United States"
"Blue Point","NY","United States"
"Bluefield","WV","United States"
"Boca Raton","FL","United States"
"Bohemia","NY","United States"
"Boise","ID","United States"
"Boonville","CA","United States"
"Bossier City","LA","United States"
"Boston","MA","United States"
"Boulder","CO","United States"
"Boulder","MT","United States"
"Bowie","MD","United States"
"Bowling Green","KY","United States"
"Bowling Green","OH","United States"
"Bozeman","MT","United States"
"Bradenton","FL","United States"
"Branford","CT","United States"
"Brattleboro","VT","United States"
"Brattlesboro","VT","United States"
"Breckenridge","CO","United States"
"Bremerton","WA","United States"
"Brewer","ME","United States"
"Brick Town","NJ","United States"
"Bridgehampton","NY","United States"
"Bridgeport","CT","United States"
"Bridgeport","PA","United States"
"Brinnon","WA","United States"
"Bristol","TN","United States"
"Bristol","VA","United States"
"Brockton","MA","United States"
"Bronx","NY","United States"
"Brookings","SD","United States"
"Brooklyn","MI","United States"
"Brooklyn","NY","United States"
"Broome County","NY","United States"
"Broward County","FL","United States"
"Brownsville","TX","United States"
"Brunswick","ME","United States"
"Bryte","CA","United States"
"Buena Park","CA","United States"
"Buffalo","NY","United States"
"Burbank","CA","United States"
"Burlingame","CA","United States"
"Burlington","VT","United States"
"Burtonsville","MD","United States"
"Butler","NJ","United States"
"Butler","PA","United States"
"Butte","MT","United States"
"Calais","ME","United States"
"Caldwell","ID","United States"
"Caliente","CA","United States"
"Calumet City","IL","United States"
"Cambridge","MA","United States"
"Camden","NJ","United States"
"Campbell","CA","United States"
"Campbellsville","KY","United States"
"Canoga Park","CA","United States"
"Canton","OH","United States"
"Canyon","TX","United States"
"Cape Cod Area","MA","United States"
"Carbondale","IL","United States"
"Carthegena","OH","United States"
"Casper","WY","United States"
"Cathedral City","CA","United States"
"Cedar Rapids","IA","United States"
"Center Moriches","NY","United States"
"Central Fall","RI","United States"
"Central Falls","RI","United States"
"Chambersburg","PA","United States"
"Champaign","IL","United States"
"Chapel Hill","NC","United States"
"Charleston","SC","United States"
"Charleston","WV","United States"
"Charlestown","SC","United States"
"Charlestown","WV","United States"
"Charlestown (WV)","WV","United States"
"Charlotte","NC","United States"
"Charlotte Amalie, St. Thomas","VI","United States"
"Charlottesville","VA","United States"
"Chatanooga","TN","United States"
"Chattanooga","TN","United States"
"Cherokee","IA","United States"
"Cherry Hill","NJ","United States"
"Chester","OH","United States"
"Chester","PA","United States"
"Cheyenne","WY","United States"
"Chicago","IL","United States"
"Chico","CA","United States"
"Chicopee","MA","United States"
"Chittango","NY","United States"
"Chittenango","NY","United States"
"Christiansted, St. Croix","VI","United States"
"Cicero","IL","United States"
"Cincinnati","OH","United States"
"Clare","MI","United States"
"Claremont","CA","United States"
"Clarksburg","VA","United States"
"Clarksburg","WV","United States"
"Clarksburg (WV)","WV","United States"
"Clarksville","TN","United States"
"Clearlake","CA","United States"
"Clearwater","FL","United States"
"Cleveland","OH","United States"
"Clifton","NJ","United States"
"Coca","FL","United States"
"Cocoa","FL","United States"
"Cocoa Beach","FL","United States"
"Coconut Grove","FL","United States"
"College Park","MD","United States"
"College Station","TX","United States"
"Colorado Springs","CO","United States"
"Columbia","MD","United States"
"Columbia","MO","United States"
"Columbia","SC","United States"
"Columbus","GA","United States"
"Columbus","MS","United States"
"Columbus","OH","United States"
"Concord","CA","United States"
"Concord","NH","United States"
"Condado","PR","United States"
"Coney Island","NY","United States"
"Congers","NY","United States"
"Conroe","TX","United States"
"Contoocook","NH","United States"
"Contookook","NH","United States"
"Cooperstown","NY","United States"
"Coos Bay","OR","United States"
"Coos Bay--North Bend","OR","United States"
"Coos Bay-North Bend","OR","United States"
"Copiague","NY","United States"
"Copiaque","NY","United States"
"Coral Gables","FL","United States"
"Corpus Christi","TX","United States"
"Corte Madera","CA","United States"
"Cortland","NY","United States"
"Corvallis","OR","United States"
"Coshocton","OH","United States"
"Costa Mesa","CA","United States"
"Cottondale","FL","United States"
"Council Bluffs","IA","United States"
"Covina","CA","United States"
"Covington","KY","United States"
"Craryville","NY","United States"
"Cresson","OR","United States"
"Cresson","PA","United States"
"Crestwood","IL","United States"
"Culver City","CA","United States"
"Cumberland","MD","United States"
"Cupertino","CA","United States"
"Dade County","FL","United States"
"Dahlonega","GA","United States"
"Dalhart","TX","United States"
"Dallas","TX","United States"
