GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AZF001,AZF002,AZF003,AZF004
"G0100010","1900","Alabama","010","Autauga","0010","Autauga","41","10",8835,9056,17,7
"G0100030","1900","Alabama","010","Baldwin","0030","Baldwin","41","30",6549,6323,229,93
"G0100050","1900","Alabama","010","Barbour","0050","Barbour","41","50",16907,18198,24,23
"G0100070","1900","Alabama","010","Bibb","0070","Bibb","41","70",9285,8595,406,212
"G0100090","1900","Alabama","010","Blount","0090","Blount","41","90",11694,11344,47,34
"G0100110","1900","Alabama","010","Bullock","0110","Bullock","41","110",15601,16309,19,15
"G0100130","1900","Alabama","010","Butler","0130","Butler","41","130",12781,12947,22,11
"G0100150","1900","Alabama","010","Calhoun","0150","Calhoun","41","150",17279,17269,199,127
"G0100170","1900","Alabama","010","Chambers","0170","Chambers","41","170",16116,16412,16,10
"G0100190","1900","Alabama","010","Cherokee","0190","Cherokee","41","190",10665,10407,18,6
"G0100210","1900","Alabama","010","Chilton","0210","Chilton","41","210",8383,8041,59,39
"G0100230","1900","Alabama","010","Choctaw","0230","Choctaw","41","230",9082,9035,15,4
"G0100250","1900","Alabama","010","Clarke","0250","Clarke","41","250",13953,13794,29,14
"G0100270","1900","Alabama","010","Clay","0270","Clay","41","270",8618,8475,6,0
"G0100290","1900","Alabama","010","Cleburne","0290","Cleburne","41","290",6571,6496,79,60
"G0100310","1900","Alabama","010","Coffee","0310","Coffee","41","310",10846,10116,10,0
"G0100330","1900","Alabama","010","Colbert","0330","Colbert","41","330",11011,11124,133,73
"G0100350","1900","Alabama","010","Conecuh","0350","Conecuh","41","350",8654,8835,19,6
"G0100370","1900","Alabama","010","Coosa","0370","Coosa","41","370",8116,8020,6,2
"G0100390","1900","Alabama","010","Covington","0390","Covington","41","390",8023,7300,17,6
"G0100410","1900","Alabama","010","Crenshaw","0410","Crenshaw","41","410",9790,9873,4,1
"G0100430","1900","Alabama","010","Cullman","0430","Cullman","41","430",8634,8398,464,353
"G0100450","1900","Alabama","010","Dale","0450","Dale","41","450",10584,10599,5,1
"G0100470","1900","Alabama","010","Dallas","0470","Dallas","41","470",26069,28322,176,90
"G0100490","1900","Alabama","010","DeKalb","0490","Dekalb","41","490",11789,11713,39,17
"G0100510","1900","Alabama","010","Elmore","0510","Elmore","41","510",13219,12857,14,9
"G0100530","1900","Alabama","010","Escambia","0530","Escambia","41","530",5716,5557,37,10
"G0100550","1900","Alabama","010","Etowah","0550","Etowah","41","550",13798,13480,60,23
"G0100570","1900","Alabama","010","Fayette","0570","Fayette","41","570",7147,6980,3,2
"G0100590","1900","Alabama","010","Franklin","0590","Franklin","41","590",8507,7947,52,5
"G0100610","1900","Alabama","010","Geneva","0610","Geneva","41","610",9890,9192,12,2
"G0100630","1900","Alabama","010","Greene","0630","Greene","41","630",11642,12518,17,5
"G0100650","1900","Alabama","010","Hale","0650","Hale","41","650",15393,15581,28,9
"G0100670","1900","Alabama","010","Henry","0670","Henry","41","670",18278,17836,22,11
"G0100710","1900","Alabama","010","Jackson","0710","Jackson","41","710",15442,15038,20,8
"G0100730","1900","Alabama","010","Jefferson","0730","Jefferson","41","730",71829,63397,3253,1941
"G0100750","1900","Alabama","010","Lamar","0750","Lamar","41","750",8018,8056,9,1
"G0100770","1900","Alabama","010","Lauderdale","0770","Lauderdale","41","770",13143,13194,125,97
"G0100790","1900","Alabama","010","Lawrence","0790","Lawrence","41","790",9919,10183,19,3
"G0100810","1900","Alabama","010","Lee","0810","Lee","41","810",15128,16650,33,15
"G0100830","1900","Alabama","010","Limestone","0830","Limestone","41","830",11228,11083,45,31
"G0100850","1900","Alabama","010","Lowndes","0850","Lowndes","41","850",17588,18042,17,4
"G0100870","1900","Alabama","010","Macon","0870","Macon","41","870",11348,11757,13,8
"G0100890","1900","Alabama","010","Madison","0890","Madison","41","890",21581,21892,157,72
"G0100910","1900","Alabama","010","Marengo","0910","Marengo","41","910",18778,19461,51,25
"G0100930","1900","Alabama","010","Marion","0930","Marion","41","930",7305,7172,11,6
"G0100950","1900","Alabama","010","Marshall","0950","Marshall","41","950",11867,11410,11,1
"G0100970","1900","Alabama","010","Mobile","0970","Mobile","41","970",28724,31171,1632,1213
"G0100990","1900","Alabama","010","Monroe","0990","Monroe","41","990",11850,11803,12,1
"G0101010","1900","Alabama","010","Montgomery","1010","Montgomery","41","1010",34194,37154,433,266
"G0101030","1900","Alabama","010","Morgan","1030","Morgan","41","1030",14283,14197,214,126
"G0101050","1900","Alabama","010","Perry","1050","Perry","41","1050",15452,16291,26,14
"G0101070","1900","Alabama","010","Pickens","1070","Pickens","41","1070",12048,12343,10,1
"G0101090","1900","Alabama","010","Pike","1090","Pike","41","1090",14642,14495,27,8
"G0101110","1900","Alabama","010","Randolph","1110","Randolph","41","1110",10793,10846,5,3
"G0101130","1900","Alabama","010","Russell","1130","Russell","41","1130",13139,13912,25,7
"G0101150","1900","Alabama","010","St Clair","1150","St Clair","41","1150",9847,9522,43,13
"G0101170","1900","Alabama","010","Shelby","1170","Shelby","41","1170",12086,11514,52,32
