"geocode.value","lat","lon","damron_percent","gaia_percent","damron_ratio","gaia_ratio","ratio","log_ratio"
"Russian River, CA",38.9116324986166,-123.011048270873,0.26615969581749,0.0222783306104263,11.947021546261,0.0837028707220304,11.947021546261,2.48048200432062
"Condado, PR",37.09024,-95.712891,0.114068441064639,0.0148522204069508,7.68022813688216,0.130204465567602,7.68022813688216,2.03864925204158
"McAllen, TX",26.2034071,-98.2300124,0.091254752851711,0.0148522204069508,6.14418250950572,0.162755581959503,6.14418250950572,1.81550570072737
"Charleston, SC",32.7833163,-79.9319664,0.159695817490494,0.0371305510173771,4.30092775665398,0.232507974227862,4.30092775665398,1.45883075678864
"Waikiki Beach, HI",21.2793462,-157.8291847,0.091254752851711,0.0222783306104263,4.09612167300379,0.244133372939255,4.09612167300379,1.4100405926192
"Sherman Oaks, CA",34.1509272,-118.4486989,0.0874524714828897,0.0222783306104263,3.92544993662864,0.254747867414875,3.92544993662864,1.36748097820041
"New York, NY",40.7127753,-74.0059728,4.65019011406844,1.39610871825338,3.33082234447051,0.300226159362747,3.33082234447051,1.20321922379659
"Waco, TX",31.549333,-97.1466695,0.0950570342205323,0.0297044408139017,3.20009505703422,0.312490717362246,3.20009505703422,1.16318051468768
"Corpus Christi, TX",27.8005828,-97.396381,0.125475285171103,0.0445566612208525,2.81608365019012,0.355103087911642,2.81608365019012,1.0353471431778
"San Francisco, CA",37.7749295,-122.4194155,6.11787072243346,2.2352591712461,2.73698495509266,0.365365545082489,2.73698495509266,1.00685693318288
"Wichita Falls, TX",33.9137085,-98.4933873,0.121673003802281,0.0445566612208525,2.73074778200253,0.366200059408883,2.73074778200253,1.00457548451104
"Miami, FL",25.7616798,-80.1917902,1.00380228136882,0.371305510173771,2.70344030418251,0.369899049907962,2.70344030418251,0.994525148657539
"Monterey, CA",36.6002378,-121.8946761,0.0988593155893536,0.0371305510173771,2.66247908745247,0.37558980452193,2.66247908745247,0.979257676526752
"Cathedral City, CA",33.7805388,-116.4668036,0.114068441064639,0.0445566612208525,2.56007604562738,0.390613396702806,2.56007604562738,0.940036963373473
