"title","description","type","city","state","country","publication","year","notes","geocode.value","lon","lat","geoAddress"
"Society Lounge","Tel.433-9191.","Bars","Mobile","AL","United States","Gaia's Guide",1981,"","Mobile, AL, United States",-88.0398912,30.6953657,"mobile, al, usa"
"Pete's","Pete's,","Bars","Aubrun","AL","United States","Gaia's Guide",1981,"Is Aubrun a misspelling of Auburn?","Aubrun, AL, United States",-85.4807825,32.6098566,"auburn, al, usa"
"Fireside Lounge","Tel.(205) 433 9258. Disco.","Bars","Mobile","AL","United States","Gaia's Guide",1981,"","Mobile, AL, United States",-88.0398912,30.6953657,"mobile, al, usa"
"Rainbow","Tel.264-9 168. Still a very ‘in""disco.","Bars","Montgomery","AL","United States","Gaia's Guide",1981,"","Montgomery, AL, United States",-86.3077368,32.3792233,"montgomery, al, usa"
"Lambda Inc.","Tel.(205)251-0682","Groups","Birmingham","AL","United States","Gaia's Guide",1981,"","Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa"
"Lambda Hotline","Tel.(205)251-0682","Services","Birmingham","AL","United States","Gaia's Guide",1981,"","Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa"
"French Quarter","Tel.(205) 438 9139. Disco","Bars","Mobile","AL","United States","Gaia's Guide",1981,"","Mobile, AL, United States",-88.0398912,30.6953657,"mobile, al, usa"
"Chukker","Tel.758-9445","Bars","Tuscalloosa","AL","United States","Gaia's Guide",1981,"","Tuscalloosa, AL, United States",-87.5691735,33.2098407,"tuscaloosa, al, usa"
"Belle Watling's","Tel. (205) 252-6233. Disco and Piano Bar.","Bars","Birmingham","AL","United States","Gaia's Guide",1981,"","Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa"
"Rhinestone Circus/J & B's Yumm Yumm Tree","Showbar/Disco Palace.","Show-Bars","Huntsville","AL","United States","Gaia's Guide",1981,"","Huntsville, AL, United States",-86.5861037,34.7303688,"huntsville, al, usa"
"Vickie's Lounge","Tel.254-9194.","Bars","Birmingham","AL","United States","Gaia's Guide",1981,"","Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa"
"Disco Den","Tel. 276-9554. ""Very hidden — behind a bar called ‘The Booby Trap’, in the alley.","Bars","Anchorage","AK","United States","Gaia's Guide",1981,"","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Gay Community Cneter","(behind the Bread Factory). Tel. 276-3909. P.O. Box 4-2791— mailing address. ""Very strong womyn's groups — regular lesbian rap sessions, meetings, etc.""","Centers","Anchorage","AK","United States","Gaia's Guide",1981,"","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
