"publication","pub.count","geocode.value","lon","lat","count","relative.percentage"
"Bob Damron's Address Book",18500,"Abbeyville, LA, United States",-92.1342921,29.9746502,1,0.00540540540540541
"Bob Damron's Address Book",18500,"Aberdeen, SD, United States",-98.4864829,45.4646985,2,0.0108108108108108
"Bob Damron's Address Book",18500,"Aberdeen, WA, United States",-123.8157218,46.9753708,3,0.0162162162162162
"Bob Damron's Address Book",18500,"Abilene, TX, United States",-99.7331439,32.4487364,5,0.027027027027027
"Bob Damron's Address Book",18500,"Adrian, MI, United States",-84.0371659,41.8975471,2,0.0108108108108108
"Bob Damron's Address Book",18500,"Agana, GU, United States",NA,NA,1,0.00540540540540541
"Bob Damron's Address Book",18500,"Aguas Buenas, PR, United States",NA,NA,3,0.0162162162162162
"Bob Damron's Address Book",18500,"Akron, OH, United States",-81.5188377,41.081199,47,0.254054054054054
"Bob Damron's Address Book",18500,"Alamagordo, NM, United States",-105.960265,32.8995325,2,0.0108108108108108
"Bob Damron's Address Book",18500,"Alameda, CA, United States",-122.2821855,37.7798721,3,0.0162162162162162
"Bob Damron's Address Book",18500,"Albany, CA, United States",-122.2977557,37.886704,1,0.00540540540540541
"Bob Damron's Address Book",18500,"Albany, GA, United States",-84.155741,31.5785074,8,0.0432432432432432
"Bob Damron's Address Book",18500,"Albany, NY, United States",-73.7562317,42.6525793,49,0.264864864864865
"Bob Damron's Address Book",18500,"Albuquerque, NM, United States",-106.650422,35.0843859,47,0.254054054054054
"Bob Damron's Address Book",18500,"Alexandria, LA, United States",-92.4451371,31.3112936,13,0.0702702702702703
"Bob Damron's Address Book",18500,"Alexandria, VA, United States",-77.0469214,38.8048355,5,0.027027027027027
"Bob Damron's Address Book",18500,"Allentown, PA, United States",-75.4714098,40.6022939,16,0.0864864864864865
"Bob Damron's Address Book",18500,"Altoona, PA, United States",-78.3947359,40.5186809,4,0.0216216216216216
"Bob Damron's Address Book",18500,"Amarillo, TX, United States",-101.8312969,35.2219971,19,0.102702702702703
"Bob Damron's Address Book",18500,"Amelia Island, FL, United States",-81.460856,30.6265697,1,0.00540540540540541
"Bob Damron's Address Book",18500,"Ames, IA, United States",-93.6319131,42.0307812,6,0.0324324324324324
"Bob Damron's Address Book",18500,"Amherst, MA, United States",-72.5198537,42.3732216,4,0.0216216216216216
"Bob Damron's Address Book",18500,"Amherst, NY, United States",-78.7922424,42.9791367,5,0.027027027027027
"Bob Damron's Address Book",18500,"Anaheim, CA, United States",-117.9143012,33.8365932,4,0.0216216216216216
"Bob Damron's Address Book",18500,"Anahola, Kauai, HI, United States",-159.3157173,22.1473253,1,0.00540540540540541
"Bob Damron's Address Book",18500,"Anchorage, AK, United States",-149.8996785,61.2175758,36,0.194594594594595
"Bob Damron's Address Book",18500,"Anderson, IN, United States",-85.6802541,40.1053196,1,0.00540540540540541
"Bob Damron's Address Book",18500,"Andrews, IN, United States",-85.6016458,40.8625448,1,0.00540540540540541
