"publication","year","pub.count","geocode.value","lon","lat","count","relative.percentage"
"Bob Damron's Address Book",1975,2334,"Agana, GU, United States",NA,NA,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Aguas Buenas, PR, United States",NA,NA,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Akron, OH, United States",-81.5188377,41.081199,5,0.214224507283633
"Bob Damron's Address Book",1975,2334,"Albany, GA, United States",-84.155741,31.5785074,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Albany, NY, United States",-73.7562317,42.6525793,5,0.214224507283633
"Bob Damron's Address Book",1975,2334,"Albuquerque, NM, United States",-106.650422,35.0843859,5,0.214224507283633
"Bob Damron's Address Book",1975,2334,"Alexandria, LA, United States",-92.4451371,31.3112936,2,0.0856898029134533
"Bob Damron's Address Book",1975,2334,"Allentown, PA, United States",-75.4714098,40.6022939,2,0.0856898029134533
"Bob Damron's Address Book",1975,2334,"Amarillo, TX, United States",-101.8312969,35.2219971,3,0.12853470437018
"Bob Damron's Address Book",1975,2334,"Amherst, MA, United States",-72.5198537,42.3732216,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Amherst, NY, United States",-78.7922424,42.9791367,2,0.0856898029134533
"Bob Damron's Address Book",1975,2334,"Anchorage, AK, United States",-149.8996785,61.2175758,5,0.214224507283633
"Bob Damron's Address Book",1975,2334,"Ann Arbor, MI, United States",-83.7430378,42.2808256,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Annapolis, MD, United States",-76.4921829,38.9784453,3,0.12853470437018
"Bob Damron's Address Book",1975,2334,"Appleton, WI, United States",-88.4153847,44.2619309,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Asbury Park, NJ, United States",-74.0120817,40.2203907,8,0.342759211653813
"Bob Damron's Address Book",1975,2334,"Asheville, NC, United States",-82.5514869,35.5950581,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Aspen, CO, United States",-106.8175387,39.1910983,3,0.12853470437018
"Bob Damron's Address Book",1975,2334,"Athens, GA, United States",-83.357567,33.9519347,3,0.12853470437018
"Bob Damron's Address Book",1975,2334,"Atlanta, GA, United States",-84.3876845,33.748752,30,1.2853470437018
"Bob Damron's Address Book",1975,2334,"Atlantic City, NJ, United States",-74.4229266,39.3642834,21,0.89974293059126
"Bob Damron's Address Book",1975,2334,"Auburn, AL, United States",-85.4807825,32.6098566,2,0.0856898029134533
"Bob Damron's Address Book",1975,2334,"Augusta, GA, United States",-82.0105148,33.4734978,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Austin, TX, United States",-97.7430608,30.267153,5,0.214224507283633
"Bob Damron's Address Book",1975,2334,"Babylon, NY, United States",NA,NA,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Bakersfield, CA, United States",-119.0187125,35.3732921,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Balboa, CA, United States",-117.924131,33.607795,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Baltimore, MD, United States",-76.6121893,39.2903848,27,1.15681233933162
"Bob Damron's Address Book",1975,2334,"Baton Rouge, LA, United States",-91.1871466,30.4514677,4,0.171379605826907
"Bob Damron's Address Book",1975,2334,"Battle Creek, MI, United States",-85.1797142,42.3211522,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Bay City, MI, United States",-83.8888647,43.5944677,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Bay Shore, NY, United States",-73.2453946,40.7250986,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Beaumont, TX, United States",-94.1265562,30.080174,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Bellingham, WA, United States",-122.4786854,48.7519112,2,0.0856898029134533
"Bob Damron's Address Book",1975,2334,"Bellmore, NY, United States",-73.5270709,40.6687125,2,0.0856898029134533
"Bob Damron's Address Book",1975,2334,"Berkeley, CA, United States",-122.273042,37.8715226,3,0.12853470437018
"Bob Damron's Address Book",1975,2334,"Berwyn, IL, United States",-87.7936685,41.8505874,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Bethany Beach, DE, United States",-75.0551806,38.5395564,2,0.0856898029134533
"Bob Damron's Address Book",1975,2334,"Big Rapids, MI, United States",-85.4836557,43.6980782,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Billings, MT, United States",-108.5006904,45.7832856,2,0.0856898029134533
"Bob Damron's Address Book",1975,2334,"Biloxi, MS, United States",-88.8853078,30.3960318,2,0.0856898029134533
"Bob Damron's Address Book",1975,2334,"Binghamton, NY, United States",-75.9179738,42.0986867,4,0.171379605826907
"Bob Damron's Address Book",1975,2334,"Birmingham, AL, United States",-86.8103567,33.5185892,6,0.25706940874036
"Bob Damron's Address Book",1975,2334,"Bloomington, IN, United States",-86.5263857,39.165325,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Bluefield, WV, United States",-81.2223195,37.2698395,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Bohemia, NY, United States",-73.1151117,40.7692649,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Boise, ID, United States",-116.2023137,43.6150186,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Boonville, CA, United States",-123.3671551,39.0089749,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Boston, MA, United States",-71.0588801,42.3600825,33,1.41388174807198
"Bob Damron's Address Book",1975,2334,"Boulder, CO, United States",-105.2705456,40.0149856,2,0.0856898029134533
"Bob Damron's Address Book",1975,2334,"Bremerton, WA, United States",-122.6269768,47.5650067,2,0.0856898029134533
"Bob Damron's Address Book",1975,2334,"Bridgehampton, NY, United States",-72.3009158,40.9378777,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Bridgeport, CT, United States",-73.1894384,41.1792258,2,0.0856898029134533
"Bob Damron's Address Book",1975,2334,"Bridgeport, PA, United States",-75.3451838,40.1051084,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Brinnon, WA, United States",-122.8982142,47.679259,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Bronx, NY, United States",-73.8648268,40.8447819,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Brooklyn, NY, United States",-73.9441579,40.6781784,4,0.171379605826907
"Bob Damron's Address Book",1975,2334,"Buffalo, NY, United States",-78.8783689,42.8864468,8,0.342759211653813
"Bob Damron's Address Book",1975,2334,"Burbank, CA, United States",-118.3089661,34.1808392,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Burlington, VT, United States",-73.212072,44.4758825,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Butte, MT, United States",-112.5347776,46.0038232,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Caldwell, ID, United States",-116.6873596,43.6629384,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Calumet City, IL, United States",-87.5294871,41.6155909,4,0.171379605826907
"Bob Damron's Address Book",1975,2334,"Cambridge, MA, United States",-71.1097335,42.3736158,4,0.171379605826907
"Bob Damron's Address Book",1975,2334,"Camden, NJ, United States",-75.1196199,39.9259463,2,0.0856898029134533
"Bob Damron's Address Book",1975,2334,"Canton, OH, United States",-81.378447,40.7989473,3,0.12853470437018
"Bob Damron's Address Book",1975,2334,"Carbondale, IL, United States",-89.2167501,37.7272727,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Cedar Rapids, IA, United States",-91.6656232,41.9778795,2,0.0856898029134533
"Bob Damron's Address Book",1975,2334,"Champaign, IL, United States",-88.2433829,40.1164204,2,0.0856898029134533
"Bob Damron's Address Book",1975,2334,"Chapel Hill, NC, United States",-79.0558445,35.9131996,1,0.0428449014567267
"Bob Damron's Address Book",1975,2334,"Charleston, SC, United States",-79.9319664,32.7833163,4,0.171379605826907
