"publication","pub.count","geocode.value","lon","lat","count","relative.percentage"
"Bob Damron's Address Book",16338,"Abbeyville, LA, United States",-92.1342921,29.9746502,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Aberdeen, SD, United States",-98.4864829,45.4646985,6,0.0367242012486228
"Bob Damron's Address Book",16338,"Aberdeen, WA, United States",-123.8157218,46.9753708,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Abilene, TX, United States",-99.7331439,32.4487364,9,0.0550863018729343
"Bob Damron's Address Book",16338,"Adrian, MI, United States",-84.0371659,41.8975471,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Agana, GU, United States",NA,NA,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Aguas Buenas, PR, United States",NA,NA,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Akron, OH, United States",-81.5188377,41.081199,52,0.318276410821398
"Bob Damron's Address Book",16338,"Alameda, CA, United States",-122.2821855,37.7798721,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Albany, CA, United States",-122.2977557,37.886704,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Albany, GA, United States",-84.155741,31.5785074,11,0.0673277022891419
"Bob Damron's Address Book",16338,"Albany, NY, United States",-73.7562317,42.6525793,54,0.330517811237606
"Bob Damron's Address Book",16338,"Albuquerque, NM, United States",-106.650422,35.0843859,56,0.342759211653813
"Bob Damron's Address Book",16338,"Alexandria, LA, United States",-92.4451371,31.3112936,14,0.0856898029134533
"Bob Damron's Address Book",16338,"Alexandria, VA, United States",-77.0469214,38.8048355,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Alhambra, CA, United States",-118.1270146,34.095287,5,0.030603501040519
"Bob Damron's Address Book",16338,"Allentown, PA, United States",-75.4714098,40.6022939,14,0.0856898029134533
"Bob Damron's Address Book",16338,"Altoona, PA, United States",-78.3947359,40.5186809,7,0.0428449014567267
"Bob Damron's Address Book",16338,"Amarillo, TX, United States",-101.8312969,35.2219971,32,0.195862406659322
"Bob Damron's Address Book",16338,"Ames, IA, United States",-93.6319131,42.0307812,8,0.0489656016648305
"Bob Damron's Address Book",16338,"Amherst, MA, United States",-72.5198537,42.3732216,6,0.0367242012486228
"Bob Damron's Address Book",16338,"Amherst, NY, United States",-78.7922424,42.9791367,5,0.030603501040519
"Bob Damron's Address Book",16338,"Anaheim, CA, United States",-117.9143012,33.8365932,5,0.030603501040519
"Bob Damron's Address Book",16338,"Anchorage, AK, United States",-149.8996785,61.2175758,40,0.244828008324152
"Bob Damron's Address Book",16338,"Andover, MA, United States",-71.1367953,42.6583356,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Ann Arbor, MI, United States",-83.7430378,42.2808256,19,0.116293303953972
"Bob Damron's Address Book",16338,"Annapolis, MD, United States",-76.4921829,38.9784453,12,0.0734484024972457
"Bob Damron's Address Book",16338,"Anniston, AL, United States",-85.8316318,33.6598257,7,0.0428449014567267
"Bob Damron's Address Book",16338,"Anoka, MN, United States",-93.3871758,45.1977428,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Antioch, IL, United States",-88.0956396,42.4772418,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Appleton, WI, United States",-88.4153847,44.2619309,14,0.0856898029134533
"Bob Damron's Address Book",16338,"Arcadia, CA, United States",-118.0353449,34.1397292,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Arcadia, LA, United States",-92.920158,32.5490406,3,0.0183621006243114
"Bob Damron's Address Book",16338,"Arlington, TX, United States",-97.1080656,32.735687,11,0.0673277022891419
"Bob Damron's Address Book",16338,"Arlington, VA, United States",-77.0909809,38.8816208,6,0.0367242012486228
"Bob Damron's Address Book",16338,"Asbury Park, NJ, United States",-74.0120817,40.2203907,46,0.281552209572775
"Bob Damron's Address Book",16338,"Asheville, NC, United States",-82.5514869,35.5950581,15,0.0918105031215571
"Bob Damron's Address Book",16338,"Ashland, OR, United States",-122.7094767,42.1945758,4,0.0244828008324152
"Bob Damron's Address Book",16338,"Aspen, CO, United States",-106.8175387,39.1910983,9,0.0550863018729343
"Bob Damron's Address Book",16338,"Athens, GA, United States",-83.357567,33.9519347,26,0.159138205410699
"Bob Damron's Address Book",16338,"Athens, OH, United States",-82.1012554,39.3292396,6,0.0367242012486228
"Bob Damron's Address Book",16338,"Atlanta, GA, United States",-84.3876845,33.748752,196,1.19965724078835
"Bob Damron's Address Book",16338,"Atlantic City, NJ, United States",-74.4229266,39.3642834,88,0.538621618313135
"Bob Damron's Address Book",16338,"Attleboro, MA, United States",-71.2856082,41.9445441,5,0.030603501040519
"Bob Damron's Address Book",16338,"Auburn, AL, United States",-85.4807825,32.6098566,11,0.0673277022891419
"Bob Damron's Address Book",16338,"Auburn, CA, United States",-121.0768901,38.8965654,4,0.0244828008324152
"Bob Damron's Address Book",16338,"Augusta, GA, United States",-82.0105148,33.4734978,7,0.0428449014567267
"Bob Damron's Address Book",16338,"Augusta, KS, United States",-96.9767023,37.6866844,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Augusta, ME, United States",-69.7794897,44.3106241,7,0.0428449014567267
"Bob Damron's Address Book",16338,"Aurora, IL, United States",-88.3200715,41.7605849,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Austin, TX, United States",-97.7430608,30.267153,65,0.397845513526747
"Bob Damron's Address Book",16338,"Avenel, NJ, United States",-74.2851469,40.5803818,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Azusa, CA, United States",-117.9075627,34.1336186,1,0.00612070020810381
