type_clean,n
a.a.,4
aa,3
accommodation,8
"accommodation - guest houses, etc.",2
accommodations,13896
"accommodations,cruisy areas",4
"accommodations,info lines and services",2
accomodations,490
accountant,2
accountants,3
accounting and income tax services,2
acupuncture,2
adventure vacations,3
alcohol and drug abuse centers,2
alcoholism center,2
"alcoholism, chemical dependency, drug abuse counseling",2
alternative / feminist bookstores,8
alternative and general bookstores,5
alternative bookshop,2
alternative bookstore,56
alternative bookstores,26
apartments/cottages,5
archives,19
archives / libraries,6
"archives/libraries,etc.",5
art gallery,18
attorney,5
attorney's,16
attorneys,59
"attorneys and legal aid, etc.",3
auto repair,4
bar,716
bar / restaurants,80
"bar and cafes, etc.",2
bar/restaurant,199
bar/restuarant,36
bar/swimming pool,2
bars,22836
bars and bars / restaurants,23
bars and nightclubs,1864
"bars, etc.",3
"bars,cruising areas",131
"bars,cruisy areas",74
bars/clubs,32786
"bars/clubs,bathhouses",37
"bars/clubs,baths",8
"bars/clubs,book store",28
"bars/clubs,book store,erotic shop",3
"bars/clubs,business",7
"bars/clubs,cruising areas",1340
"bars/clubs,cruising areas,book store",2
"bars/clubs,cruising areas,hotel",18
"bars/clubs,cruising areas,restaurant",14
"bars/clubs,cruising areas,theatre",2
"bars/clubs,erotic shop",4
"bars/clubs,hotel",977
"bars/clubs,hotel,baths",2
"bars/clubs,hotel,cruising areas",8
"bars/clubs,hotel,restaurant",19
"bars/clubs,hotels",36
"bars/clubs,hotels,restaurant",5
"bars/clubs,restaurant",875
"bars/clubs,restaurant,bathhouses",2
"bars/clubs,restaurant,book store",7
"bars/clubs,restaurant,cruising areas",25
"bars/clubs,restaurant,cruising areas,bathhouses",2
"bars/clubs,restaurant,hotel",26
"bars/clubs,restaurant,hotel,hotel",7
"bars/clubs,restaurants and cafes",4
"bars/clubs,theatre",28
"bars/clubs,theatre,cruising areas",6
bars/restaurants,58
bath house,3
bath houses,3
bathhouses,1052
"bathhouses,bars/clubs",4
"bathhouses,cruising areas",4
"bathhouses,erotic shop",5
"bathhouses,gym",19
"bathhouses,hotel",31
baths,1441
"baths,bars/clubs",10
"baths,book store",2
"baths,business",8
"baths,hotel",36
"baths,organizations",2
"baths,restaurant",5
"baths,restaurant,bars/clubs",2
beach,7
bed and breakfast,6
book store,3762
"book store,bars/clubs",4
"book store,bars/clubs,cruising areas",3
"book store,bars/clubs,theatre",4
"book store,business",50
"book store,business,cruising areas",3
"book store,community center/support group",2
"book store,cruising areas",402
"book store,cruising areas,business",2
"book store,cruising areas,erotic shop",45
"book store,cruising areas,theatre",3
"book store,erotic shop",546
"book store,erotic shop,bathhouses",2
"book store,erotic shop,cruising areas",44
"book store,erotic shop,theatre",2
"book store,hotel,erotic shop",5
"book store,publication",2
"book store,restaurant",7
"book store,theatre",86
"book store,theatre,cruising areas",14
"book store,theatre,erotic shop",10
book stores or retail shops,224
book stores/retail shops,182
"books, cards and gift shop",3
bookshop,6
bookstore,149
bookstore/coffeehouse,2
bookstore/retail shops,250
bookstores,1603
bookstores / cafe,2
bookstores and retail shops,458
bookstores/retail shops,1876
boutique,2
business,1019
business and trade organizations,2
business consultants,2
"business,book store",51
"business,book store,cruising areas",2
"business,cruising areas",13
"business,erotic shop",16
"business,hotel",20
"business,organization",6
"business,restaurant",8
"business,theatre",2
cab company,3
cafe/gallery,2
cafes,1424
camp grounds,2
campground,3
campground/retreat,2
camping and cabins,3
camping for women,2
camping program,2
camping space,3
captained charted sailings,2
center,73
center/groups,2
centers,248
centers / groups,2
centers / switchboards,5
centers and organizations,2
chemical dependency association,2
chemical dependency clinic,2
church,346
classes,3
clinic,6
clinics / health centers / counseling,15
coffee house,2
coffee house/art gallery,5
coffeehouse,40
coffeehouse / cafe,2
coffeehouses,26
coffeehouses and cafe / bars,3
community center/ support group,30
"community center/ support group,hotline",2
"community center/ support group,religious institution",2
community center/support group,200
"community center/support group,hotline",4
"community center/support group,organization",2
counseling,13
counseling / health / clinics / medical treatment,8
counseling / therapy / health centers,2
counseling / therapy / massage,2
counseling and health services --community organized,2
counseling and psychotherapy,2
counseling and therapy,10
"counseling centers / health centers, etc.",6
"counseling centers/health centers, etc",4
counseling service,13
counseling services/therapy/massage,3
counseling/therapy,4
counselling / health / clinics / medical treatment,9
counselling and therapy,2
counselling institute,2
counselling/therapy,23
"counselors / therapists / psychologists, etc.",2
country club,7
cruising areas,25909
"cruising areas,bars",2
"cruising areas,bars/clubs",438
"cruising areas,bars/clubs,hotel",10
"cruising areas,bars/clubs,restaurant",12
"cruising areas,bathhouses",18
"cruising areas,baths",5
"cruising areas,book store",264
"cruising areas,book store,business",4
"cruising areas,book store,erotic shop",51
"cruising areas,book store,theatre",4
"cruising areas,business",16
"cruising areas,community center/support group",2
"cruising areas,erotic shop",25
"cruising areas,erotic shop,book store",17
"cruising areas,gym",10
"cruising areas,hotel",189
"cruising areas,hotel,bars/clubs",8
"cruising areas,hotel,gym",5
"cruising areas,organizations",62
"cruising areas,organizations,hotel",2
"cruising areas,religious institution",3
"cruising areas,restaurant",111
"cruising areas,restaurant,bars/clubs",10
"cruising areas,restaurant,hotel",2
"cruising areas,theatre",207
"cruising areas,theatre,book store",4
cruisy areas,4730
crusiy areas,45
cultural organizations,2
dating service,2
dating services,3
delicatessen,2
dentist,5
dentists,14
directory,3
disco,5
disco night,2
discussion group,8
drug/alcohol services,2
educational institution,2
emergency services,2
entertainment and recreation,986
"entertainment and recreation,cruisy areas",3
erotic shop,454
"erotic shop,bars/clubs",3
"erotic shop,book store",102
"erotic shop,book store,cruising areas",6
"erotic shop,book store,theatre",2
"erotic shop,business",7
"erotic shop,cruising areas",15
"erotic shop,cruising areas,book store",3
"erotic shop,theatre,cruising areas",2
erotica,7154
"erotica,cruising areas",3
"erotica,cruisy areas",5
erotica/adult books,63
erotica/adult groups,337
escort and model services,64
escort service,21
escorts and model services,7
event,3
events,10
feminist bookstore,299
feminist bookstore / cafe,2
feminist coffeehouse,3
feminist newspaper,2
feminist restaurant,4
feminist restaurant/bookstore,2
feminist shop,4
feminist shop and bookstore,2
feminist shops,3
feminist social club and restaurant,2
feminist store,16
feminist stores,2
fitness center,3
food store,3
for review,18
framing shop,2
garage,5
gay / lesbian bookstore,18
gay / lesbian center,12
gay / lesbian group,12
gay beach,3
gay bookstore,2
gay center,8
gay centre,3
gay complex,5
gay complex / resort,3
gay complex/resort,3
gay group,5
gay hotline,9
gay switchboard,2
gay/alternative bookstore,6
gay/lesbian bookstore,22
gay/lesbian bookstores,2
gay/lesbian center,9
gay/lesbian group,20
gay/lesbian restaurant,3
gay/lesbian/feminist bookstore,2
general and alternative bookstore,5
general and alternative bookstores,2
general bookstore,8
general bookstores,2
gift store,5
goddess crafts,2
graphic consultant,2
graphic design,3
group,247
groups,159
groups - special interest groups,4
groups / organizations,5
groups / organizations and services,3
groups and organizations,17
groups/-- special interest groups,2
groups/organizations,7
groups/organizations and services,4
guest house,40
guest house referral agency,2
guest houses,24
guest houses / bed and breakfast,13
guide book,3
gym,202
"gym,bathhouses",3
"gym,hotel",2
gym/health club,13
gym/health clubs,89
gyms and health clubs,481
gyms/health clubs,267
hairdressers,4
hairdressing,2
healing center,2
