type_clean,n
bars/clubs,32786
cruising areas,25909
bars,22836
accommodations,13896
info lines and services,10515
restaurant,8813
erotica,7154
restaurants,6749
cruisy areas,4730
restaurants and cafes,4325
book store,3762
hotel,3443
nightclubs,2878
publications,2858
bookstores/retail shops,1876
bars and nightclubs,1864
bookstores,1603
religious institution,1459
baths,1441
travel/tour operators,1441
cafes,1424
"bars/clubs,cruising areas",1340
retail shops,1256
men's services,1168
religious organizations,1140
bathhouses,1052
business,1019
"restaurant,bars/clubs",1009
entertainment and recreation,986
"bars/clubs,hotel",977
men's clubs,918
"bars/clubs,restaurant",875
spiritual groups,810
theatre,780
publication,732
bar,716
organization,566
"book store,erotic shop",546
travel agents,519
religious groups,500
accomodations,490
gyms and health clubs,481
bookstores and retail shops,458
erotic shop,454
"hotel,bars/clubs",439
"cruising areas,bars/clubs",438
"book store,cruising areas",402
religious organization,391
hotline,365
church,346
erotica/adult groups,337
organizations,316
feminist bookstore,299
gyms/health clubs,267
services,267
"cruising areas,book store",264
NA,264
bookstore/retail shops,250
centers,248
group,247
book stores or retail shops,224
"cruising areas,theatre",207
gym,202
community center/support group,200
bar/restaurant,199
travel service,191
"cruising areas,hotel",189
hotlines,187
book stores/retail shops,182
travel agency,177
"restaurant,hotel",170
groups,159
"hotel,restaurant",158
bookstore,149
special interest groups,139
"bars,cruising areas",131
"restaurant,cruising areas",128
travel agency or tour operators,128
travel and tour operators,128
information services,113
"cruising areas,restaurant",111
organization and service,111
"erotic shop,book store",102
hotels,93
service,92
women's centers,92
gym/health clubs,89
"book store,theatre",86
bar / restaurants,80
"bars,cruisy areas",74
center,73
health clinic,66
escort and model services,64
health center,64
erotica/adult books,63
"cruising areas,organizations",62
attorneys,59
"theatre,cruising areas",59
bars/restaurants,58
alternative bookstore,56
hotels/motels/guest houses/etc,56
women's center,53
"business,book store",51
"cruising areas,book store,erotic shop",51
"book store,business",50
show-bars,49
"book store,cruising areas,erotic shop",45
crusiy areas,45
radio program,45
"book store,erotic shop,cruising areas",44
"hotel,restaurant,bars/clubs",44
hotels/motels/guest houses etc.,44
"restaurant,bars/clubs,cruising areas",41
coffeehouse,40
guest house,40
hotels/motels/guest houses,38
"bars/clubs,bathhouses",37
bar/restuarant,36
"bars/clubs,hotels",36
"baths,hotel",36
organisation and services,35
newspaper,32
"restaurant,bars/clubs,hotel",32
"bathhouses,hotel",31
"hotel,cruising areas",31
community center/ support group,30
"hotel,bars/clubs,restaurant",30
"hotel,bathhouses",29
"bars/clubs,book store",28
"bars/clubs,theatre",28
travel agencies,27
alternative bookstores,26
"bars/clubs,restaurant,hotel",26
coffeehouses,26
"bars/clubs,restaurant,cruising areas",25
"cruising areas,erotic shop",25
"hotel,travel service",25
n.o.w.,25
resort,25
sex clubs,25
"theatre,book store",25
guest houses,24
"restaurant,hotel,bars/clubs",24
bars and bars / restaurants,23
counselling/therapy,23
hotels/motels/guesthouses,23
motels,23
showbar,23
gay/lesbian bookstore,22
hotel/motel,22
religious group,22
resorts,22
escort service,21
radio and television,21
showbars,21
"business,hotel",20
gay/lesbian group,20
motel,20
retreat,20
archives,19
"bars/clubs,hotel,restaurant",19
"bathhouses,gym",19
switchboard,19
art gallery,18
"bars/clubs,cruising areas,hotel",18
"cruising areas,bathhouses",18
for review,18
gay / lesbian bookstore,18
"hotel,baths",18
show bar,18
"cruising areas,erotic shop,book store",17
groups and organizations,17
show-bar,17
attorney's,16
"business,erotic shop",16
"cruising areas,business",16
feminist store,16
clinics / health centers / counseling,15
"erotic shop,cruising areas",15
"hotels / motels / guest houses / b and b, etc.",15
"theatre,bars/clubs",15
"bars/clubs,cruising areas,restaurant",14
"book store,theatre,cruising areas",14
dentists,14
"hotel,gym",14
medical practitioners--including alternative,14
"business,cruising areas",13
counseling,13
counseling service,13
guest houses / bed and breakfast,13
gym/health club,13
"hotel,bars/clubs,cruising areas",13
lesbian group,13
restaurant/bar,13
"cruising areas,bars/clubs,restaurant",12
gay / lesbian center,12
gay / lesbian group,12
health center/clinic/counseling,12
organization and services,12
political group,12
"restaurant,book store",12
"baths,bars/clubs",10
"book store,theatre,erotic shop",10
counseling and therapy,10
"cruising areas,bars/clubs,hotel",10
"cruising areas,gym",10
"cruising areas,restaurant,bars/clubs",10
events,10
switchboards,10
"theatre,book store,erotic shop",10
women's retreat,10
