"publication","geocode.value","count","relative.percentage","location_rank"
"Bob Damron's Address Book","2520 Merrick Rd., NY",1,0.000550230546599025,318
"Bob Damron's Address Book","AK, United States",2,0.00110046109319805,317
"Bob Damron's Address Book","AL, United States",9,0.00495207491939123,310
"Bob Damron's Address Book","AR, United States",2,0.00110046109319805,317
"Bob Damron's Address Book","AZ, United States",1,0.000550230546599025,318
"Bob Damron's Address Book","Abbeyville, LA",2,0.00110046109319805,317
"Bob Damron's Address Book","Aberdeen, SD",49,0.0269612967833522,270
"Bob Damron's Address Book","Aberdeen, WA",12,0.0066027665591883,307
"Bob Damron's Address Book","Abilene, KS",6,0.00330138327959415,313
"Bob Damron's Address Book","Abilene, TX",88,0.0484202881007142,232
"Bob Damron's Address Book","Abingdon, MD",2,0.00110046109319805,317
"Bob Damron's Address Book","Abingdon, VA",4,0.0022009221863961,315
"Bob Damron's Address Book","Acton, MA",6,0.00330138327959415,313
"Bob Damron's Address Book","Adamstown, PA",2,0.00110046109319805,317
"Bob Damron's Address Book","Addison, TX",2,0.00110046109319805,317
"Bob Damron's Address Book","Adirondack Mtns, NY",12,0.0066027665591883,307
"Bob Damron's Address Book","Adirondack Mtns., NY",7,0.00385161382619318,312
"Bob Damron's Address Book","Adirondack, NY",7,0.00385161382619318,312
"Bob Damron's Address Book","Adrian, MI",3,0.00165069163979707,316
"Bob Damron's Address Book","Afton, MN",2,0.00110046109319805,317
"Bob Damron's Address Book","Agana, GU",8,0.0044018443727922,311
"Bob Damron's Address Book","Aguada, PR",16,0.0088036887455844,303
"Bob Damron's Address Book","Aguadilla, PR",15,0.00825345819898538,304
"Bob Damron's Address Book","Aguas Buenas, PR",6,0.00330138327959415,313
"Bob Damron's Address Book","Ahwahnee, CA",6,0.00330138327959415,313
"Bob Damron's Address Book","Aiea, HI",7,0.00385161382619318,312
"Bob Damron's Address Book","Aiea, Oahu, HI",12,0.0066027665591883,307
"Bob Damron's Address Book","Aiken, SC",3,0.00165069163979707,316
"Bob Damron's Address Book","Akron, OH",446,0.245402823783165,80
"Bob Damron's Address Book","Alamagordo, NM",8,0.0044018443727922,311
"Bob Damron's Address Book","Alameda, CA",7,0.00385161382619318,312
"Bob Damron's Address Book","Alamogordo, NM",16,0.0088036887455844,303
"Bob Damron's Address Book","Alamosa, CO",7,0.00385161382619318,312
"Bob Damron's Address Book","Albany, CA",5,0.00275115273299512,314
"Bob Damron's Address Book","Albany, FL",2,0.00110046109319805,317
"Bob Damron's Address Book","Albany, GA",44,0.0242101440503571,275
"Bob Damron's Address Book","Albany, NY",519,0.285569653684894,67
"Bob Damron's Address Book","Albany, OR",4,0.0022009221863961,315
"Bob Damron's Address Book","Albion, CA",2,0.00110046109319805,317
"Bob Damron's Address Book","Albion, IL",1,0.000550230546599025,318
"Bob Damron's Address Book","Albuquerque, NM",742,0.408271065576477,47
"Bob Damron's Address Book","Albuquerquee, NM",23,0.0126553025717776,296
"Bob Damron's Address Book","Alburquerque, NM",33,0.0181576080377678,286
"Bob Damron's Address Book","Alexandra, LA",1,0.000550230546599025,318
"Bob Damron's Address Book","Alexandria, LA",90,0.0495207491939123,230
"Bob Damron's Address Book","Alexandria, VA",53,0.0291622189697483,266
"Bob Damron's Address Book","Alhambra, CA",22,0.0121050720251785,297
"Bob Damron's Address Book","Alleghanny, CA",2,0.00110046109319805,317
"Bob Damron's Address Book","Alleghany, CA",5,0.00275115273299512,314
"Bob Damron's Address Book","Allenstown, NH",2,0.00110046109319805,317
"Bob Damron's Address Book","Allenstown, PA",3,0.00165069163979707,316
"Bob Damron's Address Book","Allentown, PA",202,0.111146570413003,155
"Bob Damron's Address Book","Alligator Point, FL",2,0.00110046109319805,317
"Bob Damron's Address Book","Allston, MA",1,0.000550230546599025,318
"Bob Damron's Address Book","Aloha, OR",1,0.000550230546599025,318
"Bob Damron's Address Book","Altamonte Springs, FL",1,0.000550230546599025,318
"Bob Damron's Address Book","Alto, NM",1,0.000550230546599025,318
"Bob Damron's Address Book","Alton, IL",23,0.0126553025717776,296
"Bob Damron's Address Book","Altoona, PA",72,0.0396165993551298,247
"Bob Damron's Address Book","Amador City, CA",1,0.000550230546599025,318
"Bob Damron's Address Book","Amarillo, TX",286,0.157365936327321,115
"Bob Damron's Address Book","Amelia Island, FL",25,0.0137557636649756,294
"Bob Damron's Address Book","Ames, IA",119,0.065477435045284,204
"Bob Damron's Address Book","Amherst, MA",55,0.0302626800629464,264
"Bob Damron's Address Book","Amherst, NY",30,0.0165069163979708,289
"Bob Damron's Address Book","Amherst, OH",4,0.0022009221863961,315
"Bob Damron's Address Book","Anacortes, WA",8,0.0044018443727922,311
"Bob Damron's Address Book","Anaheim, CA",81,0.044568674274521,238
"Bob Damron's Address Book","Anahola, HI",6,0.00330138327959415,313
"Bob Damron's Address Book","Anahola, Kauai, HI",40,0.022009221863961,279
"Bob Damron's Address Book","Anchorage, AK",456,0.250905129249155,77
"Bob Damron's Address Book","Anderson, IN",22,0.0121050720251785,297
"Bob Damron's Address Book","Anderson, SC",3,0.00165069163979707,316
"Bob Damron's Address Book","Andover, MA",7,0.00385161382619318,312
"Bob Damron's Address Book","Andover, VT",9,0.00495207491939123,310
"Bob Damron's Address Book","Andrews, IN",3,0.00165069163979707,316
