"publication","geocode.value","count","relative.percentage","location_rank"
"Bob Damron's Address Book","Abbeyville, LA",1,0.00227728183640007,160
"Bob Damron's Address Book","Aberdeen, SD",21,0.0478229185644015,140
"Bob Damron's Address Book","Aberdeen, WA",8,0.0182182546912006,153
"Bob Damron's Address Book","Abilene, TX",26,0.0592093277464019,135
"Bob Damron's Address Book","Abingdon, VA",2,0.00455456367280015,159
"Bob Damron's Address Book","Adrian, MI",2,0.00455456367280015,159
"Bob Damron's Address Book","Afton, MN",1,0.00227728183640007,160
"Bob Damron's Address Book","Agana, GU",1,0.00227728183640007,160
"Bob Damron's Address Book","Aguas Buenas, PR",3,0.00683184550920022,158
"Bob Damron's Address Book","Akron, OH",124,0.282382947713609,61
"Bob Damron's Address Book","Alamagordo, NM",5,0.0113864091820004,156
"Bob Damron's Address Book","Alameda, CA",3,0.00683184550920022,158
"Bob Damron's Address Book","Albany, CA",1,0.00227728183640007,160
"Bob Damron's Address Book","Albany, GA",22,0.0501002004008016,139
"Bob Damron's Address Book","Albany, NY",125,0.284660229550009,60
"Bob Damron's Address Book","Albion, CA",1,0.00227728183640007,160
"Bob Damron's Address Book","Albuquerque, NM",170,0.387137912188012,49
"Bob Damron's Address Book","Alexandria, LA",30,0.0683184550920022,131
"Bob Damron's Address Book","Alexandria, VA",8,0.0182182546912006,153
"Bob Damron's Address Book","Alhambra, CA",10,0.0227728183640007,151
"Bob Damron's Address Book","Alleghanny, CA",1,0.00227728183640007,160
"Bob Damron's Address Book","Alleghany, CA",1,0.00227728183640007,160
"Bob Damron's Address Book","Allentown, PA",47,0.107032246310803,114
"Bob Damron's Address Book","Alton, IL",1,0.00227728183640007,160
"Bob Damron's Address Book","Altoona, PA",22,0.0501002004008016,139
"Bob Damron's Address Book","Amarillo, TX",85,0.193568956094006,80
"Bob Damron's Address Book","Amelia Island, FL",1,0.00227728183640007,160
"Bob Damron's Address Book","Ames, IA",34,0.0774275824376025,127
"Bob Damron's Address Book","Amherst, MA",11,0.0250501002004008,150
"Bob Damron's Address Book","Amherst, NY",8,0.0182182546912006,153
"Bob Damron's Address Book","Anacortes, WA",1,0.00227728183640007,160
"Bob Damron's Address Book","Anaheim, CA",13,0.0296046638732009,148
"Bob Damron's Address Book","Anahola, Kauai, HI",8,0.0182182546912006,153
"Bob Damron's Address Book","Anchorage, AK",99,0.225450901803607,74
"Bob Damron's Address Book","Anderson, IN",4,0.00910912734560029,157
"Bob Damron's Address Book","Andover, MA",3,0.00683184550920022,158
"Bob Damron's Address Book","Andrews, IN",1,0.00227728183640007,160
"Bob Damron's Address Book","Ann Arbor, MI",62,0.141191473856805,99
"Bob Damron's Address Book","Annapolis, MD",21,0.0478229185644015,140
"Bob Damron's Address Book","Anniston, AL",23,0.0523774822372017,138
"Bob Damron's Address Book","Anoka, MN",4,0.00910912734560029,157
"Bob Damron's Address Book","Antioch, IL",1,0.00227728183640007,160
"Bob Damron's Address Book","Appleton, WI",37,0.0842594279468027,124
"Bob Damron's Address Book","Arcadia, CA",2,0.00455456367280015,159
"Bob Damron's Address Book","Arcadia, LA",7,0.0159409728548005,154
"Bob Damron's Address Book","Arcata, CA",1,0.00227728183640007,160
"Bob Damron's Address Book","Arlington, MA",2,0.00455456367280015,159
"Bob Damron's Address Book","Arlington, TX",28,0.063763891419202,133
"Bob Damron's Address Book","Arlington, VA",23,0.0523774822372017,138
"Bob Damron's Address Book","Arlington, VT",2,0.00455456367280015,159
"Bob Damron's Address Book","Asbury Park, NJ",102,0.232282747312807,73
"Bob Damron's Address Book","Ascutney, VT",1,0.00227728183640007,160
"Bob Damron's Address Book","Asheville, NC",52,0.118418655492804,109
"Bob Damron's Address Book","Ashland, KY",1,0.00227728183640007,160
"Bob Damron's Address Book","Ashland, OR",15,0.0341592275460011,146
"Bob Damron's Address Book","Ashtabula, OH",1,0.00227728183640007,160
"Bob Damron's Address Book","Ashville, NC",10,0.0227728183640007,151
"Bob Damron's Address Book","Aspen, CO",21,0.0478229185644015,140
"Bob Damron's Address Book","Astoria, NY",1,0.00227728183640007,160
"Bob Damron's Address Book","Atascadero, CA",3,0.00683184550920022,158
"Bob Damron's Address Book","Athens, GA",63,0.143468755693205,98
"Bob Damron's Address Book","Athens, OH",19,0.0432683548916014,142
"Bob Damron's Address Book","Atlanta, GA",474,1.07943159045363,15
"Bob Damron's Address Book","Atlantic City, NJ",182,0.414465294224813,45
"Bob Damron's Address Book","Attleboro, MA",10,0.0227728183640007,151
"Bob Damron's Address Book","Auburn, AL",26,0.0592093277464019,135
