"publication","year","total.locations","geocode.value","count","relative.percentage","location_rank"
"Bob Damron's Address Book",1975,2861,"Agana, GU",1,0.034952813701503,39
"Bob Damron's Address Book",1975,2861,"Aguas Buenas, PR",1,0.034952813701503,39
"Bob Damron's Address Book",1975,2861,"Akron, OH",7,0.244669695910521,33
"Bob Damron's Address Book",1975,2861,"Albany, GA",1,0.034952813701503,39
"Bob Damron's Address Book",1975,2861,"Albany, NY",10,0.34952813701503,30
"Bob Damron's Address Book",1975,2861,"Albuquerque, NM",9,0.314575323313527,31
"Bob Damron's Address Book",1975,2861,"Alexandria, LA",2,0.0699056274030059,38
"Bob Damron's Address Book",1975,2861,"Allentown, PA",2,0.0699056274030059,38
"Bob Damron's Address Book",1975,2861,"Altoona, PA",1,0.034952813701503,39
"Bob Damron's Address Book",1975,2861,"Amarillo, TX",4,0.139811254806012,36
"Bob Damron's Address Book",1975,2861,"Amherst, MA",1,0.034952813701503,39
"Bob Damron's Address Book",1975,2861,"Amherst, NY",2,0.0699056274030059,38
"Bob Damron's Address Book",1975,2861,"Anchorage, AK",8,0.279622509612024,32
"Bob Damron's Address Book",1975,2861,"Ann Arbor, MI",2,0.0699056274030059,38
"Bob Damron's Address Book",1975,2861,"Annapolis, MD",4,0.139811254806012,36
"Bob Damron's Address Book",1975,2861,"Appleton, WI",1,0.034952813701503,39
"Bob Damron's Address Book",1975,2861,"Arlington, VA",1,0.034952813701503,39
"Bob Damron's Address Book",1975,2861,"Asbury Park, NJ",11,0.384480950716533,29
"Bob Damron's Address Book",1975,2861,"Asheville, NC",1,0.034952813701503,39
"Bob Damron's Address Book",1975,2861,"Aspen, CO",3,0.104858441104509,37
"Bob Damron's Address Book",1975,2861,"Athens, GA",8,0.279622509612024,32
"Bob Damron's Address Book",1975,2861,"Atlanta, GA",33,1.1534428521496,14
"Bob Damron's Address Book",1975,2861,"Atlantic City, NJ",24,0.838867528836071,18
"Bob Damron's Address Book",1975,2861,"Auburn, AL",2,0.0699056274030059,38
"Bob Damron's Address Book",1975,2861,"Augusta, GA",1,0.034952813701503,39
"Bob Damron's Address Book",1975,2861,"Austin, TX",8,0.279622509612024,32
"Bob Damron's Address Book",1975,2861,"Babylon, NY",1,0.034952813701503,39
"Bob Damron's Address Book",1975,2861,"Bakersfield, CA",3,0.104858441104509,37
"Bob Damron's Address Book",1975,2861,"Balboa, CA",1,0.034952813701503,39
"Bob Damron's Address Book",1975,2861,"Baltimore, MD",31,1.08353722474659,15
"Bob Damron's Address Book",1975,2861,"Baton Rouge, LA",7,0.244669695910521,33
"Bob Damron's Address Book",1975,2861,"Battle Creek, MI",1,0.034952813701503,39
"Bob Damron's Address Book",1975,2861,"Bay City, MI",1,0.034952813701503,39
"Bob Damron's Address Book",1975,2861,"Bayshore, NY",1,0.034952813701503,39
"Bob Damron's Address Book",1975,2861,"Beaumont, TX",2,0.0699056274030059,38
"Bob Damron's Address Book",1975,2861,"Bellingham, WA",2,0.0699056274030059,38
"Bob Damron's Address Book",1975,2861,"Bellmore, NY",2,0.0699056274030059,38
"Bob Damron's Address Book",1975,2861,"Berkeley, CA",5,0.174764068507515,35
"Bob Damron's Address Book",1975,2861,"Berwyn, IL",1,0.034952813701503,39
"Bob Damron's Address Book",1975,2861,"Bethany Beach, DE",2,0.0699056274030059,38
"Bob Damron's Address Book",1975,2861,"Big Rapids, MI",1,0.034952813701503,39
"Bob Damron's Address Book",1975,2861,"Billings, MT",2,0.0699056274030059,38
