misspelled,correction,all_suggestions,confidence,notes
accomodation,accommodation,accommodation; accommodating; accommodate,High,
accomodations,accommodations,accommodations; accommodation; accommodating,High,
aikido,aikido,kiddo,Medium,
assocation,association,association; dissociation; mastication,High,
bars[3x],bars,barbarous,Medium,
bookcenter,book center,book center; book-center; tenterhook,High,
centre,center,center; cent re; cent-re,High,
clientel,clientele,clientele; client; lintel,High,
coffeebar,coffee bar,coffee bar; coffee-bar; coffeemaker,High,
coffeeshop,coffee shop,coffee shop; coffee-shop; coffees hop,High,
coffehouse,coffee house,coffeehouse; courthouse,Medium,
counselling,counseling,counseling; counsel ling; counsel-ling,High,
crusiy,cruisy,crusty; crustily,Medium,
dsico,disco,disco,Medium,
grou,grout,grout; group; grog,High,
hotline,hotline,hotlink; hot line; hot-line,High,
hotlines,hotlines,hotlinks; hot lines; hot-lines,High,
jewellery,jewelery,jeweler; jewelry,Medium,
organisation,organization,organization; organist; sanitation,High,
organzation,organization,organization; amortization,Medium,
parlour,parlor,parkour; parlor; parlous,High,
periodoical,periodical,periodical; periodontal; pericardial,High,
politcal,political,political,Medium,
realtors,realtors,reactors; real tors; real-tors,High,
restuarant,restaurant,restaurant; restraint,Medium,
ret,retreat,rte; re; rt,High,
showbar,show bar,show bar; show-bar; showboat,High,
showbars,show bars,show bars; show-bars; showboats,High,
supperclub,supper club,supper club; supper-club; supercilious,High,
