misspelled,correction,all_suggestions,confidence,notes
aa,AA,AA; as; a,High,
accomodation,accommodation,accommodation; accommodating; accommodate,High,
accomodations,accommodations,accommodations; accommodation; accommodating,High,
aikido,kiddo,kiddo,Medium,
assocation,association,association; dissociation; mastication,High,
bars[3x],barbarous,barbarous,Medium,
bookcenter,book center,book center; book-center; tenterhook,High,
centre,center,center; cent re; cent-re,High,
clientel,clientele,clientele; client; lintel,High,
coffeebar,coffee bar,coffee bar; coffee-bar; coffeemaker,High,
coffeeshop,coffee shop,coffee shop; coffee-shop; coffees hop,High,
coffehouse,coffeehouse,coffeehouse; courthouse,Medium,
counselling,counseling,counseling; counsel ling; counsel-ling,High,
cruisy,cruise,cruise,Medium,
crusiy,crusty,crusty; crustily,Medium,
daytona,daylong,daylong,Medium,
dsico,disco,disco,Medium,
grou,grout,grout; group; grog,High,
hairstyling,hair styling,hair styling; hair-styling; hairstylist,High,
headshop,headship,headship; head shop; head-shop,High,
hotline,hotlink,hotlink; hot line; hot-line,High,
hotlines,hotlinks,hotlinks; hot lines; hot-lines,High,
jewellery,jeweler,jeweler; jewelry,Medium,
organisation,organization,organization; organist; sanitation,High,
organzation,organization,organization; amortization,Medium,
parlour,parkour,parkour; parlor; parlous,High,
penpal,penal,penal; pen pal; pen-pal,High,
periodoical,periodical,periodical; periodontal; pericardial,High,
politcal,political,political,Medium,
realtors,reactors,reactors; real tors; real-tors,High,
restuarant,restaurant,restaurant; restraint,Medium,
ret,rte,rte; re; rt,High,
showbar,show bar,show bar; show-bar; showboat,High,
showbars,show bars,show bars; show-bars; showboats,High,
supperclub,supper club,supper club; supper-club; supercilious,High,
theatre,theater,theater; thereat; heather,High,
tv,TV,TV; tb; t,High,
womyn's,women's,women's; woman's; womb's,High,
