type,category
drug/alcohol services,"Organizations, Groups, and Community Centers"
educational institution,Other or Unclear
emergency services,Information and Emergency Services
"erotic shop,book store,theatre",Adult Entertainment
"erotic shop,theatre,cruising areas",Adult Entertainment
feminist bookstore / cafe,Restaurants and Cafes
feminist newspaper,Publications
feminist restaurant/bookstore,Restaurants and Cafes
feminist shop and bookstore,Bookstores and Retail
feminist social club and restaurant,Restaurants and Cafes
