type,category
accountant,Professional Services
accounting and income tax services,Professional Services
acupuncture,"Organizations, Groups, and Community Centers"
alcohol and drug abuse centers,"Organizations, Groups, and Community Centers"
alcoholism center,"Organizations, Groups, and Community Centers"
"alcoholism, chemical dependency, drug abuse counseling","Organizations, Groups, and Community Centers"
alternative bookshop,Bookstores and Retail
"bar and cafes, etc.",Bars and Nightlife
bar/swimming pool,Bars and Nightlife
"bars/clubs,cruising areas,book store",Bars and Nightlife
