type,category
bars/clubs,Bars and Nightlife
cruising areas,Cruising Areas
bars,Bars and Nightlife
accommodations,Accommodations
info lines and services,Information and Emergency Services
restaurant,Restaurants and Cafes
erotica,Adult Entertainment
restaurants,Restaurants and Cafes
cruisy areas,Cruising Areas
restaurants and cafes,Restaurants and Cafes
book store,Bookstores and Retail
hotel,Accommodations
nightclubs,Bars and Nightlife
publications,Publications
bookstores/retail shops,Bookstores and Retail
bars and nightclubs,Bars and Nightlife
bookstores,Bookstores and Retail
religious institution,Religious and Spiritual
baths,Bathhouses and Men's Services
travel/tour operators,Professional Services
cafes,Restaurants and Cafes
"bars/clubs,cruising areas",Bars and Nightlife
retail shops,Bookstores and Retail
men's services,Bathhouses and Men's Services
religious organizations,Religious and Spiritual
bathhouses,Bathhouses and Men's Services
business,Professional Services
"restaurant,bars/clubs",Restaurants and Cafes
entertainment and recreation,Other or Unclear
"bars/clubs,hotel",Bars and Nightlife
men's clubs,Bathhouses and Men's Services
"bars/clubs,restaurant",Restaurants and Cafes
spiritual groups,Religious and Spiritual
theatre,Arts and Culture
publication,Publications
bar,Bars and Nightlife
organization,"Organizations, Groups, and Community Centers"
"book store,erotic shop",Adult Entertainment
travel agents,Professional Services
religious groups,Religious and Spiritual
accomodations,Accommodations
gyms and health clubs,Fitness and Recreation
bookstores and retail shops,Bookstores and Retail
erotic shop,Adult Entertainment
"hotel,bars/clubs",Bars and Nightlife
"cruising areas,bars/clubs",Bars and Nightlife
"book store,cruising areas",Bookstores and Retail
religious organization,Religious and Spiritual
hotline,Information and Emergency Services
church,Religious and Spiritual
erotica/adult groups,"Organizations, Groups, and Community Centers"
organizations,"Organizations, Groups, and Community Centers"
feminist bookstore,Bookstores and Retail
gyms/health clubs,Fitness and Recreation
services,Other or Unclear
"cruising areas,book store",Bookstores and Retail
,Other or Unclear
bookstore/retail shops,Bookstores and Retail
centers,"Organizations, Groups, and Community Centers"
group,"Organizations, Groups, and Community Centers"
book stores or retail shops,Bookstores and Retail
"cruising areas,theatre",Arts and Culture
gym,Fitness and Recreation
community center/support group,"Organizations, Groups, and Community Centers"
bar/restaurant,Restaurants and Cafes
travel service,Professional Services
"cruising areas,hotel",Accommodations
hotlines,Information and Emergency Services
book stores/retail shops,Bookstores and Retail
travel agency,Professional Services
"restaurant,hotel",Restaurants and Cafes
groups,"Organizations, Groups, and Community Centers"
"hotel,restaurant",Restaurants and Cafes
bookstore,Bookstores and Retail
special interest groups,"Organizations, Groups, and Community Centers"
"bars,cruising areas",Bars and Nightlife
"restaurant,cruising areas",Restaurants and Cafes
travel agency or tour operators,Professional Services
travel and tour operators,Professional Services
information services,Information and Emergency Services
"cruising areas,restaurant",Restaurants and Cafes
organization and service,"Organizations, Groups, and Community Centers"
"erotic shop,book store",Adult Entertainment
hotels,Accommodations
service,Other or Unclear
women's centers,"Organizations, Groups, and Community Centers"
gym/health clubs,Fitness and Recreation
"book store,theatre",Arts and Culture
bar / restaurants,Restaurants and Cafes
"bars,cruisy areas",Bars and Nightlife
center,"Organizations, Groups, and Community Centers"
health clinic,"Organizations, Groups, and Community Centers"
escort and model services,Bathhouses and Men's Services
health center,"Organizations, Groups, and Community Centers"
erotica/adult books,Adult Entertainment
"cruising areas,organizations","Organizations, Groups, and Community Centers"
attorneys,Professional Services
"theatre,cruising areas",Arts and Culture
bars/restaurants,Restaurants and Cafes
alternative bookstore,Bookstores and Retail
hotels/motels/guest houses/etc,Accommodations
women's center,"Organizations, Groups, and Community Centers"
"business,book store",Bookstores and Retail
"cruising areas,book store,erotic shop",Adult Entertainment
"book store,business",Bookstores and Retail
show-bars,Bars and Nightlife
"book store,cruising areas,erotic shop",Adult Entertainment
crusiy areas,Cruising Areas
radio program,Arts and Culture
"book store,erotic shop,cruising areas",Adult Entertainment
"hotel,restaurant,bars/clubs",Restaurants and Cafes
hotels/motels/guest houses etc.,Accommodations
"restaurant,bars/clubs,cruising areas",Restaurants and Cafes
coffeehouse,Restaurants and Cafes
guest house,Accommodations
hotels/motels/guest houses,Accommodations
"bars/clubs,bathhouses",Bars and Nightlife
bar/restuarant,Restaurants and Cafes
"bars/clubs,hotels",Bars and Nightlife
"baths,hotel",Bathhouses and Men's Services
organisation and services,"Organizations, Groups, and Community Centers"
newspaper,Publications
"restaurant,bars/clubs,hotel",Restaurants and Cafes
"bathhouses,hotel",Bathhouses and Men's Services
"hotel,cruising areas",Accommodations
community center/ support group,"Organizations, Groups, and Community Centers"
"hotel,bars/clubs,restaurant",Restaurants and Cafes
"hotel,bathhouses",Bathhouses and Men's Services
"bars/clubs,book store",Bars and Nightlife
"bars/clubs,theatre",Bars and Nightlife
travel agencies,Professional Services
alternative bookstores,Bookstores and Retail
"bars/clubs,restaurant,hotel",Restaurants and Cafes
coffeehouses,Restaurants and Cafes
"bars/clubs,restaurant,cruising areas",Restaurants and Cafes
"cruising areas,erotic shop",Adult Entertainment
"hotel,travel service",Accommodations
n.o.w.,"Organizations, Groups, and Community Centers"
resort,Accommodations
sex clubs,Bathhouses and Men's Services
"theatre,book store",Arts and Culture
guest houses,Accommodations
"restaurant,hotel,bars/clubs",Restaurants and Cafes
bars and bars / restaurants,Restaurants and Cafes
counselling/therapy,"Organizations, Groups, and Community Centers"
hotels/motels/guesthouses,Accommodations
motels,Accommodations
showbar,Bars and Nightlife
gay/lesbian bookstore,Bookstores and Retail
hotel/motel,Accommodations
religious group,Religious and Spiritual
resorts,Accommodations
escort service,Bathhouses and Men's Services
radio and television,Arts and Culture
showbars,Bars and Nightlife
"business,hotel",Accommodations
gay/lesbian group,"Organizations, Groups, and Community Centers"
motel,Accommodations
retreat,Religious and Spiritual
archives,Arts and Culture
"bars/clubs,hotel,restaurant",Restaurants and Cafes
"bathhouses,gym",Bathhouses and Men's Services
switchboard,Information and Emergency Services
art gallery,Arts and Culture
"bars/clubs,cruising areas,hotel",Bars and Nightlife
"cruising areas,bathhouses",Bathhouses and Men's Services
for review,Other or Unclear
gay / lesbian bookstore,Bookstores and Retail
"hotel,baths",Bathhouses and Men's Services
show bar,Bars and Nightlife
"cruising areas,erotic shop,book store",Adult Entertainment
groups and organizations,"Organizations, Groups, and Community Centers"
show-bar,Bars and Nightlife
attorney's,Professional Services
"business,erotic shop",Adult Entertainment
"cruising areas,business",Professional Services
feminist store,Bookstores and Retail
clinics / health centers / counseling,"Organizations, Groups, and Community Centers"
"erotic shop,cruising areas",Adult Entertainment
"hotels / motels / guest houses / b and b, etc.",Accommodations
"theatre,bars/clubs",Bars and Nightlife
"bars/clubs,cruising areas,restaurant",Restaurants and Cafes
"book store,theatre,cruising areas",Arts and Culture
dentists,"Organizations, Groups, and Community Centers"
"hotel,gym",Accommodations
medical practitioners--including alternative,"Organizations, Groups, and Community Centers"
"business,cruising areas",Professional Services
counseling,"Organizations, Groups, and Community Centers"
counseling service,"Organizations, Groups, and Community Centers"
guest houses / bed and breakfast,Accommodations
gym/health club,Fitness and Recreation
"hotel,bars/clubs,cruising areas",Bars and Nightlife
lesbian group,"Organizations, Groups, and Community Centers"
restaurant/bar,Restaurants and Cafes
"cruising areas,bars/clubs,restaurant",Restaurants and Cafes
gay / lesbian center,"Organizations, Groups, and Community Centers"
gay / lesbian group,"Organizations, Groups, and Community Centers"
health center/clinic/counseling,"Organizations, Groups, and Community Centers"
organization and services,"Organizations, Groups, and Community Centers"
political group,"Organizations, Groups, and Community Centers"
"restaurant,book store",Restaurants and Cafes
"baths,bars/clubs",Bars and Nightlife
"book store,theatre,erotic shop",
counseling and therapy,"Organizations, Groups, and Community Centers"
"cruising areas,bars/clubs,hotel",Bars and Nightlife
"cruising areas,gym",Fitness and Recreation
"cruising areas,restaurant,bars/clubs",Restaurants and Cafes
events,Other or Unclear
switchboards,Information and Emergency Services
"theatre,book store,erotic shop",
women's retreat,"Organizations, Groups, and Community Centers"
counselling / health / clinics / medical treatment,"Organizations, Groups, and Community Centers"
gay hotline,Information and Emergency Services
gay/lesbian center,"Organizations, Groups, and Community Centers"
health center/clinic/counselling,"Organizations, Groups, and Community Centers"
herbalist,"Organizations, Groups, and Community Centers"
organizations. etc.,"Organizations, Groups, and Community Centers"
sexual boutique,Adult Entertainment
taxi cabs,Professional Services
victim / emergency services,Information and Emergency Services
accommodation,Accommodations
alternative / feminist bookstores,Bookstores and Retail
"bars/clubs,baths",Bars and Nightlife
"bars/clubs,hotel,cruising areas",Bars and Nightlife
"baths,business",Bathhouses and Men's Services
"business,restaurant",Restaurants and Cafes
counseling / health / clinics / medical treatment,"Organizations, Groups, and Community Centers"
"cruising areas,hotel,bars/clubs",Bars and Nightlife
discussion group,"Organizations, Groups, and Community Centers"
gay center,"Organizations, Groups, and Community Centers"
general bookstore,Bookstores and Retail
lesbian mothers,"Organizations, Groups, and Community Centers"
now,Other or Unclear
organizations and services,"Organizations, Groups, and Community Centers"
other bars--mostly gay men and mixed clientel,Bars and Nightlife
"publication,book store",Publications
roommate service,Professional Services
women's gym,Fitness and Recreation
"bars/clubs,business",Bars and Nightlife
"bars/clubs,restaurant,book store",Restaurants and Cafes
"bars/clubs,restaurant,hotel,hotel",Restaurants and Cafes
beach,Cruising Areas
"book store,restaurant",Restaurants and Cafes
country club,Fitness and Recreation
"erotic shop,business",Adult Entertainment
escorts and model services,Bathhouses and Men's Services
groups/organizations,"Organizations, Groups, and Community Centers"
health centers / clinics / counseling / practitioners,"Organizations, Groups, and Community Centers"
health centers/clinics/counselling,"Organizations, Groups, and Community Centers"
"hotel,bars/clubs,restaurant,cruising areas",Restaurants and Cafes
hotel/bar,Bars and Nightlife
jewelry/crafts,Bookstores and Retail
lesbian center,"Organizations, Groups, and Community Centers"
library,Arts and Culture
martial arts,Fitness and Recreation
outdoor group,Fitness and Recreation
radio programs,Arts and Culture
"religious institution,community center/support group","Organizations, Groups, and Community Centers"
"restaurant,business",Restaurants and Cafes
show bars,Bars and Nightlife
store,Bookstores and Retail
"theatre,restaurant",Restaurants and Cafes
"travel agency,hotel",Accommodations
archives / libraries,Arts and Culture
"bars/clubs,theatre,cruising areas",Bars and Nightlife
bed and breakfast,Accommodations
bookshop,Bookstores and Retail
"business,organization",Other or Unclear
clinic,"Organizations, Groups, and Community Centers"
"counseling centers / health centers, etc.","Organizations, Groups, and Community Centers"
"erotic shop,book store,cruising areas",Adult Entertainment
gay/alternative bookstore,Bookstores and Retail
"hotel,organizations",Other or Unclear
"hotline,community center/support group","Organizations, Groups, and Community Centers"
jewelry,Bookstores and Retail
land trust,"Organizations, Groups, and Community Centers"
occult shop,Bookstores and Retail
printing/graphics,Professional Services
"restaurant,theatre",Restaurants and Cafes
room mate service,Professional Services
social club,"Organizations, Groups, and Community Centers"
spa,Bathhouses and Men's Services
switchboards / hotlines / crises lines,Information and Emergency Services
theater/art,Arts and Culture
travel,Professional Services
travel agencies and clubs,Professional Services
"travel service,hotel",Accommodations
women's building,"Organizations, Groups, and Community Centers"
alternative and general bookstores,Bookstores and Retail
apartments/cottages,Accommodations
"archives/libraries,etc.",Arts and Culture
attorney,Professional Services
"bars/clubs,hotels,restaurant",Restaurants and Cafes
"bathhouses,erotic shop",
"baths,restaurant",Restaurants and Cafes
"book store,hotel,erotic shop",Other or Unclear
centers / switchboards,
coffee house/art gallery,Restaurants and Cafes
"cruising areas,baths",Bathhouses and Men's Services
"cruising areas,hotel,gym",
dentist,Professional Services
disco,Bars and Nightlife
"erotica,cruisy areas",Adult Entertainment
garage,Professional Services
gay complex,Other or Unclear
gay group,"Organizations, Groups, and Community Centers"
general and alternative bookstore,Bookstores and Retail
gift store,Bookstores and Retail
groups / organizations,"Organizations, Groups, and Community Centers"
health centers and counseling,"Organizations, Groups, and Community Centers"
"hotel,book store",Accommodations
"hotels,bars/clubs",Bars and Nightlife
"hotline,religious institution",Information and Emergency Services
information and emergency services,Information and Emergency Services
information and victim-emergency services,Information and Emergency Services
inn,Accommodations
lesbian social group,"Organizations, Groups, and Community Centers"
lodge,Accommodations
magazine,Publications
mail order,Bookstores and Retail
motel/bars,Bars and Nightlife
printing,Professional Services
production company,Arts and Culture
radio and television programs,Arts and Culture
resorts/hotels/guest houses,Accommodations
self defense,Fitness and Recreation
sexuality boutique,Adult Entertainment
theater/arts center,Arts and Culture
unlisted,Other or Unclear
womyn's hostels / guest houses / retreats,Accommodations
a.a.,"Organizations, Groups, and Community Centers"
"accommodations,cruisy areas",Accommodations
auto repair,Professional Services
"bars/clubs,erotic shop",Bars and Nightlife
"bars/clubs,restaurants and cafes",Restaurants and Cafes
"bathhouses,bars/clubs",Bars and Nightlife
"bathhouses,cruising areas",Bathhouses and Men's Services
"book store,bars/clubs",Bars and Nightlife
"book store,bars/clubs,theatre",Bars and Nightlife
"community center/support group,hotline","Organizations, Groups, and Community Centers"
"counseling centers/health centers, etc","Organizations, Groups, and Community Centers"
counseling/therapy,"Organizations, Groups, and Community Centers"
