type,category
bars/clubs,Bars and Nightlife
cruising areas,Cruising Areas
bars,Bars and Nightlife
accommodations,Accommodations
info lines and services,Information and Emergency Services
restaurant,Restaurants and Cafes
erotica,Adult Entertainment
restaurants,Restaurants and Cafes
cruisy areas,Cruising Areas
restaurants and cafes,Restaurants and Cafes
book store,Bookstores and Retail
hotel,Accommodations
nightclubs,Bars and Nightlife
publications,Publications
bookstores/retail shops,Bookstores and Retail
bars and nightclubs,Bars and Nightlife
bookstores,Bookstores and Retail
religious institution,Religious and Spiritual
baths,Bathhouses and Men's Services
travel/tour operators,Professional Services
cafes,Restaurants and Cafes
"bars/clubs,cruising areas",Bars and Nightlife
retail shops,Bookstores and Retail
men's services,Bathhouses and Men's Services
religious organizations,Religious and Spiritual
bathhouses,Bathhouses and Men's Services
business,Other or Unclear
"restaurant,bars/clubs",Restaurants and Cafes
entertainment and recreation,
"bars/clubs,hotel",Bars and Nightlife
men's clubs,Bathhouses and Men's Services
"bars/clubs,restaurant",Bars and Nightlife
spiritual groups,Religious and Spiritual
theatre,Arts and Culture
publication,Publications
bar,Bars and Nightlife
organization,"Organizations, Groups, and Community Centers"
"book store,erotic shop",Bookstores and Retail
travel agents,Professional Services
religious groups,Religious and Spiritual
accomodations,Accommodations
gyms and health clubs,Fitness and Recreation
bookstores and retail shops,Bookstores and Retail
erotic shop,Adult Entertainment
"hotel,bars/clubs",Accommodations
"cruising areas,bars/clubs",Cruising Areas
"book store,cruising areas",Bookstores and Retail
religious organization,Religious and Spiritual
hotline,Information and Emergency Services
church,Religious and Spiritual
erotica/adult groups,Adult Entertainment
organizations,"Organizations, Groups, and Community Centers"
feminist bookstore,Bookstores and Retail
gyms/health clubs,Fitness and Recreation
services,Other or Unclear
"cruising areas,book store",Cruising Areas
,Other or Unclear
bookstore/retail shops,Bookstores and Retail
centers,"Organizations, Groups, and Community Centers"
group,"Organizations, Groups, and Community Centers"
book stores or retail shops,Bookstores and Retail
"cruising areas,theatre",Cruising Areas
gym,Fitness and Recreation
community center/support group,"Organizations, Groups, and Community Centers"
bar/restaurant,Bars and Nightlife
travel service,Professional Services
"cruising areas,hotel",Cruising Areas
hotlines,Information and Emergency Services
book stores/retail shops,Bookstores and Retail
travel agency,Professional Services
"restaurant,hotel",Restaurants and Cafes
groups,"Organizations, Groups, and Community Centers"
"hotel,restaurant",Accommodations
bookstore,Bookstores and Retail
special interest groups,"Organizations, Groups, and Community Centers"
"bars,cruising areas",Bars and Nightlife
"restaurant,cruising areas",Restaurants and Cafes
travel agency or tour operators,Professional Services
travel and tour operators,Professional Services
information services,Information and Emergency Services
"cruising areas,restaurant",Cruising Areas
organization and service,"Organizations, Groups, and Community Centers"
"erotic shop,book store",Adult Entertainment
hotels,Accommodations
service,Other or Unclear
women's centers,Women's Spaces
gym/health clubs,Fitness and Recreation
"book store,theatre",Bookstores and Retail
bar / restaurants,Bars and Nightlife
"bars,cruisy areas",Bars and Nightlife
center,"Organizations, Groups, and Community Centers"
health clinic,Health and Counseling Services
escort and model services,Bathhouses and Men's Services
health center,Health and Counseling Services
erotica/adult books,Adult Entertainment
"cruising areas,organizations",Cruising Areas
attorneys,Professional Services
"theatre,cruising areas",Arts and Culture
bars/restaurants,Bars and Nightlife
alternative bookstore,Bookstores and Retail
