"city","state"
"",""
"","AK"
"","AL"
"","AR"
"","AZ"
"","CA"
"","CO"
"","CT"
"","DE"
"","FL"
"","GA"
"","HI"
"","IA"
"","ID"
"","IL"
"","IN"
"","KS"
"","KY"
"","LA"
"","MA"
"","MD"
"","ME"
"","MI"
"","MN"
"","MS"
"","MT"
"","NC"
"","NE"
"","NH"
"","NJ"
"","NM"
"","NY"
"","OH"
"","OK"
"","OR"
"","PA"
"","PR"
"","RI"
"","SC"
"","SD"
"","TN"
"","TX"
"","VA"
"","VT"
"","WI"
"","WV"
"","WY"
"2520 Merrick Rd.","NY"
"Abbeyville","LA"
"Aberdeen","SD"
"Aberdeen","WA"
"Abilene","KS"
"Abilene","TX"
"Abingdon","MD"
"Abingdon","VA"
"Acton","MA"
"Ada","OK"
"Adamstown","PA"
"Addison","TX"
"Adirondack","NY"
"Adirondack Mtns","NY"
"Adirondack Mtns.","NY"
"Adrian","MI"
"Afton","MN"
"Agana","GU"
"Aguada","PR"
"Aguadilla","PR"
"Aguas Buenas","PR"
"Ahwahnee","CA"
"Aiea","HI"
"Aiea, Oahu","HI"
"Aiken","RI"
"Aiken","SC"
"Akron","OH"
"Alamagordo","NM"
"Alameda","CA"
"Alamogordo","NM"
"Alamosa","CO"
"Albany","CA"
"Albany","FL"
"Albany","GA"
"Albany","NY"
"Albany","OR"
"Albion","CA"
"Albion","IL"
"Albuquerque","NM"
"Albuquerquee","NM"
"Alburquerque","NM"
"Alexandra","LA"
"Alexandria","LA"
"Alexandria","VA"
"Alhambra","CA"
"Alleghanny","CA"
"Alleghany","CA"
"Allenstown","NH"
"Allenstown","PA"
"Allentown","PA"
"Alligator Point","FL"
"Allston","MA"
"Aloha","OR"
"Altadena","CA"
"Altamonte Springs","FL"
"Alto","NM"
"Alton","IL"
"Altoona","PA"
"Amador City","CA"
"Amagansett","NY"
"Amarillo","TX"
"Amelia Island","FL"
"Ames","IA"
"Amherst","MA"
"Amherst","NY"
"Amherst","OH"
"Anacortes","WA"
"Anaheim","CA"
"Anahola","HI"
"Anahola, Kauai","HI"
"Anchorage","AK"
"Anderson","IN"
"Anderson","SC"
"Andes","NY"
"Andover","MA"
"Andover","VT"
"Andrews","IN"
"Angeles Nat'l Forest","CA"
"Angeles National Forest","CA"
"Angelica","NY"
"Angels Camp","CA"
"Angleton","TX"
"Ann Arbor","MI"
"Annadale","VA"
"Annandale-On-Hudson","NY"
"Annandale-on-Hudson","NY"
"Annapolis","MD"
"Anniston","AL"
"Anoka","MN"
"Anoke","MN"
"Ansley Square","GA"
"Antioch","IL"
"Apache Junction","AZ"
"Apollo","PA"
"Apple Valley","CA"
"Appleton","WI"
"Appletown","WI"
"Aptos","CA"
"Arcadia","CA"
"Arcadia","LA"
"Arcata","CA"
"Arden","NC"
"Ardmore","PA"
"Arlington","MA"
"Arlington","TX"
"Arlington","VA"
"Arlington","VT"
"Arlington Heights","MA"
"Armarillo","TX"
"Armherst","NY"
"Arnold","CA"
"Arundel","ME"
"Asan","GU"
"Asbury Park","NJ"
"Asbury Park/Ocean Grove","NJ"
"Ascutney","VT"
"Ascutney Valley","VT"
"Ashbury Park","NJ"
"Ashbury Park/Ocean Grove","NJ"
"Ashby","MA"
"Asheville","MS"
"Asheville","NC"
"Ashfield","MA"
"Ashford-Medford-Grants Pass","OR"
"Ashland","KY"
"Ashland","OR"
"Ashland","VA"
"Ashland","WI"
"Ashland City","TN"
"Ashland Village","NH"
"Ashtabula","OH"
"Ashton","ID"
"Ashville","NC"
"Aspen","CO"
"Astoria","NY"
"Astoria","OR"
"Atascadero","CA"
"Athens","FL"
"Athens","GA"
"Athens","OH"
"Athens","TX"
"Athens","VT"
"Athol","MA"
"Athol","NY"
"Atkinson","IL"
"Atlanta","FL"
"Atlanta","GA"
