"city","new.city","state"
"","",""
"","","AK"
"","","AL"
"","","AR"
"","","AZ"
"","","CA"
"","","CO"
"","","CT"
"","","DE"
"","","FL"
"","","GA"
"","","HI"
"","","IA"
"","","ID"
"","","IL"
"","","IN"
"","","KS"
"","","KY"
"","","LA"
"","","MA"
"","","MD"
"","","ME"
"","","MI"
"","","MN"
"","","MS"
"","","MT"
"","","NC"
"","","NE"
"","","NH"
"","","NJ"
"","","NM"
"","","NY"
"","","OH"
"","","OK"
"","","OR"
"","","PA"
"","","PR"
"","","RI"
"","","SC"
"","","SD"
"","","TN"
"","","TX"
"","","VA"
"","","VT"
"","","WI"
"","","WV"
"","","WY"
"2520 Merrick Rd.","2520 Merrick Rd.","NY"
"Abbeyville","Abbeyville","LA"
"Aberdeen","Aberdeen","SD"
"Aberdeen","Aberdeen","WA"
"Abilene","Abilene","KS"
"Abilene","Abilene","TX"
"Abingdon","Abingdon","MD"
"Abingdon","Abingdon","VA"
"Acton","Acton","MA"
"Ada","Ada","OK"
"Adamstown","Adamstown","PA"
"Addison","Addison","TX"
"Adirondack","Adirondack","NY"
"Adirondack Mtns","Adirondack Mtns","NY"
"Adirondack Mtns.","Adirondack Mtns.","NY"
"Adrian","Adrian","MI"
"Afton","Afton","MN"
"Agana","Agana","GU"
"Aguada","Aguada","PR"
"Aguadilla","Aguadilla","PR"
"Aguas Buenas","Aguas Buenas","PR"
"Ahwahnee","Ahwahnee","CA"
"Aiea","Aiea","HI"
"Aiea, Oahu","Aiea, Oahu","HI"
"Aiken","Aiken","RI"
"Aiken","Aiken","SC"
"Akron","Akron","OH"
"Alamagordo","Alamagordo","NM"
"Alameda","Alameda","CA"
"Alamogordo","Alamogordo","NM"
"Alamosa","Alamosa","CO"
"Albany","Albany","CA"
"Albany","Albany","FL"
"Albany","Albany","GA"
"Albany","Albany","NY"
"Albany","Albany","OR"
"Albion","Albion","CA"
"Albion","Albion","IL"
"Albuquerque","Albuquerque","NM"
"Albuquerquee","Albuquerquee","NM"
"Alburquerque","Alburquerque","NM"
"Alexandra","Alexandra","LA"
"Alexandria","Alexandria","LA"
"Alexandria","Alexandria","VA"
"Alhambra","Alhambra","CA"
"Alleghanny","Alleghanny","CA"
"Alleghany","Alleghany","CA"
"Allenstown","Allenstown","NH"
"Allenstown","Allenstown","PA"
"Allentown","Allentown","PA"
"Alligator Point","Alligator Point","FL"
"Allston","Allston","MA"
"Aloha","Aloha","OR"
"Altadena","Altadena","CA"
"Altamonte Springs","Altamonte Springs","FL"
"Alto","Alto","NM"
"Alton","Alton","IL"
"Altoona","Altoona","PA"
"Amador City","Amador City","CA"
"Amagansett","Amagansett","NY"
"Amarillo","Amarillo","TX"
"Amelia Island","Amelia Island","FL"
"Ames","Ames","IA"
"Amherst","Amherst","MA"
"Amherst","Amherst","NY"
"Amherst","Amherst","OH"
"Anacortes","Anacortes","WA"
"Anaheim","Anaheim","CA"
"Anahola","Anahola","HI"
"Anahola, Kauai","Anahola, Kauai","HI"
"Anchorage","Anchorage","AK"
"Anderson","Anderson","IN"
"Anderson","Anderson","SC"
"Andes","Andes","NY"
"Andover","Andover","MA"
"Andover","Andover","VT"
"Andrews","Andrews","IN"
"Angeles Nat'l Forest","Angeles Nat'l Forest","CA"
"Angeles National Forest","Angeles National Forest","CA"
"Angelica","Angelica","NY"
"Angels Camp","Angels Camp","CA"
"Angleton","Angleton","TX"
"Ann Arbor","Ann Arbor","MI"
"Annadale","Annadale","VA"
"Annandale-On-Hudson","Annandale-On-Hudson","NY"
"Annandale-on-Hudson","Annandale-on-Hudson","NY"
"Annapolis","Annapolis","MD"
"Anniston","Anniston","AL"
"Anoka","Anoka","MN"
"Anoke","Anoke","MN"
"Ansley Square","Ansley Square","GA"
"Antioch","Antioch","IL"
