"type","count"
"",264
"A.A.",4
"AA",3
"Accommodation",8
"Accommodation - Guest Houses, etc.",2
"Accommodations",13896
"Accommodations,Bars",1
"Accommodations,Bars/Clubs",1
"Accommodations,Cruising Areas",1
"Accommodations,Cruisy Areas",4
"Accommodations,Info Lines & Services",2
"Accommodations,Restaurants & Cafes",1
"Accommodations,Travel Agency or Tour Operators",1
"Accomodation Agency",1
"Accomodations",490
"Accountant",2
"Accountants",3
"Accounting and Income Tax Services",2
"Activities for Fat Women",1
"Acupuncture",2
"Adventure",1
"Adventure Vacations",3
"Advertising Agency",1
"Advertising Specialties / Promotional Items / Trophies and Awards / Buttons / T-Shirts",1
"Aikido School",1
"Alcohol and Drug Abuse Centers",2
"Alcoholics Anonymous",1
"Alcoholism Center",2
"Alcoholism, Chemical Dependency, Drug Abuse Counseling",2
"All-Gay Guest House",1
"Alternative / Feminist Bookstores",8
"Alternative / Spirituality Bookstore",1
"Alternative Bookshop",2
"Alternative Bookstore",56
"Alternative Bookstore / Cafe / Local Info.",1
"Alternative Bookstores",26
"Alternative and General Bookstores",5
"Animal Clinic",1
"Antiques",1
"Apartment Locations",1
"Apartments",1
"Apartments/Cottages",5
"Archives",19
"Archives / Libraries",6
"Archives/Libraries,etc.",5
"Art & FIlm Gallery",1
"Art Center",1
"Art Gallery",18
"Athletic Association",1
"Attorney",5
"Attorney's",16
"Attorneys",59
"Attorneys & Legal Aid, etc.",3
"Attorneys / Legal Services / Legal Referrals, etc.",1
"Attorneys/Legal Assistance",1
"Auto Repair",4
"Bakery",1
"Bar",716
"Bar & Cafes, etc.",2
"Bar / Restaurants",80
"Bar / Swimming Pool",1
"Bar Guide",1
"Bar Night",1
"Bar/Coffeehouse",1
"Bar/Restaurant",199
"Bar/Restuarant",36
"Bar/Swimming Pool",2
"Bargain Shop",1
"Bars",22836
"Bars & Bars / Restaurants",23
"Bars & Nightclubs",1864
"Bars, ETC.",3
"Bars,Cafes",1
"Bars,Cruising Areas",131
"Bars,Cruisy Areas",74
"Bars,Restaurants & Cafes",1
"Bars/Clubs",32786
"Bars/Clubs,Bathhouses",37
"Bars/Clubs,Bathhouses,Hotel",1
"Bars/Clubs,Baths",8
"Bars/Clubs,Baths,Hotel,Restaurant",1
"Bars/Clubs,Book Store",28
"Bars/Clubs,Book Store,Cruising Areas",1
"Bars/Clubs,Book Store,Erotic Shop",3
"Bars/Clubs,Business",7
"Bars/Clubs,Business,Cruising Areas",1
"Bars/Clubs,Business,Erotic Shop",1
"Bars/Clubs,Business,Hotel,Restaurant",1
"Bars/Clubs,Cruising Areas",1340
"Bars/Clubs,Cruising Areas,Book Store",2
"Bars/Clubs,Cruising Areas,Hotel",18
"Bars/Clubs,Cruising Areas,Restaurant",14
"Bars/Clubs,Cruising Areas,Theatre",2
"Bars/Clubs,Erotic Shop",4
"Bars/Clubs,Gym",1
"Bars/Clubs,Hotel",977
"Bars/Clubs,Hotel,Bathhouses",1
"Bars/Clubs,Hotel,Baths",2
"Bars/Clubs,Hotel,Cruising Areas",8
"Bars/Clubs,Hotel,Restaurant",19
"Bars/Clubs,Hotel,Restaurant,Business",1
"Bars/Clubs,Hotels",36
"Bars/Clubs,Hotels,Restaurant",5
"Bars/Clubs,Organizations",1
"Bars/Clubs,Restaurant",875
"Bars/Clubs,Restaurant,Bathhouses",2
"Bars/Clubs,Restaurant,Baths",1
"Bars/Clubs,Restaurant,Book Store",7
"Bars/Clubs,Restaurant,Business",1
"Bars/Clubs,Restaurant,Cruising Areas",25
"Bars/Clubs,Restaurant,Cruising Areas,Bathhouses",2
"Bars/Clubs,Restaurant,Hotel",26
"Bars/Clubs,Restaurant,Hotel,Hotel",7
"Bars/Clubs,Restaurant,Hotels",1
"Bars/Clubs,Restaurant,Theatre",1
"Bars/Clubs,Restaurants & Cafes",4
"Bars/Clubs,Theatre",28
"Bars/Clubs,Theatre,Baths",1
"Bars/Clubs,Theatre,Cruising Areas",6
"Bars/Clubs,Theatre,Restaurant",1
"Bars/Clubs,Travel Agency",1
"Bars/Restaurants",58
"Bars[3X]",1
"Bath House",3
"Bath Houses",3
"Bathhouses",1052
"Bathhouses,Bars/Clubs",4
"Bathhouses,Bars/Clubs,Cruising Areas",1
"Bathhouses,Bars/Clubs,Hotel",1
"Bathhouses,Cruising Areas",4
"Bathhouses,Erotic Shop",5
"Bathhouses,Gym",19
"Bathhouses,Hotel",31
"Bathhouses,Restaurant",1
"Bathhouses,Restaurant,Hotel",1
"Baths",1441
"Baths,Bars/Clubs",10
"Baths,Bars/Clubs,Cruising Areas",1
"Baths,Bars/Clubs,Hotel",1
"Baths,Book Store",2
"Baths,Business",8
"Baths,Cruising Areas",1
"Baths,Hotel",36
"Baths,Organizations",2
"Baths,Restaurant",5
