title,type,address,unclear.address,city,state,description,stars,star.type,mentions.race,mentions.disability,notes
New England Womyn's Musical Retreat,Music Producers,,checked,,CT,Information from Bloodroot. Probably first weekend in September.,,,,,"Under ""Statewide"" no city listed"
Copa,,175 Atlantic Blvd,,,FL,At Merlin Beach Hotel. This disco show bar (a real old timer) has recently reopened at the same location. ,**,Restaurants,,,
Marlin Beach Hotel,Hotels/Motels/Guest Houses/ETC,17 South Atlantic Blvd,,,FL,"33316 Tel. 467 6551. Luxury hotel/resort with 100 rooms, many with spectacular views of the Atlantic Ocean. Swimming pool with poolside bar and Pool Deck restaurant. Air-conditioned with direct-dial phones and TV. Entertainment in the bars and restaurant. Mostly gay men but 'gay women should never feel out of place there.'",,,,,
Valencia Resort,Hotels/Motels/Guest Houses/ETC,3006 Valencia St,,,FL,"33316 Tel. 463-5811. Hotel rooms, 1 bedroom apartments, efficiencies. Right on the beach. Clientele: mostly gay men but gay women are welcome too. (Backs on the Merlin Beach complex).",,,,,
Open House,Group,,checked,,MD,"In Bowie, Columbia, Largo and New Carrolton there are regular 'open house' See BLADE OF DC for current details.",,,,,
The Front Page/Bugle Publishing Inc Co,Publication,,checked,,NC,"Tel. 919 1829-01 Bl. Published twice monthly (except January and August). Lots of special features of
interest to gay women and free classified advertising for groups and individuals too. Subscription
rate $12.00 per year. Statewide community resource list, including women's resources, classified and women's personal column.",,,,,PO Box 25642 Raleigh
The Front Page,Publication,,checked,,VI,"No Phone Listing. For current, correct details about religious and social
groups throughout Virginia.",,,,,
Northwest Fountain,Publication,,checked,,OR,"Tel. 248-1990. Non-sexist
gay monthly newspaper. Includes lots of women's resources and bar-map guide to places in
Portland and Seattle. $10.00 per year (make checks payable to TAURUS PUBLICATIONS).",,,,,PO Box 1117
Gay News,Publication,1108 Spruce Street,,,PA,"Tel. 625 8501. Statewide
gay newspaper - somewhat more for men than women in content, but its approach is
totally non-sexist. List of women's resources/bar guide and high standard book reviews.
$18.00. 26 issues $36.00.",,,,,
New Jersey Gay Switchboard,Information Services,,checked,,NJ,Tel 466 1960 Monday-Weds 7pm-10pm,,,,,
Gay Activists Alliance of New Jersey,Group,,checked,,NJ,Tel 692 1794,*,Organizations,,,PO Box 1734 South Hackensack 07601
The Lavender Express,Publication,,checked,,NJ,"Tel 739 0235 A storehouse of New Jersey organizational resources and information, the publication of the Lesbian Community League ",,,,,PO Box 218 Kearny NJ 07032
Lambda News ,Publication,,checked,,NM,"No Phone Listing  ""I haven't yet seen this one""",,,,,PO Box 26554 87125
Out in Montana,Organization,,checked,,MT,Tel 728-6589 Extremely active group with six chapters throughout the state,,,,,PO Box 8896 Missoula Montana 59807
Gaze,Publication,,checked,,TN,Tel. (901) 274 0431. $8.00 per year.,,,,,"Box 3038, Memphis, 38103"
Sapphic Sisters,Group,,checked,,NJ,"Tel 352 4527 and 367 2227 Hotline, monthly newsletter, regular meetings and other happenings",,,,,PO Box 682 Union NJ 07083
NJGC/New Jersey Gay Coalition ,Group,,checked,,NJ,No Phone Listed,,Organizations,,,"Po Box 2901 Rutgers University, New Brunswick NJ 08903"
Sioux Empire Gay and Lesbian Coalition ,Organization,,checked,,SD,"No Phone Listing. Their publication: TOGETHER. $15.00 annual membership dues include subscription,
or $4.50 pay for TOGETHER, only.",,,,,"PO Box 220 Sioux Falls South Dakota
57101. "
Mountain Meadow,Retreat,373 Kanawha St NW Washington,,,PA,No Phone Listing.  Sleep away program for young women located on one entire side of a mountain. The average cost per young participant is $250.00 per two week session. ,,,,,
Express Woman Enterprises,Group,,checked,,NJ,Tel 739 0235 Publishes the Lavender Express monthly ,**,Organizations,,,PO Box 285 Key Port 07735
United Sisters,Information Services,,checked,,NJ,Tel 233 3848 Strictly a social group ,,,,,PO Box 41 Garwood NJ 07027-041
New Jersey Lesbian Rights Task Force,Group,,checked,,NJ,"No Phone Listed Very active, very helpful",**,Organizations,,,PO Box 332 Somerville NJ 08876
