"","title","city","state","year","notes","publication","country","Entity.Type","description","mgg.type","geocode.value","lon","lat","geoAddress","type","star.type","Other.Entities","Content.Type","Vol..","Issue..","Month","ID","concat_key","orig.lc.long","orig.lc.lat","amenityfeatures","address","unclear.address","stars","mentions.race","mentions.disability","Last.Modified","Notes.2"
"1","","Akron","OH",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Akron, OH, United States",-81.5190053,41.0814447,"akron, oh, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Akron_OH_United States","-81.518485","41.083064",NA,NA,NA,NA,NA,NA,NA,NA
"2","","Albuquerque","NM",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Albuquerque, NM, United States",-106.650422,35.0843859,"albuquerque, nm, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Albuquerque_NM_United States","-106.65099","35.0841034",NA,NA,NA,NA,NA,NA,NA,NA
"3","","Albuquerque","NM",1983,"request for discretion","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Albuquerque, NM, United States",-106.650422,35.0843859,"albuquerque, nm, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Albuquerque_NM_United States","-106.65099","35.0841034",NA,NA,NA,NA,NA,NA,NA,NA
"4","","Amenia","NY",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Amenia, NY, United States",-73.5567918,41.8492599,"amenia, ny 12501, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Amenia_NY_United States","-73.556792","41.8492599",NA,NA,NA,NA,NA,NA,NA,NA
"5","","Anchorage","AK",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Anchorage_AK_United States","-149.89485","61.2163129",NA,NA,NA,NA,NA,NA,NA,NA
"6","","Anna Maria","FL",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Anna Maria, FL, United States",-82.7334334,27.5311474,"anna maria, fl, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Anna Maria_FL_United States","-82.732472","27.529382",NA,NA,NA,NA,NA,NA,NA,NA
"7","","Annandale","VA",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Annandale, VA, United States",-77.1963703,38.8303905,"annandale, va, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Annandale_VA_United States","-77.208524","38.838491",NA,NA,NA,NA,NA,NA,NA,NA
"8","","Archer","FL",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Archer, FL, United States",-82.5189969,29.5299677,"archer, fl 32618, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Archer_FL_United States","-82.518997","29.5299677",NA,NA,NA,NA,NA,NA,NA,NA
"9","","Athens","OH",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Athens, OH, United States",-82.1012554,39.3292396,"athens, oh 45701, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Athens_OH_United States","-82.06104","39.355589",NA,NA,NA,NA,NA,NA,NA,NA
"10","","Atlanta","GA",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Atlanta, GA, United States",-84.3876845,33.748752,"atlanta, ga, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Atlanta_GA_United States","-84.390264","33.7489924",NA,NA,NA,NA,NA,NA,NA,NA
"11","","Atlanta","GA",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Atlanta, GA, United States",-84.3876845,33.748752,"atlanta, ga, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Atlanta_GA_United States","-84.390264","33.7489924",NA,NA,NA,NA,NA,NA,NA,NA
"12","","Atlanta","GA",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Atlanta, GA, United States",-84.3876845,33.748752,"atlanta, ga, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Atlanta_GA_United States","-84.390264","33.7489924",NA,NA,NA,NA,NA,NA,NA,NA
"13","","Atwater","CA",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Atwater, CA, United States",-120.609084,37.3477174,"atwater, ca 95301, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Atwater_CA_United States","-120.60908","37.3477174",NA,NA,NA,NA,NA,NA,NA,NA
"14","","Avon Lake","OH",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Avon Lake, OH, United States",-82.0282001,41.5053178,"avon lake, oh 44012, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Avon Lake_OH_United States","-82.01859","41.510033",NA,NA,NA,NA,NA,NA,NA,NA
"15","","Bainbridge Island","WA",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Bainbridge Island, WA, United States",-122.5210008,47.6248791,"bainbridge island, wa, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Bainbridge Island_WA_United States","-122.54603","47.6475683",NA,NA,NA,NA,NA,NA,NA,NA
"16","","Baltimore","MD",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Baltimore, MD, United States",-76.6121893,39.2903848,"baltimore, md, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Baltimore_MD_United States","-76.610759","39.2908816",NA,NA,NA,NA,NA,NA,NA,NA
"17","","Baltimore","MD",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Baltimore, MD, United States",-76.6121893,39.2903848,"baltimore, md, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Baltimore_MD_United States","-76.610759","39.2908816",NA,NA,NA,NA,NA,NA,NA,NA
"18","","Baltimore","MD",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Baltimore, MD, United States",-76.6121893,39.2903848,"baltimore, md, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Baltimore_MD_United States","-76.610759","39.2908816",NA,NA,NA,NA,NA,NA,NA,NA
"19","","Baltimore","MD",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Baltimore, MD, United States",-76.6121893,39.2903848,"baltimore, md, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Baltimore_MD_United States","-76.610759","39.2908816",NA,NA,NA,NA,NA,NA,NA,NA
"20","","Baltimore","MD",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Baltimore, MD, United States",-76.6121893,39.2903848,"baltimore, md, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Baltimore_MD_United States","-76.610759","39.2908816",NA,NA,NA,NA,NA,NA,NA,NA
"21","","Barstow","CA",1983,"","Lesbian Connection","United States","Contact Dyke Directory",NA,NA,"Barstow, CA, United States",-117.0172826,34.8957957,"barstow, ca, usa",NA,NA,"","Directory","6","3","June/July","https://www.jstor.org/stable/pdf/community.28039200.pdf?refreqid=excelsior%3Afdef3620153b4d6cf80dbda91a8c1f6c&ab_segments=&origin=&acceptTC=1","Barstow_CA_United States","-117.01721","34.8957684",NA,NA,NA,NA,NA,NA,NA,NA
