"publication","year","pub.count","city","state","country","geocode.value","lon","lat","geoAddress","count","relative.percentage"
"Bob Damron's Address Book",1983,452,"Abbeyville","LA","United States","Abbeyville, LA, United States",-92.1342921,29.9746502,"abbeville, la 70510, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Akron","OH","United States","Akron, OH, United States",-81.5190053,41.0814447,"akron, oh, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Albany","NY","United States","Albany, NY, United States",-73.7562317,42.6525793,"albany, ny, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Albuquerque","NM","United States","Albuquerque, NM, United States",-106.650422,35.0843859,"albuquerque, nm, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Allentown","PA","United States","Allentown, PA, United States",-75.4714098,40.6022939,"allentown, pa, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Altoona","PA","United States","Altoona, PA, United States",-78.3947359,40.5186809,"altoona, pa, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Amarillo","TX","United States","Amarillo, TX, United States",-101.8312969,35.2219971,"amarillo, tx, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Anchorage","AK","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Appleton","WI","United States","Appleton, WI, United States",-88.4153847,44.2619309,"appleton, wi, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Asbury Park","NJ","United States","Asbury Park, NJ, United States",-74.0120817,40.2203907,"asbury park, nj 07712, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Atlanta","GA","United States","Atlanta, GA, United States",-84.3876845,33.748752,"atlanta, ga, usa",3,0.663716814159292
"Bob Damron's Address Book",1983,452,"Atlantic City","NJ","United States","Atlantic City, NJ, United States",-74.4229266,39.3642834,"atlantic city, nj, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Augusta","GA","United States","Augusta, GA, United States",-82.0105148,33.4734978,"augusta, ga, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Augusta","ME","United States","Augusta, ME, United States",-69.7794897,44.3106241,"augusta, me 04330, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Bakersfield","CA","United States","Bakersfield, CA, United States",-119.0187125,35.3732921,"bakersfield, ca, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Baltimore","MD","United States","Baltimore, MD, United States",-76.6121893,39.2903848,"baltimore, md, usa",7,1.54867256637168
"Bob Damron's Address Book",1983,452,"Baton Rouge","LA","United States","Baton Rouge, LA, United States",-91.1871466,30.4514677,"baton rouge, la, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Beaumont","TX","United States","Beaumont, TX, United States",-94.1265562,30.080174,"beaumont, tx, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Bellingham","WA","United States","Bellingham, WA, United States",-122.4786854,48.7519112,"bellingham, wa, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Bellows Falls","VT","United States","Bellows Falls, VT, United States",-72.4439772,43.133411,"bellows falls, town of rockingham, vt 05101, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Binghamton","NY","United States","Binghamton, NY, United States",-75.9179738,42.0986867,"binghamton, ny, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Birmingham","AL","United States","Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa",3,0.663716814159292
"Bob Damron's Address Book",1983,452,"Bismarck","NC","United States","Bismarck, NC, United States",-100.7876931,46.8054947,"bismarck, nd, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Bloomington","IN","United States","Bloomington, IN, United States",-86.5263857,39.165325,"bloomington, in, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Boise","ID","United States","Boise, ID, United States",-116.2023137,43.6150186,"boise, id, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Bossier City","LA","United States","Bossier City, LA, United States",-93.7321228,32.5159852,"bossier city, la, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Boston","MA","United States","Boston, MA, United States",-71.0588801,42.3600825,"boston, ma, usa",4,0.884955752212389
"Bob Damron's Address Book",1983,452,"Buffalo","NY","United States","Buffalo, NY, United States",-78.8783689,42.8864468,"buffalo, ny, usa",2,0.442477876106195
