"","geocode.value","lon","lat","geoAddress"
"1","Berkely/Oakland, CA, United States",-122.2594606,37.870151,"university avenue and, oxford st, berkeley, ca 94720, usa"
"2","Irvine, CA, United States",-117.8265049,33.6845673,"irvine, ca, usa"
"3","Lake Arrowhead, CA, United States",-117.1892078,34.2483396,"lake arrowhead, ca, usa"
"4","Orange County, CA, United States",-117.8311428,33.7174708,"orange county, ca, usa"
"5","Bailey, CO, United States",-105.4786412,39.4060536,"bailey, co 80421, usa"
"6","Woodacre, CA, United States",-122.645261,38.0127006,"woodacre, ca, usa"
"7",", CO, United States",-105.7820674,39.5500507,"colorado, usa"
"8","Falls Village, CT, United States",-73.3650579,41.9550202,"falls village, canaan, ct 06031, usa"
"9","Broward County, FL, United States",-80.365865,26.190096,"broward county, fl, usa"
"10","Dade County, FL, United States",-80.6326916,25.5516034,"miami-dade county, fl, usa"
"11","Virginia Beach, FL, United States",-81.5157535,27.6648274,"florida, usa"
"12","Maui Island, HI, United States",-156.3319253,20.7983626,"maui, hawaii, usa"
"13",", MD, United States",-76.6412712,39.0457549,"maryland, usa"
"14","Montgomery, MD, United States",-77.2405153,39.1547426,"montgomery county, md, usa"
"15","South Hadley, MA, United States",-72.5747934,42.2591729,"south hadley, ma 01075, usa"
"16","Bar Harbor, ME, United States",-68.2039123,44.3876119,"bar harbor, me, usa"
"17",", FL, United States",-81.5157535,27.6648274,"florida, usa"
"18","Mt Clemens, MI, United States",-82.8779754,42.5972563,"mt clemens, mi, usa"
"19","Portsmouth, ME, United States",-70.78821,43.0417715,"united states"
"20","St Augustine's, FL, United States",-81.3139313,29.8921835,"st. augustine, fl, usa"
"21","Ocean Park Beach, CA, United States",-119.4179324,36.778261,"california, usa"
"22","Daytona, FL, United States",-81.0228331,29.2108147,"daytona beach, fl, usa"
"23","New Town, IL, United States",-87.76917,40.16722,"newtown, il 61858, usa"
"24","Columbus , GA, United States",-84.9877094,32.4609764,"columbus, ga, usa"
"25","Silverlake, CA, United States",-118.2702036,34.0869409,"silver lake, los angeles, ca, usa"
"26","Hopland/Talmadge, CA, United States",-123.1165625,38.9702008,"hopland, ca 95449, usa"
"27","Oakhurst, CA, United States",-119.6493154,37.3279997,"oakhurst, ca 93644, usa"
"28","Reheboth Beach, DE, United States",-75.0760137,38.7209454,"rehoboth beach, de, usa"
"29",", MT, United States",-110.3625658,46.8796822,"montana, usa"
"30","Morristown , NJ, United States",-74.4815438,40.7967667,"morristown, nj 07960, usa"
"31","Newton, NJ, United States",-74.7526651,41.0581527,"newton, nj 07860, usa"
"32","Plainsboro, NJ, United States",-74.615308,40.3570497,"plainsboro township, nj, usa"
"33",", NM, United States",-105.0323635,34.9727305,"new mexico, usa"
"34","New York City , NY, United States",-74.0059728,40.7127753,"new york, ny, usa"
"35","Manhattan, NY, United States",-73.9712488,40.7830603,"manhattan, new york, ny, usa"
"36","Yorkville, NY, United States",-75.2709991,43.1128475,"yorkville, ny, usa"
"37",", NC, United States",-79.0192997,35.7595731,"north carolina, usa"
"38","La Grande, OR, United States",-118.0877188,45.3245771,"la grande, or 97850, usa"
"39","East Stroudsberg, PA, United States",-75.1817547,41.0030522,"east stroudsburg, pa 18301, usa"
"40",", SD, United States",-99.9018131,43.9695148,"south dakota, usa"
"41",", TX, United States",-99.9018131,31.9685988,"texas, usa"
"42","Glenrose, TX, United States",-97.7554986,32.2346721,"glen rose, tx, usa"
"43","Saint Croix, Virgin Islands, United States",-64.8347992,17.7245968,"st croix, usvi"
"44","Bellows Falls, , United States",-72.4439772,43.133411,"bellows falls, town of rockingham, vt 05101, usa"
"45","St Thomas, Virgin Islands, United States",-64.8940946,18.3380965,"st thomas, 00802, usvi"
"46","Brattleboro, , United States",-72.5578678,42.8509152,"brattleboro, vt 05301, usa"
"47","Burlington, , United States",-73.212072,44.4758825,"burlington, vt, usa"
"48","East Barnet, , United States",-72.0493779,44.2968323,"barnet, vt, usa"
"49","Montpelier, , United States",-72.5753869,44.2600593,"montpelier, vt 05602, usa"
"50",", VI, United States",-95.712891,37.09024,"united states"
"51","Charlottesville, VI, United States",-78.4766781,38.0293059,"charlottesville, va, usa"
"52","Norfolk, VI, United States",-76.2858726,36.8507689,"norfolk, va, usa"
"53","Richmond, VI, United States",-77.4360481,37.5407246,"richmond, va, usa"
"54","Minneapolis/St Paul, MN, United States",-93.2009998,44.9374831,"twin cities, mn, usa"
"55","Charlestown, SC, United States",-79.9319664,32.7833163,"charleston, sc, usa"
"56","Asbury Park , NJ, United States",-74.0120817,40.2203907,"asbury park, nj 07712, usa"
"57","Rutland, , United States",-72.9726065,43.6106237,"rutland, vt 05701, usa"
"58","Biloxi , MS, United States",-88.8853078,30.3960318,"biloxi, ms, usa"
"59","Roanoke, VI, United States",-79.9414266,37.2709704,"roanoke, va, usa"
"60",", PA, United States",-77.1945247,41.2033216,"pennsylvania, usa"
"61","Montclaire, PA, United States",-75.502411,40.1389933,"mont clare, pa 19453, usa"
"62","Lake Hoptacong, NJ, United States",-74.6593281,40.9328762,"hopatcong, nj, usa"
"63","Painesville, OH, United States",-81.245657,41.7244885,"painesville, oh 44077, usa"
"64","Hummelstown, PA, United States",-76.7083033,40.2653681,"hummelstown, pa 17036, usa"
"65","Appletown, WI, United States",-88.4153847,44.2619309,"appleton, wi, usa"
"66","Waldport, OR, United States",-124.0687302,44.426786,"waldport, or 97394, usa"
"67","Upper Darby, PA, United States",-75.2878235,39.9593175,"upper darby, pa, usa"
"68","Rockland, NY, United States",-73.9830029,41.1489458,"rockland county, ny, usa"
