"publication","year","pub.count","city","state","country","geocode.value","lon","lat","geoAddress","count","relative.percentage"
"Bob Damron's Address Book",1965,40,"Akron","OH","United States","Akron, OH, United States",-81.5190053,41.0814447,"akron, oh, usa",1,2.5
"Bob Damron's Address Book",1965,40,"Baltimore","MD","United States","Baltimore, MD, United States",-76.6121893,39.2903848,"baltimore, md, usa",2,5
"Bob Damron's Address Book",1965,40,"Bryte","CA","United States","Bryte, CA, United States",-121.5416232,38.5946272,"bryte, west sacramento, ca 95605, usa",1,2.5
"Bob Damron's Address Book",1965,40,"Buffalo","NY","United States","Buffalo, NY, United States",-78.8783689,42.8864468,"buffalo, ny, usa",1,2.5
"Bob Damron's Address Book",1965,40,"Calumet City","IL","United States","Calumet City, IL, United States",-87.5294871,41.6155909,"calumet city, il, usa",2,5
"Bob Damron's Address Book",1965,40,"Cleveland","OH","United States","Cleveland, OH, United States",-81.6943605,41.49932,"cleveland, oh, usa",2,5
"Bob Damron's Address Book",1965,40,"Dallas","TX","United States","Dallas, TX, United States",-96.7969879,32.7766642,"dallas, tx, usa",1,2.5
"Bob Damron's Address Book",1965,40,"Dayton","OH","United States","Dayton, OH, United States",-84.1916069,39.7589478,"dayton, oh, usa",1,2.5
"Bob Damron's Address Book",1965,40,"Denver","CO","United States","Denver, CO, United States",-104.990251,39.7392358,"denver, co, usa",2,5
"Bob Damron's Address Book",1965,40,"Detroit","MI","United States","Detroit, MI, United States",-83.0457538,42.331427,"detroit, mi, usa",1,2.5
"Bob Damron's Address Book",1965,40,"Indianapolis","IN","United States","Indianapolis, IN, United States",-86.158068,39.768403,"indianapolis, in, usa",1,2.5
"Bob Damron's Address Book",1965,40,"Kansas City","MO","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa",1,2.5
"Bob Damron's Address Book",1965,40,"Long Beach","CA","United States","Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa",1,2.5
"Bob Damron's Address Book",1965,40,"Los Angeles","CA","United States","Los Angeles, CA, United States",-118.2436849,34.0522342,"los angeles, ca, usa",5,12.5
"Bob Damron's Address Book",1965,40,"Memphis","TN","United States","Memphis, TN, United States",-90.0489801,35.1495343,"memphis, tn, usa",1,2.5
"Bob Damron's Address Book",1965,40,"Milwaukee","WI","United States","Milwaukee, WI, United States",-87.9064736,43.0389025,"milwaukee, wi, usa",2,5
"Bob Damron's Address Book",1965,40,"Oklahoma City","OK","United States","Oklahoma City, OK, United States",-97.5164276,35.4675602,"oklahoma city, ok, usa",1,2.5
"Bob Damron's Address Book",1965,40,"Phoenix","AZ","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa",1,2.5
"Bob Damron's Address Book",1965,40,"Rochester","NY","United States","Rochester, NY, United States",-77.6088465,43.1565779,"rochester, ny, usa",1,2.5
"Bob Damron's Address Book",1965,40,"San Francisco","CA","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa",1,2.5
"Bob Damron's Address Book",1965,40,"Santa Fe","NM","United States","Santa Fe, NM, United States",-105.937799,35.6869752,"santa fe, nm, usa",1,2.5
"Bob Damron's Address Book",1965,40,"Seattle","WA","United States","Seattle, WA, United States",-122.3320708,47.6062095,"seattle, wa, usa",1,2.5
"Bob Damron's Address Book",1965,40,"St. Joseph","MO","United States","St. Joseph, MO, United States",-94.846681,39.7674578,"st joseph, mo, usa",1,2.5
