"publication","year","pub.count","city","state","country","geocode.value","lon","lat","geoAddress","count","relative.percentage"
"Bob Damron's Address Book",1983,5298,"Abbeyville","LA","United States","Abbeyville, LA, United States",-92.1342921,29.9746502,"abbeville, la 70510, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Aberdeen","SD","United States","Aberdeen, SD, United States",-98.4864829,45.4646985,"aberdeen, sd 57401, usa",4,0.0755001887504719
"Bob Damron's Address Book",1983,5298,"Aberdeen","WA","United States","Aberdeen, WA, United States",-123.8157218,46.9753708,"aberdeen, wa, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Abilene","TX","United States","Abilene, TX, United States",-99.7331439,32.4487364,"abilene, tx, usa",4,0.0755001887504719
"Bob Damron's Address Book",1983,5298,"Adrian","MI","United States","Adrian, MI, United States",-84.0371659,41.8975471,"adrian, mi 49221, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Akron","OH","United States","Akron, OH, United States",-81.5190053,41.0814447,"akron, oh, usa",16,0.302000755001887
"Bob Damron's Address Book",1983,5298,"Albany","GA","United States","Albany, GA, United States",-84.155741,31.5785074,"albany, ga, usa",8,0.151000377500944
"Bob Damron's Address Book",1983,5298,"Albany","NY","United States","Albany, NY, United States",-73.7562317,42.6525793,"albany, ny, usa",16,0.302000755001887
"Bob Damron's Address Book",1983,5298,"Albuquerque","NM","United States","Albuquerque, NM, United States",-106.650422,35.0843859,"albuquerque, nm, usa",17,0.320875802189505
"Bob Damron's Address Book",1983,5298,"Alexandria","LA","United States","Alexandria, LA, United States",-92.4451371,31.3112936,"alexandria, la, usa",6,0.113250283125708
"Bob Damron's Address Book",1983,5298,"Alhambra","CA","United States","Alhambra, CA, United States",-118.1270146,34.095287,"alhambra, ca, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Allentown","PA","United States","Allentown, PA, United States",-75.4714098,40.6022939,"allentown, pa, usa",7,0.132125330313326
"Bob Damron's Address Book",1983,5298,"Altoona","PA","United States","Altoona, PA, United States",-78.3947359,40.5186809,"altoona, pa, usa",3,0.0566251415628539
"Bob Damron's Address Book",1983,5298,"Amarillo","TX","United States","Amarillo, TX, United States",-101.8312969,35.2219971,"amarillo, tx, usa",11,0.207625519063798
"Bob Damron's Address Book",1983,5298,"Ames","IA","United States","Ames, IA, United States",-93.6319131,42.0307812,"ames, ia, usa",4,0.0755001887504719
"Bob Damron's Address Book",1983,5298,"Amherst","MA","United States","Amherst, MA, United States",-72.5198537,42.3732216,"amherst, ma, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Amherst","NY","United States","Amherst, NY, United States",-78.7922335,42.9754691,"amherst, ny, usa",1,0.018875047187618
"Bob Damron's Address Book",1983,5298,"Anaheim","CA","United States","Anaheim, CA, United States",-117.9143012,33.8365932,"anaheim, ca, usa",3,0.0566251415628539
"Bob Damron's Address Book",1983,5298,"Anchorage","AK","United States","Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa",12,0.226500566251416
"Bob Damron's Address Book",1983,5298,"Ann Arbor","MI","United States","Ann Arbor, MI, United States",-83.7430378,42.2808256,"ann arbor, mi, usa",9,0.169875424688562
"Bob Damron's Address Book",1983,5298,"Annapolis","MD","United States","Annapolis, MD, United States",-76.4921829,38.9784453,"annapolis, md, usa",2,0.0377500943752359
"Bob Damron's Address Book",1983,5298,"Anniston","AL","United States","Anniston, AL, United States",-85.8316318,33.6598257,"anniston, al, usa",3,0.0566251415628539
"Bob Damron's Address Book",1983,5298,"Appleton","WI","United States","Appleton, WI, United States",-88.4153847,44.2619309,"appleton, wi, usa",6,0.113250283125708
