City,State,Country,Primary Entity,Other Entities,Entity Type,"Contents/Notes (keywords, event, important names)",Content Type,Publication,Vol #,Issue #,Month,Year,ID,concat_key,Longitude,Latitude
New York,NY,United States,Lesbian Herstory Archives,,Archive,history; interviews; books,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b9,New York_NY_United States,-74.006015,40.7127281
New York,NY,United States,Lesbian Herstory Archives,Joan & Deb,Archive,lesbian culture; collection; history; artifacts; newsletter,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b8,New York_NY_United States,-74.006015,40.7127281
Hadley,MA,United States,International Women Artist Archives,R Anderson,Archive,Looking for photographs of artwork by women,Request,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Hadley_MA_United States,-72.562088,42.35637
Florence,MA,United States,New Alexandria Lesbian Library,,Archive,grassroots national community archive seeking three lesbians to work with library,Request,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Florence_MA_United States,-87.677251,34.79981
Paris,,France,Recherches et Cultures Lesbiennes (The Lesbian Archives),,Archive,"international documentation and information by, for, and about lesbians; included in unofficial directory called ""Bits & Pieces""",Directory,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Paris__France,2.32004102,48.8588897
Leeuwarden,,Netherlands,Lesbisch Archief Leeuwarden,,Archive,first lesbian archives in the Netherlands; collecting all info on lesbian existence; bits & pieces section,Directory,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Leeuwarden__Netherlands,5.7918548,53.2005936
London,England,United Kingdom,Lesbian Studies Summer School,Lesbian Archive and Information Centre,Archive,,Advertisement,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,London_England_United Kingdom,-0.1276474,51.5073219
Milwaukee,WI,United States,Natural Women,Woman's Soul Publishing,Art Organization,"opening of women's art gallery, literature and music outlet, and performing stage for women artists",Advertisement,Lesbian Connection,1,4,March,1975,https://www.jstor.org/stable/community.28039159?seq=1#metadata_info_tab_contents,Milwaukee_WI_United States,-87.922497,43.0349931
Santa Cruz,CA,United States,National Festival of Women's Theatre,,Art Organization,"offering a week-long festival of women's theatre with performances, workshops, seminars",Advertisement,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Santa Cruz_CA_United States,-121.99059,37.050096
Portland,OR,United States,The Lesbian Art Movement,,Art Organization,lesbian artists and art supporters gathering,Directory,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Portland_OR_United States,-122.67419,45.5202471
Tri-Cities,WA,United States,Gay Rap Group,Mary,Art Organization,music; poetry; contact Mary for meeting location and time,Directory,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Tri-Cities_WA_United States,-119.11867,46.2626203
Seattle,WA,United States,Day Moon Designs,Noreen Scully,Art Organization,"Announcement Title: ""The Kiss."" Advertising lesbian art by Noreen Scully.",Advertisement,Lesbian Connections,2,6,November,1976,https://www.jstor.org/stable/community.28039169?seq=1#metadata_info_tab_contents,Seattle_WA_United States,-122.33006,47.6038321
Los Angeles,CA,United States,the Woman's Building,The Chrysalis,Art Organization,"Sculptures in Dough', Women delight women, feminist workshops, subscription",Advertisement,Lesbian Connection,,Winter Supplement,December,1977,https://www.jstor.org/stable/community.28039179?seq=21,Los Angeles_CA_United States,-118.24277,34.0536909
Provincetown,MA,United States,Freehand,,Art Organization,"Poetry, prose, photography, bodywork, performance, ""many special faculty and visiting artists""",Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=18,Provincetown_MA_United States,-70.185864,42.0525612
Philadelphia,PA,United States,Order Before Midnight,Carol Moore,Art Organization,"Bits & Pieces; A feminist evolutionary arts ensemble, is putting on two of Jane Chamber's plays in Philadelphia and at the Lesbian Feminist Weekend last September.",Directory,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Philadelphia_PA_United States,-75.163526,39.9527237
Chicago,IL,United States,Womens Graphics Collective,5th Annual Lesbian Writers Conference,Art Organization,"Announcement of new posters including erotica, tribute to Malvina Reynolds, Mujeres Latinias en Acción, and %th Annual Lesbian Writers Conference. Keywords: posters, art, erotica, latina",Advertisement,Lesbian Connection,Winter Supplement,Winter Supplement,December,1978,https://www.jstor.org/stable/community.28039187?seq=4,Chicago_IL_United States,-87.624421,41.8755616
Cincinnati,OH,United States,Labyris Bookstore Collective,,Bookstore,merchandise; literature,Article,Lesbian Connection,1,4,March,1975,https://www.jstor.org/stable/community.28039159?seq=1#metadata_info_tab_contents,Cincinnati_OH_United States,-84.51246,39.1014537
Phoenix,AZ,United States,Womansplace,,Bookstore,books by mail; annotated booklists for lesbians; business,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b8,Phoenix_AZ_United States,-112.07414,33.4484367
Hayward,CA,United States,The Oracle Feminist Books,,Bookstore,feminist and lesbian literature; books; children's books; merchandise,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A804bdd737db80c748974394df88a950f,Hayward_CA_United States,-122.0808,37.6688205
Boulder,CO,United States,Lilith,,Bookstore,books; merchandise; women's bookstore,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b23,Boulder_CO_United States,-105.27024,40.0154155
Iowa City,IA,United States,The Plainswoman Bookstore,,Bookstore,books by and about women; apparel; records; merchandise,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b8,Iowa City_IA_United States,-91.529911,41.6612561
East Lansing,MI,United States,Womanself Bookstore,,Bookstore,books; records; jewelry; merchandise,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A804bdd737db80c748974394df88a950f,East Lansing_MI_United States,-84.472168,42.7320307
Highland Park,MI,United States,Hershelf Wimmin's Books & Crafts,,Bookstore,books; records; apparel; merchandise,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b8,Highland Park_MI_United States,-83.096583,42.4055981
Kansas City,MO,United States,New Earth Bookstore,,Bookstore,mail order catalog; annotated booklist for lesbians and feminists; literature; Gaia's Guide available,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b8,Kansas City_MO_United States,-94.578142,39.100105
Kansas City,MO,United States,New Earth Bookstore,Gaia's Guide,Bookstore,books; merchandise; advertising for distribution of Gaia's Guide; catalogs,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b8,Kansas City_MO_United States,-94.578142,39.100105
Warner,NH,United States,Womenswords Books,,Bookstore,"lesbian feminist book search; used, rare, and out of print books by and about women; collection; merchandise",Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b8,Warner_NH_United States,-71.81694,43.280705
