"geocode.value","lon","lat","geoAddress"
"Marysville, CA, United States",-121.5913547,39.1457253,"marysville, ca, usa"
", PA, United States",-77.1945247,41.2033216,"pennsylvania, usa"
"Rochester, MN, United States",-92.4801989,44.0121221,"rochester, mn, usa"
"Farmington, CT, United States",-72.795027,41.7360305,"farmington, ct, usa"
"Bremerton, WA, United States",-122.6269768,47.5650067,"bremerton, wa, usa"
"Dalhart, TX, United States",-102.5132497,36.0594772,"dalhart, tx 79022, usa"
"Deptford, NJ, United States",-75.1195107,39.8227054,"deptford, nj, usa"
"Plantsville, CT, United States",-72.8903645,41.5824016,"plantsville, southington, ct, usa"
"Greenwhich, CT, United States",-73.6281964,41.0262417,"greenwich, ct, usa"
"Casper, WY, United States",-106.2980824,42.848709,"casper, wy, usa"
"Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa"
"Seaside, OR, United States",-123.9226385,45.9931636,"seaside, or 97138, usa"
"Holland, MI, United States",-86.1089301,42.7875235,"holland, mi 49423, usa"
"Mobile, AL, United States",-88.0398912,30.6953657,"mobile, al, usa"
"Aubrun, AL, United States",-85.4807825,32.6098566,"auburn, al, usa"
"Montgomery, AL, United States",-86.3077368,32.3792233,"montgomery, al, usa"
"Birmingham, AL, United States",-86.8103567,33.5185892,"birmingham, al, usa"
"Tuscalloosa, AL, United States",-87.5691735,33.2098407,"tuscaloosa, al, usa"
"Huntsville, AL, United States",-86.5861037,34.7303688,"huntsville, al, usa"
"Anchorage, AK, United States",-149.8996785,61.2175758,"anchorage, ak, usa"
"Tucson, AZ, United States",-110.9741769,32.2539787,"tucson, az, usa"
"Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa"
"Tempe, AZ, United States",-111.9400054,33.4255104,"tempe, az, usa"
"Huachuca, AZ, United States",-110.3339678,31.6278703,"huachuca city, az 85616, usa"
", AZ, United States",-111.0937311,34.0489281,"arizona, usa"
"Scottsdale, AZ, United States",-111.9216734,33.4948764,"scottsdale, az, usa"
", AR, United States",-91.8318334,35.20105,"arkansas, usa"
"North Hollywood, CA, United States",-118.3877732,34.1866635,"north hollywood, los angeles, ca, usa"
"Van Nuys, CA, United States",-118.466222,34.2012166,"van nuys, los angeles, ca, usa"
"Los Angeles, CA, United States",-118.242643,34.0549076,"los angeles, ca, usa"
"Laguna Beach, CA, United States",-117.7853568,33.5427189,"laguna beach, ca, usa"
"Palm Springs, CA, United States",-116.5452921,33.8302961,"palm springs, ca, usa"
"Hollywood, CA, United States",-118.3266146,34.0907315,"hollywood, los angeles, ca, usa"
"Garden Grove, CA, United States",-117.9379952,33.7742692,"garden grove, ca, usa"
"Hayward, CA, United States",-122.0809964,37.6687665,"hayward, ca, usa"
"Fresno, CA, United States",-119.7871247,36.7377981,"fresno, ca, usa"
"Santa Monica, CA, United States",-118.4911912,34.0194543,"santa monica, ca, usa"
"Studio City, CA, United States",-118.3952727,34.1435864,"studio city, los angeles, ca, usa"
"Palo Alto, CA, United States",-122.1430195,37.4418834,"palo alto, ca, usa"
"Pleasant Hill, CA, United States",-122.0607963,37.9479786,"pleasant hill, ca, usa"
"Pasadena, CA, United States",-118.1445155,34.1477849,"pasadena, ca, usa"
"Rubdoux, CA, United States",-117.41762,33.9971988,"rubidoux, riverside, ca, usa"
"Isla Vista, CA, United States",-119.8609718,34.4133292,"isla vista, ca 93117, usa"
